term,pinyin,type,annotation
agentic,,concept,Able to carry a task through multiple steps by using tools and responding to intermediate results.
artifact-centered,,concept,Work organized around creating or changing durable files documents code or other project outputs.
acceptance test,,technical,A check that determines whether a result satisfies an observable requirement.
permission boundary,,concept,A clear statement of which actions are authorized and which require approval.
source of truth,,concept,The authoritative location from which a particular kind of information should be maintained.
reversible,,concept,Able to be undone without serious loss or consequence.
human authority,,concept,Meaningful human power to inspect decide reject revise or stop an action.
traceable,,concept,Connected to evidence or sources that a reviewer can follow and verify.
canonical,,added,"canonical | 美 kǝˈnɑnɪkḷ | | 英 kǝˈnɒnikǝl |
a.
1 根據教會法的
2 標準的；權威的"
Redact,,added,"redact | 美 rɪˈdækt | | 英 riˈdækt |
vt.
1 編寫；擬定
2 編輯；校訂"
rubric,,added,"rubric | 美 ˈrubrɪk | | 英 ˈruːbrik |
n.
1 (用紅字印刷的) 題目（或句子等）；(文章章節的) 標題
2 註釋；按語
3 寫在禮拜規程裡的禮儀指示
4 習俗；成規
a.
印為紅字的"
