sequence,year,date_original,battle_title,battle_title_zh,state,cwsac,outcome,notes,category,source_url,source_url_zh
1,1861,"April 12 –13, 1861",Battle of Fort Sumter,,South Carolina,A,Confederate,Beauregard takes Charleston Federal fort in the first battle of the American Civil War .,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Fort_Sumter,
2,1861,"May 18 –19, 1861",Battle of Sewell's Point,,Virginia,D,Inconclusive,Union gunboats fight inconclusive battle with Confederate artillery.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Sewell's_Point,
3,1861,"May 29 – June 1, 1861",Battle of Aquia Creek,,Virginia,D,Inconclusive,"Confederate artillery hit by naval bombardment, later withdrawn.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Aquia_Creek,
4,1861,"June 3, 1861",Battle of Philippi (West Virginia),,West Virginia (Virginia at the time) [ A ],D,Union,Union forces rout a small Confederate detachment in Western Virginia.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Philippi_(West_Virginia),
5,1861,"June 10, 1861",Battle of Big Bethel,,Virginia,C,Confederate,Union attack on Confederate positions near a church repelled.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Big_Bethel,
6,1861,"June 17, 1861",Battle of Boonville (Missouri),,Missouri,C,Union,Union forces defeat pro-Confederate governor's Missouri State Guard.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Boonville,
7,1861,"July 2, 1861",Battle of Hoke's Run,,West Virginia (Virginia at the time) [ A ],D,Union,Robert Patterson defeats Jackson's Confederates but fails to capitalize on his victory.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Hoke's_Run,
8,1861,"July 5, 1861",Battle of Carthage,,Missouri,C,Confederate,Confederate victory in Missouri during U.S. Civil War.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Carthage_(1861),
9,1861,"July 11, 1861",Battle of Rich Mountain,,West Virginia (Virginia at the time) [ A ],B,Union,Confederate forces under Gen. Robert S. Garnett split in half mid-battle by Union forces under Maj. Gen. George B. McClellan . One half surrenders; the other escapes.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Rich_Mountain,
10,1861,"July 18, 1861",Battle of Blackburn's Ford,,Virginia,C,Confederate,Irvin McDowell 's recon-in-force defeated at Manassas.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Blackburn's_Ford,
11,1861,"July 21, 1861",First Battle of Bull Run or First Manassas,,Virginia,A,Confederate,"McDowell loses to J.E. Johnston, Beauregard ; Jackson named ""Stonewall"".",CWSAC-rated,https://en.wikipedia.org/wiki/First_Battle_of_Bull_Run,
12,1861,"August 10, 1861",Battle of Wilson's Creek or Oak Hills,,Missouri,A,Confederate,Union forces under Nathaniel Lyon and Samuel D. Sturgis lose to Confederates under Sterling Price and Benjamin McCulloch . Lyon is killed. First major battle west of the Mississippi.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Wilson's_Creek,
13,1861,"August 26, 1861",Battle of Kessler's Cross Lanes,,West Virginia (Virginia at the time) [ A ],D,Confederate,Confederates under John B. Floyd surprise and defeat Union forces under Erastus B. Tyler .,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Kessler's_Cross_Lanes,
14,1861,"August 28 –29, 1861",Battle of Hatteras Inlet Batteries,,North Carolina,C,Union,Union forces capture two North Carolina forts.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Hatteras_Inlet_Batteries,
15,1861,"September 2, 1861",Battle of Dry Wood Creek,,Missouri,D,Confederate,Union cavalry from Kansas defeated by Missouri State Guard.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Dry_Wood_Creek,
16,1861,"September 10, 1861",Battle of Carnifex Ferry,,West Virginia (Virginia at the time) [ A ],B,Union,Confederates withdraw by night after several hours of fighting.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Carnifex_Ferry,
17,1861,"September 12 –15, 1861",Battle of Cheat Mountain,,West Virginia (Virginia at the time) [ A ],B,Union,300 Union troops withstand uncoordinated Confederate attacks.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Cheat_Mountain,
18,1861,"September 13 –20, 1861",First Battle of Lexington,,Missouri,C,Confederate,Union forces badly defeated by Missouri State Guard.,CWSAC-rated,https://en.wikipedia.org/wiki/First_Battle_of_Lexington,
19,1861,"September 17, 1861",Action at Blue Mills Landing,,Missouri,D,Confederate,Minor Missouri State Guard victory.,CWSAC-rated,https://en.wikipedia.org/wiki/Action_at_Blue_Mills_Landing,
20,1861,"September 19, 1861",Battle of Barbourville,,Kentucky,D,Confederate,Zollicoffer raided a Federal recruitment camp and brought a counter-thrust.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Barbourville,
21,1861,"October 3, 1861",Battle of Greenbrier River,,West Virginia (Virginia at the time) [ A ],D,Inconclusive,Confederates withdraw after inconclusive battle.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Greenbrier_River,
22,1861,"October 9, 1861",Battle of Santa Rosa Island,,Florida,C,Union,Union forces repel Confederate attempt to capture island.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Santa_Rosa_Island,
23,1861,"October 21, 1861",Battle of Camp Wildcat,,Kentucky,C,Union,Confederates chased from Cumberland Gap,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Camp_Wildcat,
24,1861,"October 21, 1861",Engagement at Fredericktown,,Missouri,D,Union,Missouri State Guard defeated.,CWSAC-rated,https://en.wikipedia.org/wiki/Engagement_at_Fredericktown,
25,1861,"October 21, 1861",Battle of Ball's Bluff or Leesburg,,Virginia,B,Confederate,550 Union soldiers captured.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Ball's_Bluff,
26,1861,"October 25, 1861",First Battle of Springfield,,Missouri,D,Union,Union forces capture town.,CWSAC-rated,https://en.wikipedia.org/wiki/First_Battle_of_Springfield,
27,1861,"November 7, 1861",Battle of Belmont,,Missouri,C,Inconclusive,"Ulysses S. Grant captures and destroys Confederate supplies near Cairo, Illinois .",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Belmont,
28,1861,"November 8, 1861",Battle of Ivy Mountain,,Kentucky,D,Union,Union forces routed Confederate forces.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Ivy_Mountain,
29,1861,"November 19, 1861",Battle of Round Mountain,,Oklahoma ( Indian Territory at the time),D,Confederate,Opothleyahola 's Unionist Creeks and Seminoles defeated near present-day Stillwater .,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Round_Mountain,
30,1861,"December 9, 1861",Battle of Chusto-Talasah,,Oklahoma ( Indian Territory at the time),D,Confederate,Opothleyahola defeated near present-day Tulsa .,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Chusto-Talasah,
31,1861,"December 13, 1861",Battle of Camp Allegheny,,West Virginia (Virginia at the time) [ A ],C,Inconclusive,Confederates withstand Union attack.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Camp_Allegheny,
32,1861,"December 17, 1861",Battle of Rowlett's Station,,Kentucky,D,Inconclusive,"Union soldiers hold area, but do not launch any counter thrusts. Confederates and Texas Rangers retreat.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Rowlett's_Station,
33,1861,"December 20, 1861",Battle of Dranesville,,Virginia,C,Union,Union defeats Confederate forces under J.E.B. Stuart .,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Dranesville,
34,1861,"December 26, 1861",Battle of Chustenahlah,,Oklahoma ( Indian Territory at the time),B,Confederate,"Opothleyahola defeated, flees to Kansas.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Chustenahlah,
35,1861,"December 28, 1861",Battle of Mount Zion Church,,Missouri,D,Union,Union victory in Northeastern Missouri.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Mount_Zion_Church,
36,1862,"January 3, 1862",Battle of Cockpit Point,,Virginia,C,Inconclusive,Inconclusive Civil War battle in Virginia.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Cockpit_Point,
37,1862,"January 5 –6, 1862",Battle of Hancock,,Maryland,D,Inconclusive,Unsuccessful Confederate attack on Maryland town.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Hancock,
38,1862,"January 8, 1862",Battle of Roan's Tan Yard,,Missouri,D,Union,Confederates routed.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Roan's_Tan_Yard,
39,1862,"January 10, 1862",Battle of Middle Creek,,Kentucky,C,Union,Union forces under James A. Garfield defeat Confederates under Humphrey Marshall .,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Middle_Creek,
40,1862,"January 19, 1862",Battle of Mill Springs,,Kentucky,B,Union,Felix Zollicoffer killed.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Mill_Springs,
41,1862,"February 6, 1862",Battle of Fort Henry,,Tennessee,B,Union,Grant and Foote 's gunboats gain control of Tennessee River by defeating Lloyd Tilghman,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Fort_Henry,
42,1862,"February 7 –8, 1862",Battle of Roanoke Island,,North Carolina,B,Union,Union forces under Ambrose E. Burnside capture island from Henry A. Wise,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Roanoke_Island,
43,1862,"February 11 –16, 1862",Battle of Fort Donelson,,Tennessee,A,Union,"Confederate army under Simon Bolivar Buckner surrenders to Grant , Union gains control of Cumberland River",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Fort_Donelson,
44,1862,"February 20 –21, 1862",Battle of Valverde,,New Mexico ( New Mexico Territory at the time),B,Confederate,Union forces routed in New Mexico Territory .,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Valverde,
45,1862,"February 28 – April 8, 1862",Battle of Island Number Ten (Battle of New Madrid),,Missouri,A,Union,Union victory by Pope over John P. McCown .,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Island_Number_Ten,
