sequence,period_id,period_order,period_title,date_original,battle_title,source_url,source_note,reliability,raw_text
1,ancient_xia,1,史前与夏朝,前30世纪,神农氏攻斧燧氏之战,https://zh.wikipedia.org/wiki/%E7%A5%9E%E5%86%9C%E6%B0%8F%E6%94%BB%E6%96%A7%E7%87%A7%E6%B0%8F%E4%B9%8B%E6%88%98,,未分级,前30世纪－ 神农氏攻斧燧氏之战
2,ancient_xia,1,史前与夏朝,前26世纪,黄帝征服中原地区之战,https://zh.wikipedia.org/wiki/%E9%BB%84%E5%B8%9D,前26世纪－ 阪泉之战 前26世纪－ 涿鹿之战,未分级,前26世纪－ 黄帝征服中原地区之战 前26世纪－ 阪泉之战 前26世纪－ 涿鹿之战
3,ancient_xia,1,史前与夏朝,前26世纪,阪泉之战,https://zh.wikipedia.org/wiki/%E9%98%AA%E6%B3%89%E4%B9%8B%E6%88%98,,未分级,前26世纪－ 阪泉之战
4,ancient_xia,1,史前与夏朝,前26世纪,涿鹿之战,https://zh.wikipedia.org/wiki/%E6%B6%BF%E9%B9%BF%E4%B9%8B%E6%88%98,,未分级,前26世纪－ 涿鹿之战
5,ancient_xia,1,史前与夏朝,前25世纪,颛顼与共工之战,https://zh.wikipedia.org/wiki/%E9%A2%9B%E9%A1%BC#%E6%88%98%E5%85%B1%E5%B7%A5,,未分级,前25世纪－ 颛顼与共工之战
6,ancient_xia,1,史前与夏朝,前24世纪,帝喾攻共工之战,https://zh.wikipedia.org/wiki/%E5%9A%B3#%E6%88%98%E5%85%B1%E5%B7%A5,,未分级,前24世纪－ 帝喾攻共工之战
7,ancient_xia,1,史前与夏朝,前23世纪,尧攻驩兜丹水之战,https://zh.wikipedia.org/wiki/%E9%A9%A9%E5%85%9C,,未分级,前23世纪－ 尧攻驩兜丹水之战
8,ancient_xia,1,史前与夏朝,前22世纪,舜攻三苗之战,https://zh.wikipedia.org/wiki/%E4%B8%89%E8%8B%97,,未分级,前22世纪－ 舜攻三苗之战
9,ancient_xia,1,史前与夏朝,前22世纪,禹攻共工之战,https://zh.wikipedia.org/wiki/%E5%85%B1%E5%B7%A5%E6%B0%8F#%E5%85%B1%E5%B7%A5%E5%8F%91%E5%8A%A8%E6%B4%AA%E6%B0%B4,,未分级,前22世纪－ 禹攻共工之战
10,ancient_xia,1,史前与夏朝,前22世纪,禹攻三苗之战,https://zh.wikipedia.org/wiki/%E7%A6%B9%E4%BC%90%E4%B8%89%E8%8B%97,,未分级,前22世纪－ 禹攻三苗之战
11,ancient_xia,1,史前与夏朝,前21世纪,夏启攻益之战,https://zh.wikipedia.org/wiki/%E4%BC%AF%E7%9B%8A,前21世纪－ 甘之战,未分级,前21世纪－ 夏启攻益之战 前21世纪－ 甘之战
12,ancient_xia,1,史前与夏朝,前21世纪,甘之战,https://zh.wikipedia.org/wiki/%E7%94%98%E4%B9%8B%E6%88%98,,未分级,前21世纪－ 甘之战
13,ancient_xia,1,史前与夏朝,前21世纪,夏启攻西河之战,https://zh.wikipedia.org/wiki/%E5%BD%AD%E4%BC%AF%E5%AF%BF,,未分级,前21世纪－ 夏启攻西河之战
14,ancient_xia,1,史前与夏朝,前20世纪,夏胤攻羲氏和氏之战,https://zh.wikipedia.org/wiki/%E8%83%A4,,未分级,前20世纪－ 夏胤攻羲氏和氏之战
15,ancient_xia,1,史前与夏朝,前20世纪,夏相攻东夷之战,https://zh.wikipedia.org/wiki/%E7%9B%B8_(%E5%A4%8F%E6%9C%9D),,未分级,前20世纪－ 夏相攻东夷之战
16,ancient_xia,1,史前与夏朝,前20世纪中后期,浇灭相之战,https://zh.wikipedia.org/wiki/%E7%9B%B8_(%E5%A4%8F%E6%9C%9D),,未分级,前20世纪中后期－ 浇灭相之战
17,ancient_xia,1,史前与夏朝,前19世纪,夏少康复国之战,https://zh.wikipedia.org/wiki/%E5%B0%91%E5%BA%B7%E4%B8%AD%E8%88%88,,未分级,前19世纪－ 夏少康复国之战
18,ancient_xia,1,史前与夏朝,前19世纪后期,夏少康灭浇之战,https://zh.wikipedia.org/wiki/%E5%AF%92%E6%BE%86,,未分级,前19世纪后期－ 夏少康灭浇之战
19,ancient_xia,1,史前与夏朝,前19世纪后期,夏季杼灭豷之战,https://zh.wikipedia.org/wiki/%E8%B1%B7,,未分级,前19世纪后期－ 夏季杼灭豷之战
20,ancient_xia,1,史前与夏朝,前19世纪后期,夏伯靡灭寒浞之战,https://zh.wikipedia.org/wiki/%E4%BC%AF%E9%9D%A1,,未分级,前19世纪后期－ 夏伯靡灭寒浞之战
21,ancient_xia,1,史前与夏朝,前19世纪后期,夏季杼攻东夷之战,https://zh.wikipedia.org/wiki/%E6%9D%BC,,未分级,前19世纪后期－ 夏季杼攻东夷之战
22,ancient_xia,1,史前与夏朝,前18世纪,洛伯与河伯之战,https://zh.wikipedia.org/wiki/%E6%B2%B3%E4%BC%AF,,未分级,前18世纪－ 洛伯与河伯之战
23,ancient_xia,1,史前与夏朝,前17世纪,商上甲微灭有易氏之战,https://zh.wikipedia.org/wiki/%E4%B8%8A%E7%94%B2%E5%BE%AE,,未分级,前17世纪－ 商上甲微灭有易氏之战
24,ancient_xia,1,史前与夏朝,前17世纪,夏不降攻九苑之战,https://zh.wikipedia.org/wiki/%E4%B9%9D%E8%8B%91,,未分级,前17世纪－ 夏不降攻九苑之战
25,ancient_xia,1,史前与夏朝,前16世纪,夏桀攻有施氏之战,https://zh.wikipedia.org/wiki/%E6%9C%89%E6%96%BD%E6%B0%8F,,未分级,前16世纪－ 夏桀攻有施氏之战
26,ancient_xia,1,史前与夏朝,前16世纪,夏桀攻有缗氏之战,https://zh.wikipedia.org/wiki/%E6%9C%89%E7%BC%97%E6%B0%8F,,未分级,前16世纪－ 夏桀攻有缗氏之战
