sequence,period_id,period_order,period_title,date_original,battle_title,source_url,source_note,reliability,raw_text
27,shang,2,商朝（前1600年－前1046年）,前16世纪,商灭夏的战争,https://zh.wikipedia.org/wiki/%E9%B8%A3%E6%9D%A1%E4%B9%8B%E6%88%98,约前1600年－ 鸣条之战,未分级,前16世纪－ 商灭夏的战争 约前1600年－ 鸣条之战
28,shang,2,商朝（前1600年－前1046年）,约前1600年,鸣条之战,https://zh.wikipedia.org/wiki/%E9%B8%A3%E6%9D%A1%E4%B9%8B%E6%88%98,,未分级,约前1600年－ 鸣条之战
29,shang,2,商朝（前1600年－前1046年）,前16世纪,商汤灭葛之战,https://zh.wikipedia.org/wiki/%E9%B8%A3%E6%9D%A1%E4%B9%8B%E6%88%98,,未分级,前16世纪－ 商汤灭葛之战
30,shang,2,商朝（前1600年－前1046年）,前16世纪,商汤灭韦顾之战,https://zh.wikipedia.org/wiki/%E9%B8%A3%E6%9D%A1%E4%B9%8B%E6%88%98,,未分级,前16世纪－ 商汤灭韦顾之战
31,shang,2,商朝（前1600年－前1046年）,前16世纪,商汤灭昆吾之战,https://zh.wikipedia.org/wiki/%E9%B8%A3%E6%9D%A1%E4%B9%8B%E6%88%98,,未分级,前16世纪－ 商汤灭昆吾之战
32,shang,2,商朝（前1600年－前1046年）,前16世纪,商中丁攻蓝夷之战,https://zh.wikipedia.org/wiki/%E8%93%9D%E5%A4%B7,,未分级,前16世纪－ 商中丁攻蓝夷之战
33,shang,2,商朝（前1600年－前1046年）,前14世纪,商河亶甲攻蓝夷班方之战,https://zh.wikipedia.org/wiki/%E7%8F%AD%E6%96%B9,,未分级,前14世纪－ 商河亶甲攻蓝夷班方之战
34,shang,2,商朝（前1600年－前1046年）,前14世纪后期,商阳甲西征之战,https://zh.wikipedia.org/wiki/%E9%98%B3%E7%94%B2,,未分级,前14世纪后期－ 商阳甲西征之战
35,shang,2,商朝（前1600年－前1046年）,前13世纪,商武丁攻周边各国的战争,https://zh.wikipedia.org/wiki/%E6%AD%A6%E4%B8%81,前13世纪－ 商武丁攻甫之战 前13世纪－ 商武丁攻沚之战 前13世纪－ 商武丁攻周之战 前13世纪－ 商武丁攻巴方之战 前13世纪－ 商武丁攻下危之战 前13世纪－ 武丁攻宙方之战 前13世纪－ 商武丁攻缶之战 前13世纪－ 子方攻基攻缶之战 前13世纪－ 商武丁攻亘方之战 前13世纪－ 商武丁攻荆楚之战 前13世纪－ 商武丁攻归、佣之战 前13世纪－ 商武丁攻虎方之战 前13世纪－ 商武丁攻土之战 前13世纪－ 商武丁攻方之战 前13世纪－ 商武丁攻洋方之战 前13世纪－ 商武丁攻羌方之战 前13世纪－ 商武丁攻北羌之战 前13世纪－ 商武丁攻龙方之战 前13世纪－ 商震攻鬼方之战 前13世纪－ 商武丁攻人方之战,未分级,前13世纪－ 商武丁攻周边各国的战争 前13世纪－ 商武丁攻甫之战 前13世纪－ 商武丁攻沚之战 前13世纪－ 商武丁攻周之战 前13世纪－ 商武丁攻巴方之战 前13世纪－ 商武丁攻下危之战 前13世纪－ 武丁攻宙方之战 前13世纪－ 商武丁攻缶之战 前13世纪－ 子方攻基攻缶之战 前13世纪－ 商武丁攻亘方之战 前13世纪－ 商武丁攻荆楚之战 前13世纪－ 商武丁攻归、佣之战 前13世纪－ 商武丁攻虎方之战 前13世纪－ 商武丁攻土之战 前13世纪－ 商武丁攻方之战 前13世纪－ 商武丁攻洋方之战 前13世纪－ 商武丁攻羌方之战 前13世纪－ 商武丁攻北羌之战 前13世纪－ 商武丁攻龙方之战 前13世纪－ 商震攻鬼方之战 前13世纪－ 商武丁攻人方之战
36,shang,2,商朝（前1600年－前1046年）,前13世纪,商武丁攻甫之战,https://zh.wikipedia.org/wiki/%E5%90%95%E5%9B%BD,,未分级,前13世纪－ 商武丁攻甫之战
37,shang,2,商朝（前1600年－前1046年）,前13世纪,商武丁攻沚之战,https://zh.wikipedia.org/wiki/%E6%B2%9A%E5%9B%BD,,未分级,前13世纪－ 商武丁攻沚之战
38,shang,2,商朝（前1600年－前1046年）,前13世纪,商武丁攻周之战,https://zh.wikipedia.org/wiki/%E5%91%A8%E6%9C%9D,,未分级,前13世纪－ 商武丁攻周之战
