sequence,period_id,period_order,period_title,date_original,battle_title,source_url,source_note,reliability,raw_text
112,spring_autumn,4,春秋时期（前770年－前476年）,年代未详,西周亡 ，春秋时期开始,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%88%98%E4%BA%89%E5%88%97%E8%A1%A8,,未分级,西周亡 ，春秋时期开始
113,spring_autumn,4,春秋时期（前770年－前476年）,前769年,郑灭郐之战,https://zh.wikipedia.org/wiki/%E9%83%91%E7%81%AD%E9%83%90%E4%B9%8B%E6%88%98,,未分级,前769年－ 郑灭郐之战
114,spring_autumn,4,春秋时期（前770年－前476年）,前767年,郑灭虢之战,https://zh.wikipedia.org/wiki/%E9%83%91%E7%81%AD%E8%99%A2%E4%B9%8B%E6%88%98,,未分级,前767年－ 郑灭虢之战
115,spring_autumn,4,春秋时期（前770年－前476年）,前824年,秦灭戎之战,https://zh.wikipedia.org/wiki/%E7%A7%A6%E6%BB%85%E6%88%8E%E4%B9%8B%E6%88%B0,前621年－  前766年－ 秦攻犬戎之战 前750年－ 秦攻戎之战,未分级,前824年－前621年－ 秦灭戎之战 前766年－ 秦攻犬戎之战 前750年－ 秦攻戎之战
116,spring_autumn,4,春秋时期（前770年－前476年）,前766年,秦攻犬戎之战,https://zh.wikipedia.org/wiki/%E7%A7%A6%E6%94%BB%E7%8A%AC%E6%88%8E%E4%B9%8B%E6%88%98,,未分级,前766年－ 秦攻犬戎之战
117,spring_autumn,4,春秋时期（前770年－前476年）,前750年,秦攻戎之战,https://zh.wikipedia.org/wiki/%E7%A7%A6%E6%94%BB%E6%88%8E%E4%B9%8B%E6%88%98,,未分级,前750年－ 秦攻戎之战
118,spring_autumn,4,春秋时期（前770年－前476年）,前739年,桓叔之战,https://zh.wikipedia.org/wiki/%E6%A1%93%E5%8F%94%E4%B9%8B%E6%88%B0,,未分级,前739年－ 桓叔之战
119,spring_autumn,4,春秋时期（前770年－前476年）,前722年,共叔段之乱,https://zh.wikipedia.org/wiki/%E5%85%B1%E5%8F%94%E6%AE%B5%E4%B9%8B%E4%BA%82,,未分级,前722年－ 共叔段之乱
120,spring_autumn,4,春秋时期（前770年－前476年）,前722年,纪攻夷之战,https://zh.wikipedia.org/wiki/%E7%BA%AA%E6%94%BB%E5%A4%B7%E4%B9%8B%E6%88%98,,未分级,前722年－ 纪攻夷之战
121,spring_autumn,4,春秋时期（前770年－前476年）,前721年,莒攻向之战,https://zh.wikipedia.org/wiki/%E8%8E%92%E6%94%BB%E5%90%91%E4%B9%8B%E6%88%98,,未分级,前721年－ 莒攻向之战
122,spring_autumn,4,春秋时期（前770年－前476年）,前721年,鲁灭极之战,https://zh.wikipedia.org/wiki/%E9%B2%81%E7%81%AD%E6%9E%81%E4%B9%8B%E6%88%98,,未分级,前721年－ 鲁灭极之战
123,spring_autumn,4,春秋时期（前770年－前476年）,前720年,郑攻周之战,https://zh.wikipedia.org/wiki/%E5%91%A8%E9%84%AD%E4%BA%A4%E6%83%A1,,未分级,前720年－ 郑攻周之战
124,spring_autumn,4,春秋时期（前770年－前476年）,前719年,东门之战,https://zh.wikipedia.org/wiki/%E4%B8%9C%E9%97%A8%E4%B9%8B%E6%88%98,,未分级,前719年－ 东门之战
125,spring_autumn,4,春秋时期（前770年－前476年）,前719年,莒攻杞之战,https://zh.wikipedia.org/wiki/%E8%8E%92%E6%94%BB%E6%9D%9E%E4%B9%8B%E6%88%98,,未分级,前719年－ 莒攻杞之战
126,spring_autumn,4,春秋时期（前770年－前476年）,前718年,制北之战,https://zh.wikipedia.org/wiki/%E5%88%B6%E5%8C%97%E4%B9%8B%E6%88%98,,未分级,前718年－ 制北之战
127,spring_autumn,4,春秋时期（前770年－前476年）,前718年,长葛之战,https://zh.wikipedia.org/wiki/%E9%95%BF%E8%91%9B%E4%B9%8B%E6%88%98,,未分级,前718年－ 长葛之战
128,spring_autumn,4,春秋时期（前770年－前476年）,前718年,晋庄伯攻翼之战,https://zh.wikipedia.org/wiki/%E6%99%8B%E5%BA%84%E4%BC%AF%E6%94%BB%E7%BF%BC%E4%B9%8B%E6%88%98,,未分级,前718年－ 晋庄伯攻翼之战
129,spring_autumn,4,春秋时期（前770年－前476年）,前718年,卫攻郕之战,https://zh.wikipedia.org/wiki/%E5%8D%AB%E6%94%BB%E9%83%95%E4%B9%8B%E6%88%98,,未分级,前718年－ 卫攻郕之战
130,spring_autumn,4,春秋时期（前770年－前476年）,前716年,戎袭周使凡伯之战,https://zh.wikipedia.org/wiki/%E6%88%8E%E8%A2%AD%E5%91%A8%E4%BD%BF%E5%87%A1%E4%BC%AF%E4%B9%8B%E6%88%98,,未分级,前716年－ 戎袭周使凡伯之战
131,spring_autumn,4,春秋时期（前770年－前476年）,前716年,郑攻陈之战,https://zh.wikipedia.org/wiki/%E9%83%91%E6%94%BB%E9%99%88%E4%B9%8B%E6%88%98,,未分级,前716年－ 郑攻陈之战
132,spring_autumn,4,春秋时期（前770年－前476年）,前714年,郑抗北戎之战,https://zh.wikipedia.org/wiki/%E9%83%91%E6%8A%97%E5%8C%97%E6%88%8E%E4%B9%8B%E6%88%98,,未分级,前714年－ 郑抗北戎之战
133,spring_autumn,4,春秋时期（前770年－前476年）,前713年,秦灭荡社之战,https://zh.wikipedia.org/wiki/%E7%A7%A6%E7%81%AD%E8%8D%A1%E7%A4%BE%E4%B9%8B%E6%88%98,,未分级,前713年－ 秦灭荡社之战
134,spring_autumn,4,春秋时期（前770年－前476年）,前713年,卫戴之战,https://zh.wikipedia.org/wiki/%E5%8D%AB%E6%88%B4%E4%B9%8B%E6%88%98,,未分级,前713年－ 卫戴之战
135,spring_autumn,4,春秋时期（前770年－前476年）,前712年,郑鲁齐三国攻许之战,https://zh.wikipedia.org/wiki/%E9%84%AD%E9%AD%AF%E9%BD%8A%E4%B8%89%E5%9C%8B%E6%94%BB%E8%A8%B1%E4%B9%8B%E6%88%B0,,未分级,前712年－ 郑鲁齐三国攻许之战
136,spring_autumn,4,春秋时期（前770年－前476年）,前712年,息竞之战,https://zh.wikipedia.org/wiki/%E6%81%AF%E7%AB%9E%E4%B9%8B%E6%88%98,,未分级,前712年－ 息竞之战
137,spring_autumn,4,春秋时期（前770年－前476年）,前712年,郑伯攻宋之战,https://zh.wikipedia.org/wiki/%E9%83%91%E4%BC%AF%E6%94%BB%E5%AE%8B%E4%B9%8B%E6%88%98,,未分级,前712年－ 郑伯攻宋之战
138,spring_autumn,4,春秋时期（前770年－前476年）,前711年,鲁攻杞之战,https://zh.wikipedia.org/wiki/%E9%B2%81%E6%94%BB%E6%9D%9E%E4%B9%8B%E6%88%98,,未分级,前711年－ 鲁攻杞之战
139,spring_autumn,4,春秋时期（前770年－前476年）,前709年,汾隰之战,https://zh.wikipedia.org/wiki/%E6%B1%BE%E9%9A%B0%E4%B9%8B%E6%88%98,,未分级,前709年－ 汾隰之战
140,spring_autumn,4,春秋时期（前770年－前476年）,前707年,????葛之战,https://zh.wikipedia.org/wiki/%E7%B9%BB%E8%91%9B%E4%B9%8B%E6%88%98,,未分级,前707年－ ????葛之战
141,spring_autumn,4,春秋时期（前770年－前476年）,前706年,北戎攻齐之战,https://zh.wikipedia.org/wiki/%E5%8C%97%E6%88%8E%E6%94%BB%E9%BD%90%E4%B9%8B%E6%88%98,,未分级,前706年－ 北戎攻齐之战
142,spring_autumn,4,春秋时期（前770年－前476年）,前705年,郑攻盟、向之战,https://zh.wikipedia.org/wiki/%E9%83%91%E6%94%BB%E7%9B%9F%E3%80%81%E5%90%91%E4%B9%8B%E6%88%98,,未分级,前705年－ 郑攻盟、向之战
143,spring_autumn,4,春秋时期（前770年－前476年）,前704年,楚、随速杞之战,https://zh.wikipedia.org/wiki/%E9%80%9F%E6%9D%9E%E4%B9%8B%E6%88%B0,,未分级,前704年－ 楚、随速杞之战
144,spring_autumn,4,春秋时期（前770年－前476年）,前704年,秦攻荡氏之战,https://zh.wikipedia.org/wiki/%E7%A7%A6%E6%94%BB%E8%8D%A1%E6%B0%8F%E4%B9%8B%E6%88%98,,未分级,前704年－ 秦攻荡氏之战
145,spring_autumn,4,春秋时期（前770年－前476年）,前704年,曲沃灭翼之战,https://zh.wikipedia.org/wiki/%E6%9B%B2%E6%B2%83%E7%81%AD%E7%BF%BC%E4%B9%8B%E6%88%98,,未分级,前704年－ 曲沃灭翼之战
146,spring_autumn,4,春秋时期（前770年－前476年）,前704年,周攻曲沃之战,https://zh.wikipedia.org/wiki/%E5%91%A8%E6%94%BB%E6%9B%B2%E6%B2%83%E4%B9%8B%E6%88%98,,未分级,前704年－ 周攻曲沃之战
147,spring_autumn,4,春秋时期（前770年－前476年）,前703年,楚、巴攻邓、鄾之战,https://zh.wikipedia.org/wiki/%E6%A5%9A%E3%80%81%E5%B7%B4%E6%94%BB%E9%82%93%E3%80%81%E9%84%BE%E4%B9%8B%E6%88%98,,未分级,前703年－ 楚、巴攻邓、鄾之战
148,spring_autumn,4,春秋时期（前770年－前476年）,前702年,齐、卫、郑联合攻鲁之战,https://zh.wikipedia.org/wiki/%E9%BD%90%E3%80%81%E5%8D%AB%E3%80%81%E9%83%91%E8%81%94%E5%90%88%E6%94%BB%E9%B2%81%E4%B9%8B%E6%88%98,,未分级,前702年－ 齐、卫、郑联合攻鲁之战
149,spring_autumn,4,春秋时期（前770年－前476年）,前702年,詹父攻虢公之战,https://zh.wikipedia.org/wiki/%E8%A9%B9%E7%88%B6%E6%94%BB%E8%99%A2%E5%85%AC%E4%B9%8B%E6%88%98,,未分级,前702年－ 詹父攻虢公之战
150,spring_autumn,4,春秋时期（前770年－前476年）,前702年,虞叔攻虞公之战,https://zh.wikipedia.org/wiki/%E8%99%9E%E5%8F%94%E6%94%BB%E8%99%9E%E5%85%AC%E4%B9%8B%E6%88%98,,未分级,前702年－ 虞叔攻虞公之战
151,spring_autumn,4,春秋时期（前770年－前476年）,前701年,蒲骚之战,https://zh.wikipedia.org/wiki/%E8%92%B2%E9%AA%9A%E4%B9%8B%E6%88%98,,未分级,前701年－ 蒲骚之战
152,spring_autumn,4,春秋时期（前770年－前476年）,前700年,楚攻绞之战,https://zh.wikipedia.org/wiki/%E6%A5%9A%E6%94%BB%E7%BB%9E%E4%B9%8B%E6%88%98,,未分级,前700年－ 楚攻绞之战
153,spring_autumn,4,春秋时期（前770年－前476年）,前700年,鲁联郑攻宋之战,https://zh.wikipedia.org/wiki/%E9%B2%81%E8%81%94%E9%83%91%E6%94%BB%E5%AE%8B%E4%B9%8B%E6%88%98,,未分级,前700年－ 鲁联郑攻宋之战
154,spring_autumn,4,春秋时期（前770年－前476年）,前699年,楚攻罗之战,https://zh.wikipedia.org/wiki/%E6%A5%9A%E6%94%BB%E7%BD%97%E4%B9%8B%E6%88%98,,未分级,前699年－ 楚攻罗之战
155,spring_autumn,4,春秋时期（前770年－前476年）,前699年,郑、宋纪之战,https://zh.wikipedia.org/wiki/%E9%83%91%E3%80%81%E5%AE%8B%E7%BA%AA%E4%B9%8B%E6%88%98,,未分级,前699年－ 郑、宋纪之战
156,spring_autumn,4,春秋时期（前770年－前476年）,前698年,牛首之战,https://zh.wikipedia.org/wiki/%E7%89%9B%E9%A6%96%E4%B9%8B%E6%88%98,,未分级,前698年－ 牛首之战
157,spring_autumn,4,春秋时期（前770年－前476年）,前697年,郑厉公复位之战,https://zh.wikipedia.org/wiki/%E9%83%91%E5%8E%89%E5%85%AC%E5%A4%8D%E4%BD%8D%E4%B9%8B%E6%88%98,,未分级,前697年－ 郑厉公复位之战
158,spring_autumn,4,春秋时期（前770年－前476年）,前697年,秦攻彭戏氏之战,https://zh.wikipedia.org/wiki/%E7%A7%A6%E6%94%BB%E5%BD%AD%E6%88%8F%E6%B0%8F%E4%B9%8B%E6%88%98,,未分级,前697年－ 秦攻彭戏氏之战
159,spring_autumn,4,春秋时期（前770年－前476年）,前695年,鲁奚之战,https://zh.wikipedia.org/wiki/%E9%B2%81%E5%A5%9A%E4%B9%8B%E6%88%98,,未分级,前695年－ 鲁奚之战
160,spring_autumn,4,春秋时期（前770年－前476年）,前695年,鲁、宋攻邾之战,https://zh.wikipedia.org/wiki/%E9%B2%81%E3%80%81%E5%AE%8B%E6%94%BB%E9%82%BE%E4%B9%8B%E6%88%98,,未分级,前695年－ 鲁、宋攻邾之战
161,spring_autumn,4,春秋时期（前770年－前476年）,前693年,齐灭纪之战,https://zh.wikipedia.org/wiki/%E9%BD%90%E7%81%AD%E7%BA%AA%E4%B9%8B%E6%88%98,,未分级,前693年－ 齐灭纪之战
162,spring_autumn,4,春秋时期（前770年－前476年）,前692年,鲁攻余于丘之战,https://zh.wikipedia.org/wiki/%E9%B2%81%E6%94%BB%E4%BD%99%E4%BA%8E%E4%B8%98%E4%B9%8B%E6%88%98,,未分级,前692年－ 鲁攻余于丘之战
163,spring_autumn,4,春秋时期（前770年－前476年）,前691年,鲁攻卫之战,https://zh.wikipedia.org/wiki/%E9%B2%81%E6%94%BB%E5%8D%AB%E4%B9%8B%E6%88%98,,未分级,前691年－ 鲁攻卫之战
164,spring_autumn,4,春秋时期（前770年－前476年）,前690年,楚攻随之战,https://zh.wikipedia.org/wiki/%E6%A5%9A%E6%94%BB%E9%9A%8F%E4%B9%8B%E6%88%98,,未分级,前690年－ 楚攻随之战
