sequence,period_id,period_order,period_title,date_original,battle_title,source_url,source_note,reliability,raw_text
495,warring_states_qin,5,战国时期（前475年－前221年）－秦朝（前221年－前207年）,前475年,越王勾践灭吴之战,https://zh.wikipedia.org/wiki/%E8%B6%8A%E7%81%AD%E5%90%B4%E4%B9%8B%E6%88%98,前473年,未分级,前475年－前473年－ 越王勾践灭吴之战
496,warring_states_qin,5,战国时期（前475年－前221年）－秦朝（前221年－前207年）,前468年,晋智瑶攻郑之战,https://zh.wikipedia.org/wiki/%E6%99%8B%E6%99%BA%E7%91%B6%E6%94%BB%E9%83%91%E4%B9%8B%E6%88%98,前464年,未分级,前468年－前464年－ 晋智瑶攻郑之战
497,warring_states_qin,5,战国时期（前475年－前221年）－秦朝（前221年－前207年）,前455年,晋阳之战（三家灭智）,https://zh.wikipedia.org/wiki/%E6%99%89%E9%99%BD%E4%B9%8B%E6%88%B0,前453年,未分级,前455年－前453年－ 晋阳之战（三家灭智）
498,warring_states_qin,5,战国时期（前475年－前221年）－秦朝（前221年－前207年）,前447年,楚灭蔡之战,https://zh.wikipedia.org/wiki/%E6%A5%9A%E7%81%AD%E8%94%A1%E4%B9%8B%E6%88%98,,未分级,前447年－ 楚灭蔡之战
499,warring_states_qin,5,战国时期（前475年－前221年）－秦朝（前221年－前207年）,前434年,三家分晋,https://zh.wikipedia.org/wiki/%E4%B8%89%E5%AE%B6%E5%88%86%E6%99%89,前403年,未分级,前434年－前403年－ 三家分晋
500,warring_states_qin,5,战国时期（前475年－前221年）－秦朝（前221年－前207年）,前419年,河西之战（前期）,https://zh.wikipedia.org/wiki/%E6%B2%B3%E8%A5%BF%E4%B9%8B%E6%88%98_(%E6%88%98%E5%9B%BD),前408年－  （ 秦 魏 对峙九十年）,未分级,前419年－前408年－ 河西之战（前期） （ 秦 魏 对峙九十年）
501,warring_states_qin,5,战国时期（前475年－前221年）－秦朝（前221年－前207年）,前408年,魏灭中山之战,https://zh.wikipedia.org/wiki/%E9%AD%8F%E6%BB%85%E4%B8%AD%E5%B1%B1%E4%B9%8B%E6%88%B0,前406年,未分级,前408年－前406年－ 魏灭中山之战
502,warring_states_qin,5,战国时期（前475年－前221年）－秦朝（前221年－前207年）,前405年,三晋伐齐之战,https://zh.wikipedia.org/wiki/%E4%B8%89%E6%99%89%E4%BC%90%E9%BD%8A%E4%B9%8B%E6%88%B0,前404年,未分级,前405年－前404年－ 三晋伐齐之战
503,warring_states_qin,5,战国时期（前475年－前221年）－秦朝（前221年－前207年）,前389年,阴晋之战,https://zh.wikipedia.org/wiki/%E9%99%B0%E6%99%89%E4%B9%8B%E6%88%B0,,未分级,前389年－ 阴晋之战
504,warring_states_qin,5,战国时期（前475年－前221年）－秦朝（前221年－前207年）,前383年,棘蒲之战,https://zh.wikipedia.org/wiki/%E6%A3%98%E8%92%B2%E4%B9%8B%E6%88%B0,前381年,未分级,前383年－前381年－ 棘蒲之战
505,warring_states_qin,5,战国时期（前475年－前221年）－秦朝（前221年－前207年）,前375年,韩灭郑之战,https://zh.wikipedia.org/wiki/%E9%9F%93%E6%BB%85%E9%84%AD%E4%B9%8B%E6%88%B0,,未分级,前375年－ 韩灭郑之战
506,warring_states_qin,5,战国时期（前475年－前221年）－秦朝（前221年－前207年）,前369年,浊泽之战,https://zh.wikipedia.org/wiki/%E6%BF%81%E6%BE%A4%E4%B9%8B%E6%88%B0,,未分级,前369年－ 浊泽之战
507,warring_states_qin,5,战国时期（前475年－前221年）－秦朝（前221年－前207年）,前366年,河西之战（后期）,https://zh.wikipedia.org/wiki/%E6%B2%B3%E8%A5%BF%E4%B9%8B%E6%88%98_(%E6%88%98%E5%9B%BD),前330年－  （ 魏长城 ）,未分级,前366年－前330年－ 河西之战（后期） （ 魏长城 ）
508,warring_states_qin,5,战国时期（前475年－前221年）－秦朝（前221年－前207年）,前362年,浍北之战,https://zh.wikipedia.org/wiki/%E6%B5%8D%E5%8C%97%E4%B9%8B%E6%88%98,,未分级,前362年－ 浍北之战
509,warring_states_qin,5,战国时期（前475年－前221年）－秦朝（前221年－前207年）,前354年,桂陵之战,https://zh.wikipedia.org/wiki/%E6%A1%82%E9%99%B5%E4%B9%8B%E6%88%B0,前353年,未分级,前354年－前353年－ 桂陵之战
510,warring_states_qin,5,战国时期（前475年－前221年）－秦朝（前221年－前207年）,前342年,马陵之战,https://zh.wikipedia.org/wiki/%E9%A6%AC%E9%99%B5%E4%B9%8B%E6%88%B0,,未分级,前342年－ 马陵之战
511,warring_states_qin,5,战国时期（前475年－前221年）－秦朝（前221年－前207年）,前323年,桑丘之战,https://zh.wikipedia.org/wiki/%E6%A1%91%E4%B8%98%E4%B9%8B%E6%88%B0,,未分级,前323年－ 桑丘之战
512,warring_states_qin,5,战国时期（前475年－前221年）－秦朝（前221年－前207年）,前318年,函谷关之战 (前318年),https://zh.wikipedia.org/wiki/%E5%87%BD%E8%B0%B7%E5%85%B3%E4%B9%8B%E6%88%98_(%E5%89%8D318%E5%B9%B4),,未分级,前318年－ 函谷关之战 (前318年)
513,warring_states_qin,5,战国时期（前475年－前221年）－秦朝（前221年－前207年）,年代未详,观泽之战,https://zh.wikipedia.org/wiki/%E8%A7%80%E6%BE%A4%E4%B9%8B%E6%88%B0,前317年一,未分级,前317年一 观泽之战
514,warring_states_qin,5,战国时期（前475年－前221年）－秦朝（前221年－前207年）,前316年,秦灭巴蜀之战,https://zh.wikipedia.org/wiki/%E7%A7%A6%E6%BB%85%E5%B7%B4%E8%9C%80%E4%B9%8B%E6%88%B0,,未分级,前316年－ 秦灭巴蜀之战
515,warring_states_qin,5,战国时期（前475年－前221年）－秦朝（前221年－前207年）,前314年,齐破燕之战,https://zh.wikipedia.org/wiki/%E9%BD%90%E7%A0%B4%E7%87%95%E4%B9%8B%E6%88%98,,未分级,前314年－ 齐破燕之战
