sequence,period_id,period_order,period_title,date_original,battle_title,source_url,source_note,reliability,raw_text
627,three_kingdoms,7,三国（184－280）,190年,董卓讨伐战,https://zh.wikipedia.org/wiki/%E8%91%A3%E5%8D%93%E8%A8%8E%E4%BC%90%E6%88%B0,190年： 鲁阳之战,未分级,190年： 董卓讨伐战 190年： 鲁阳之战
628,three_kingdoms,7,三国（184－280）,190年,鲁阳之战,https://zh.wikipedia.org/wiki/%E9%B2%81%E9%98%B3%E4%B9%8B%E6%88%98,,未分级,190年： 鲁阳之战
629,three_kingdoms,7,三国（184－280）,191年,界桥之战,https://zh.wikipedia.org/wiki/%E7%95%8C%E6%A9%8B%E4%B9%8B%E6%88%B0,,未分级,191年： 界桥之战
630,three_kingdoms,7,三国（184－280）,191年,襄阳之战,https://zh.wikipedia.org/wiki/%E8%A5%84%E9%98%B3%E4%B9%8B%E6%88%98,,未分级,191年： 襄阳之战
631,three_kingdoms,7,三国（184－280）,191年,曹操统一北方的战争,https://zh.wikipedia.org/wiki/%E6%9B%B9%E6%93%8D%E7%BB%9F%E4%B8%80%E5%8C%97%E6%96%B9%E7%9A%84%E6%88%98%E4%BA%89,208年：  192年： 武阳之战 192年： 兖州之战 192年： 龙凑之战 192年： 巨马水之战 195年： 定陶之战 197年－199年 : 曹操讨伐袁术之战 198年： 穰城之战 198年 : 下邳之战 200年： 黄河 渡口 官渡之战 200年： 徐州之战 200年： 白马之战 200年： 延津之战 200年： 乌巢之战 200年： 仓亭之战 205年： 南皮之战 207年： 白狼山之战,未分级,191年－208年： 曹操统一北方的战争 192年： 武阳之战 192年： 兖州之战 192年： 龙凑之战 192年： 巨马水之战 195年： 定陶之战 197年－199年 : 曹操讨伐袁术之战 198年： 穰城之战 198年 : 下邳之战 200年： 黄河 渡口 官渡之战 200年： 徐州之战 200年： 白马之战 200年： 延津之战 200年： 乌巢之战 200年： 仓亭之战 205年： 南皮之战 207年： 白狼山之战
632,three_kingdoms,7,三国（184－280）,192年,武阳之战,https://zh.wikipedia.org/wiki/%E6%AD%A6%E9%98%B3%E4%B9%8B%E6%88%98,,未分级,192年： 武阳之战
633,three_kingdoms,7,三国（184－280）,192年,兖州之战,https://zh.wikipedia.org/wiki/%E5%85%96%E5%B7%9E%E4%B9%8B%E6%88%98,,未分级,192年： 兖州之战
634,three_kingdoms,7,三国（184－280）,192年,龙凑之战,https://zh.wikipedia.org/wiki/%E9%BE%8D%E6%B9%8A%E4%B9%8B%E6%88%B0,,未分级,192年： 龙凑之战
635,three_kingdoms,7,三国（184－280）,192年,巨马水之战,https://zh.wikipedia.org/wiki/%E5%B7%A8%E9%A6%AC%E6%B0%B4%E4%B9%8B%E6%88%B0,,未分级,192年： 巨马水之战
636,three_kingdoms,7,三国（184－280）,195年,定陶之战,https://zh.wikipedia.org/wiki/%E5%AE%9A%E9%99%B6%E4%B9%8B%E6%88%B0_(%E6%9D%B1%E6%BC%A2),,未分级,195年： 定陶之战
