sequence,period_id,period_order,period_title,date_original,battle_title,source_url,source_note,reliability,raw_text
689,jin_sixteen_kingdoms,8,晋朝（265－420）与五胡十六国（304－439）,279年,凉州之战,https://zh.wikipedia.org/wiki/%E5%87%89%E5%B7%9E%E4%B9%8B%E6%88%98,,未分级,279年： 凉州之战
690,jin_sixteen_kingdoms,8,晋朝（265－420）与五胡十六国（304－439）,279年,晋灭吴之战,https://zh.wikipedia.org/wiki/%E6%99%8B%E7%81%AD%E5%90%B4%E4%B9%8B%E6%88%98,,未分级,279年： 晋灭吴之战
691,jin_sixteen_kingdoms,8,晋朝（265－420）与五胡十六国（304－439）,291年,八王之乱,https://zh.wikipedia.org/wiki/%E5%85%AB%E7%8E%8B%E4%B9%8B%E4%B9%B1,306年,未分级,291年－306年： 八王之乱
692,jin_sixteen_kingdoms,8,晋朝（265－420）与五胡十六国（304－439）,296年,西晋末年流民起义,https://zh.wikipedia.org/wiki/%E8%A5%BF%E6%99%8B%E6%9C%AB%E5%B9%B4%E6%B5%81%E6%B0%91%E8%B5%B7%E4%B9%89,315年,未分级,296年－315年： 西晋末年流民起义
693,jin_sixteen_kingdoms,8,晋朝（265－420）与五胡十六国（304－439）,305年,陈敏反晋之战,https://zh.wikipedia.org/wiki/%E9%99%88%E6%95%8F%E5%8F%8D%E6%99%8B%E4%B9%8B%E6%88%98,307年,未分级,305年－307年： 陈敏反晋之战
694,jin_sixteen_kingdoms,8,晋朝（265－420）与五胡十六国（304－439）,311年,永嘉之乱,https://zh.wikipedia.org/wiki/%E6%B0%B8%E5%98%89%E4%B9%8B%E4%B9%B1,,未分级,311年： 永嘉之乱
695,jin_sixteen_kingdoms,8,晋朝（265－420）与五胡十六国（304－439）,311年,宁平城之战,https://zh.wikipedia.org/wiki/%E5%AE%81%E5%B9%B3%E5%9F%8E%E4%B9%8B%E6%88%98,,未分级,311年： 宁平城之战
696,jin_sixteen_kingdoms,8,晋朝（265－420）与五胡十六国（304－439）,311年,杜弢起义,https://zh.wikipedia.org/wiki/%E6%9D%9C%E5%BC%A2%E8%B5%B7%E4%B9%89,315年,未分级,311年－315年： 杜弢起义
697,jin_sixteen_kingdoms,8,晋朝（265－420）与五胡十六国（304－439）,312年,石勒守护襄国之战,https://zh.wikipedia.org/wiki/%E7%9F%B3%E5%8B%92%E5%AE%88%E8%AD%B7%E8%A5%84%E5%9C%8B%E4%B9%8B%E6%88%B0,,未分级,312年： 石勒守护襄国之战
698,jin_sixteen_kingdoms,8,晋朝（265－420）与五胡十六国（304－439）,314年,幽州之战,https://zh.wikipedia.org/wiki/%E5%B9%BD%E5%B7%9E%E4%B9%8B%E6%88%98_(314%E5%B9%B4),,未分级,314年： 幽州之战
699,jin_sixteen_kingdoms,8,晋朝（265－420）与五胡十六国（304－439）,316年,长安之战,https://zh.wikipedia.org/wiki/%E9%95%BF%E5%AE%89%E4%B9%8B%E6%88%98_(316%E5%B9%B4),,未分级,316年： 长安之战
700,jin_sixteen_kingdoms,8,晋朝（265－420）与五胡十六国（304－439）,317年,荥阳之战,https://zh.wikipedia.org/wiki/%E8%8D%A5%E9%98%B3%E4%B9%8B%E6%88%98_(317%E5%B9%B4),,未分级,317年： 荥阳之战
701,jin_sixteen_kingdoms,8,晋朝（265－420）与五胡十六国（304－439）,319年,浚仪之战,https://zh.wikipedia.org/wiki/%E6%B5%9A%E4%BB%AA%E4%B9%8B%E6%88%98,,未分级,319年： 浚仪之战
702,jin_sixteen_kingdoms,8,晋朝（265－420）与五胡十六国（304－439）,319年,棘城之战,https://zh.wikipedia.org/wiki/%E6%A3%98%E5%9F%8E%E4%B9%8B%E6%88%98,,未分级,319年： 棘城之战
703,jin_sixteen_kingdoms,8,晋朝（265－420）与五胡十六国（304－439）,320年,赵平大秦之战,https://zh.wikipedia.org/wiki/%E8%B5%B5%E5%B9%B3%E5%A4%A7%E7%A7%A6%E4%B9%8B%E6%88%98,,未分级,320年： 赵平大秦之战
704,jin_sixteen_kingdoms,8,晋朝（265－420）与五胡十六国（304－439）,327年,晋平苏峻之战,https://zh.wikipedia.org/wiki/%E6%99%8B%E5%B9%B3%E8%8B%8F%E5%B3%BB%E4%B9%8B%E6%88%98,,未分级,327年： 晋平苏峻之战
705,jin_sixteen_kingdoms,8,晋朝（265－420）与五胡十六国（304－439）,328年,洛阳之战,https://zh.wikipedia.org/wiki/%E5%90%8E%E8%B5%B5%E7%81%AD%E5%89%8D%E8%B5%B5%E4%B9%8B%E6%88%98,,未分级,328年： 洛阳之战
706,jin_sixteen_kingdoms,8,晋朝（265－420）与五胡十六国（304－439）,346年,晋平成汉之战,https://zh.wikipedia.org/wiki/%E6%99%8B%E5%B9%B3%E6%88%90%E6%B1%89%E4%B9%8B%E6%88%98,,未分级,346年： 晋平成汉之战
707,jin_sixteen_kingdoms,8,晋朝（265－420）与五胡十六国（304－439）,350年,襄国之战,https://zh.wikipedia.org/wiki/%E8%A5%84%E5%9C%8B%E4%B9%8B%E6%88%B0,352年,未分级,350年－352年： 襄国之战
