sequence,period_id,period_order,period_title,date_original,battle_title,source_url,source_note,reliability,raw_text
733,northern_southern,9,南北朝时期（420－589）,422年,魏宋河南之战,https://zh.wikipedia.org/wiki/%E9%AD%8F%E5%AE%8B%E6%B2%B3%E5%8D%97%E4%B9%8B%E6%88%98,,未分级,魏宋河南之战 422年
734,northern_southern,9,南北朝时期（420－589）,426年,宋攻谢晦之战,https://zh.wikipedia.org/wiki/%E8%B0%A2%E6%99%A6,,未分级,宋攻谢晦之战 426年
735,northern_southern,9,南北朝时期（420－589）,426年,西秦攻北凉之战,https://zh.wikipedia.org/wiki/%E8%A5%BF%E7%A7%A6%E6%94%BB%E5%8C%97%E5%87%89%E4%B9%8B%E6%88%98,,未分级,西秦攻北凉之战 426年
736,northern_southern,9,南北朝时期（420－589）,426年－427年,魏攻统万之战,https://zh.wikipedia.org/wiki/%E9%AD%8F%E6%94%BB%E7%BB%9F%E4%B8%87%E4%B9%8B%E6%88%98,,未分级,魏攻统万之战 426年－427年
737,northern_southern,9,南北朝时期（420－589）,429年,魏攻柔然之战,https://zh.wikipedia.org/wiki/%E9%AD%8F%E6%94%BB%E6%9F%94%E7%84%B6%E4%B9%8B%E6%88%98,,未分级,魏攻柔然之战 429年
738,northern_southern,9,南北朝时期（420－589）,430年,宋魏河南之战,https://zh.wikipedia.org/wiki/%E5%AE%8B%E9%AD%8F%E6%B2%B3%E5%8D%97%E4%B9%8B%E6%88%98,,未分级,宋魏河南之战 430年
739,northern_southern,9,南北朝时期（420－589）,430年,平凉之战,https://zh.wikipedia.org/wiki/%E5%B9%B3%E5%87%89%E4%B9%8B%E6%88%98,,未分级,平凉之战 430年
740,northern_southern,9,南北朝时期（420－589）,432年,魏燕之战,https://zh.wikipedia.org/wiki/%E9%AD%8F%E7%87%95%E4%B9%8B%E6%88%98,,未分级,魏燕之战 432年
741,northern_southern,9,南北朝时期（420－589）,433年,汉中之战,https://zh.wikipedia.org/wiki/%E6%B1%89%E4%B8%AD%E4%B9%8B%E6%88%98_(433%E5%B9%B4),,未分级,汉中之战 433年
742,northern_southern,9,南北朝时期（420－589）,439年,魏灭北凉之战,https://zh.wikipedia.org/wiki/%E9%AD%8F%E7%81%AD%E5%8C%97%E5%87%89%E4%B9%8B%E6%88%98,,未分级,魏灭北凉之战 439年
743,northern_southern,9,南北朝时期（420－589）,449年,雍州之战,https://zh.wikipedia.org/wiki/%E9%9B%8D%E5%B7%9E%E4%B9%8B%E6%88%98,,未分级,雍州之战 449年
744,northern_southern,9,南北朝时期（420－589）,450年,陕城之战,https://zh.wikipedia.org/wiki/%E9%99%95%E5%9F%8E%E4%B9%8B%E6%88%98,,未分级,陕城之战 450年
745,northern_southern,9,南北朝时期（420－589）,452年,宋文帝攻魏河南之战,https://zh.wikipedia.org/wiki/%E5%AE%8B%E6%96%87%E5%B8%9D%E6%94%BB%E9%AD%8F%E6%B2%B3%E5%8D%97%E4%B9%8B%E6%88%98,,未分级,宋文帝攻魏河南之战 452年
746,northern_southern,9,南北朝时期（420－589）,454年,宋平刘义宣之战,https://zh.wikipedia.org/wiki/%E5%88%98%E4%B9%89%E5%AE%A3,,未分级,宋平刘义宣之战 454年
747,northern_southern,9,南北朝时期（420－589）,459年,广陵之战,https://zh.wikipedia.org/wiki/%E5%B9%BF%E9%99%B5%E4%B9%8B%E6%88%98_(459%E5%B9%B4),,未分级,广陵之战 459年
748,northern_southern,9,南北朝时期（420－589）,466年,宋平刘子勋之战,https://zh.wikipedia.org/wiki/%E5%88%98%E5%AD%90%E5%8B%8B,,未分级,宋平刘子勋之战 466年
749,northern_southern,9,南北朝时期（420－589）,466年,彭城之战,https://zh.wikipedia.org/wiki/%E5%BD%AD%E5%9F%8E%E4%B9%8B%E6%88%98_(466%E5%B9%B4),,未分级,彭城之战 466年
750,northern_southern,9,南北朝时期（420－589）,467年－469年,青州之战,https://zh.wikipedia.org/wiki/%E9%9D%92%E5%B7%9E%E4%B9%8B%E6%88%98,,未分级,青州之战 467年－469年
751,northern_southern,9,南北朝时期（420－589）,474年,建康之战,https://zh.wikipedia.org/wiki/%E5%BB%BA%E5%BA%B7%E4%B9%8B%E6%88%98,,未分级,建康之战 474年
752,northern_southern,9,南北朝时期（420－589）,479年－500年,齐魏战争,https://zh.wikipedia.org/wiki/%E9%BD%90%E9%AD%8F%E6%88%98%E4%BA%89,,未分级,齐魏战争 479年－500年
