sequence,period_id,period_order,period_title,date_original,battle_title,source_url,source_note,reliability,raw_text
794,sui,10,隋朝（589－618）,581年－589年,隋统一战争,https://zh.wikipedia.org/wiki/%E9%9A%8B%E7%81%AD%E9%99%88%E4%B9%8B%E6%88%98,,未分级,隋统一战争 581年－589年
795,sui,10,隋朝（589－618）,581年,丰利山之战,https://zh.wikipedia.org/wiki/%E4%B8%B0%E5%88%A9%E5%B1%B1%E4%B9%8B%E6%88%98,,未分级,丰利山之战 581年
796,sui,10,隋朝（589－618）,581年,高颎攻陈之战,https://zh.wikipedia.org/wiki/%E9%AB%98%E9%A2%8E%E6%94%BB%E9%99%88%E4%B9%8B%E6%88%98,,未分级,高颎攻陈之战 581年
797,sui,10,隋朝（589－618）,581年,突厥攻隋之战,https://zh.wikipedia.org/wiki/%E9%9A%8B%E8%88%87%E7%AA%81%E5%8E%A5%E4%B9%8B%E6%88%B0,,未分级,突厥攻隋之战 581年
798,sui,10,隋朝（589－618）,582年,陈平始兴王陈叔陵叛乱,https://zh.wikipedia.org/wiki/%E9%99%88%E5%8F%94%E9%99%B5,,未分级,陈平始兴王陈叔陵叛乱 582年
799,sui,10,隋朝（589－618）,582年,甑山、涢口之战,https://zh.wikipedia.org/wiki/%E7%94%91%E5%B1%B1%E3%80%81%E6%B6%A2%E5%8F%A3%E4%B9%8B%E6%88%98,,未分级,甑山、涢口之战 582年
800,sui,10,隋朝（589－618）,582年,可洛峐山之战,https://zh.wikipedia.org/wiki/%E5%8F%AF%E6%B4%9B%E5%B3%90%E5%B1%B1%E4%B9%8B%E6%88%98,,未分级,可洛峐山之战 582年
801,sui,10,隋朝（589－618）,582年,周槃之战,https://zh.wikipedia.org/wiki/%E5%91%A8%E6%A7%83%E4%B9%8B%E6%88%98,,未分级,周槃之战 582年
802,sui,10,隋朝（589－618）,583年,隋反击突厥之战,https://zh.wikipedia.org/wiki/%E9%9A%8B%E8%88%87%E7%AA%81%E5%8E%A5%E4%B9%8B%E6%88%B0,,未分级,隋反击突厥之战 583年
803,sui,10,隋朝（589－618）,583年,白道之战,https://zh.wikipedia.org/wiki/%E7%99%BD%E9%81%93%E4%B9%8B%E6%88%98,,未分级,白道之战 583年
804,sui,10,隋朝（589－618）,583年,隋灭高宝宁之战,https://zh.wikipedia.org/wiki/%E9%9A%8B%E7%81%AD%E9%AB%98%E5%AE%9D%E5%AE%81%E4%B9%8B%E6%88%98,,未分级,隋灭高宝宁之战 583年
805,sui,10,隋朝（589－618）,583年,高越原之战,https://zh.wikipedia.org/wiki/%E9%AB%98%E8%B6%8A%E5%8E%9F%E4%B9%8B%E6%88%98,,未分级,高越原之战 583年
806,sui,10,隋朝（589－618）,583年,沙钵略与阿波之战,https://zh.wikipedia.org/wiki/%E6%B2%99%E9%92%B5%E7%95%A5%E4%B8%8E%E9%98%BF%E6%B3%A2%E4%B9%8B%E6%88%98,,未分级,沙钵略与阿波之战 583年
807,sui,10,隋朝（589－618）,583年,砂城之战,https://zh.wikipedia.org/wiki/%E7%A0%82%E5%9F%8E%E4%B9%8B%E6%88%98,,未分级,砂城之战 583年
808,sui,10,隋朝（589－618）,583年,隋梁远击吐谷浑之战,https://zh.wikipedia.org/wiki/%E9%9A%8B%E6%A2%81%E8%BF%9C%E5%87%BB%E5%90%90%E8%B0%B7%E6%B5%91%E4%B9%8B%E6%88%98,,未分级,隋梁远击吐谷浑之战 583年
809,sui,10,隋朝（589－618）,584年,隋贺娄子干击吐谷浑之战,https://zh.wikipedia.org/wiki/%E9%9A%8B%E8%B4%BA%E5%A8%84%E5%AD%90%E5%B9%B2%E5%87%BB%E5%90%90%E8%B0%B7%E6%B5%91%E4%B9%8B%E6%88%98,,未分级,隋贺娄子干击吐谷浑之战 584年
810,sui,10,隋朝（589－618）,585年,陈平章大宝叛乱,https://zh.wikipedia.org/wiki/%E7%AB%A0%E5%A4%A7%E5%AE%9D,,未分级,陈平章大宝叛乱 585年
811,sui,10,隋朝（589－618）,585年,梁戚昕袭陈公安之战,https://zh.wikipedia.org/wiki/%E6%A2%81%E6%88%9A%E6%98%95%E8%A2%AD%E9%99%88%E5%85%AC%E5%AE%89%E4%B9%8B%E6%88%98,,未分级,梁戚昕袭陈公安之战 585年
812,sui,10,隋朝（589－618）,585年,隋助沙钵略可汗击阿波可汗之战,https://zh.wikipedia.org/wiki/%E9%9A%8B%E5%8A%A9%E6%B2%99%E9%92%B5%E7%95%A5%E5%8F%AF%E6%B1%97%E5%87%BB%E9%98%BF%E6%B3%A2%E5%8F%AF%E6%B1%97%E4%B9%8B%E6%88%98,,未分级,隋助沙钵略可汗击阿波可汗之战 585年
813,sui,10,隋朝（589－618）,587年,莫何可汗击阿波可汗之战,https://zh.wikipedia.org/wiki/%E8%8E%AB%E4%BD%95%E5%8F%AF%E6%B1%97%E5%87%BB%E9%98%BF%E6%B3%A2%E5%8F%AF%E6%B1%97%E4%B9%8B%E6%88%98,,未分级,莫何可汗击阿波可汗之战 587年
814,sui,10,隋朝（589－618）,588年－589年,隋灭陈之战,https://zh.wikipedia.org/wiki/%E9%9A%8B%E7%81%AD%E9%99%88%E4%B9%8B%E6%88%98,,未分级,隋灭陈之战 588年－589年
815,sui,10,隋朝（589－618）,588年,狼尾滩之战,https://zh.wikipedia.org/wiki/%E7%8B%BC%E5%B0%BE%E6%BB%A9%E4%B9%8B%E6%88%98,,未分级,狼尾滩之战 588年
816,sui,10,隋朝（589－618）,589年,歧亭、延州之战,https://zh.wikipedia.org/wiki/%E6%AD%A7%E4%BA%AD%E3%80%81%E5%BB%B6%E5%B7%9E%E4%B9%8B%E6%88%98,,未分级,歧亭、延州之战 589年
817,sui,10,隋朝（589－618）,589年,白土岗之战,https://zh.wikipedia.org/wiki/%E7%99%BD%E5%9C%9F%E5%B2%97%E4%B9%8B%E6%88%98,,未分级,白土岗之战 589年
818,sui,10,隋朝（589－618）,589年,湘州之战,https://zh.wikipedia.org/wiki/%E6%B9%98%E5%B7%9E%E4%B9%8B%E6%88%98,,未分级,湘州之战 589年
819,sui,10,隋朝（589－618）,589年,南康之战,https://zh.wikipedia.org/wiki/%E5%8D%97%E5%BA%B7%E4%B9%8B%E6%88%98,,未分级,南康之战 589年
820,sui,10,隋朝（589－618）,589年,隋定三吴之战,https://zh.wikipedia.org/wiki/%E9%9A%8B%E5%AE%9A%E4%B8%89%E5%90%B4%E4%B9%8B%E6%88%98,,未分级,隋定三吴之战 589年
821,sui,10,隋朝（589－618）,589年,南定州之战,https://zh.wikipedia.org/wiki/%E5%8D%97%E5%AE%9A%E5%B7%9E%E4%B9%8B%E6%88%98,,未分级,南定州之战 589年
822,sui,10,隋朝（589－618）,590年春,隋平江南之战,https://zh.wikipedia.org/wiki/%E9%9A%8B%E5%B9%B3%E6%B1%9F%E5%8D%97%E4%B9%8B%E6%88%98,,未分级,隋平江南之战 590年春
823,sui,10,隋朝（589－618）,595年－596年,隋击降党项之战,https://zh.wikipedia.org/wiki/%E9%9A%8B%E5%87%BB%E9%99%8D%E5%85%9A%E9%A1%B9%E4%B9%8B%E6%88%98,,未分级,隋击降党项之战 595年－596年
824,sui,10,隋朝（589－618）,597年,隋平定爨翫昆州之战,https://zh.wikipedia.org/wiki/%E7%88%A8%E7%BF%AB,,未分级,隋平定爨翫昆州之战 597年
825,sui,10,隋朝（589－618）,597年,隋平李光仕叛乱,https://zh.wikipedia.org/wiki/%E6%9D%8E%E5%85%89%E4%BB%95,,未分级,隋平李光仕叛乱 597年
826,sui,10,隋朝（589－618）,597年,隋平李世贤叛乱,https://zh.wikipedia.org/wiki/%E6%9D%8E%E4%B8%96%E8%B4%A4,,未分级,隋平李世贤叛乱 597年
827,sui,10,隋朝（589－618）,598年,隋文帝攻高句丽之战,https://zh.wikipedia.org/wiki/%E9%9A%8B%E4%B8%8E%E9%AB%98%E5%8F%A5%E4%B8%BD%E7%9A%84%E6%88%98%E4%BA%89,,未分级,隋文帝攻高句丽之战 598年
828,sui,10,隋朝（589－618）,599年,隋击突厥之战,https://zh.wikipedia.org/wiki/%E9%9A%8B%E8%88%87%E7%AA%81%E5%8E%A5%E4%B9%8B%E6%88%B0,,未分级,隋击突厥之战 599年
829,sui,10,隋朝（589－618）,599年,隋与突厥达头可汗之战,https://zh.wikipedia.org/wiki/%E9%9A%8B%E8%88%87%E7%AA%81%E5%8E%A5%E4%B9%8B%E6%88%B0,,未分级,隋与突厥达头可汗之战 599年
