sequence,period_id,period_order,period_title,date_original,battle_title,source_url,source_note,reliability,raw_text
942,tang,11,唐朝（618－907，含武周时期）,617年,霍邑之战,https://zh.wikipedia.org/wiki/%E9%9C%8D%E9%82%91%E4%B9%8B%E6%88%98,,未分级,霍邑之战 617年
943,tang,11,唐朝（618－907，含武周时期）,618年－624年,唐朝统一战争,https://zh.wikipedia.org/wiki/%E5%94%90%E6%9C%9D%E7%BB%9F%E4%B8%80%E6%88%98%E4%BA%89,,未分级,唐朝统一战争 618年－624年
944,tang,11,唐朝（618－907，含武周时期）,618年,浅水原之战,https://zh.wikipedia.org/wiki/%E6%B7%BA%E6%B0%B4%E5%8E%9F%E4%B9%8B%E6%88%B0,,未分级,浅水原之战 618年
945,tang,11,唐朝（618－907，含武周时期）,619年,柏壁之战,https://zh.wikipedia.org/wiki/%E6%9F%8F%E5%A3%81%E4%B9%8B%E6%88%B0,,未分级,柏壁之战 619年
946,tang,11,唐朝（618－907，含武周时期）,620年－657年,唐与突厥战争,https://zh.wikipedia.org/wiki/%E5%94%90%E4%B8%8E%E7%AA%81%E5%8E%A5%E6%88%98%E4%BA%89,,未分级,唐与突厥战争 620年－657年
947,tang,11,唐朝（618－907，含武周时期）,620年,洛阳、虎牢之战,https://zh.wikipedia.org/wiki/%E6%B4%9B%E9%98%B3%E3%80%81%E8%99%8E%E7%89%A2%E4%B9%8B%E6%88%98,,未分级,洛阳、虎牢之战 620年
948,tang,11,唐朝（618－907，含武周时期）,621年,虎牢之战,https://zh.wikipedia.org/wiki/%E8%99%8E%E7%89%A2%E4%B9%8B%E6%88%98,,未分级,虎牢之战 621年
949,tang,11,唐朝（618－907，含武周时期）,621年,唐平萧铣之战,https://zh.wikipedia.org/wiki/%E5%94%90%E5%B9%B3%E8%95%AD%E9%8A%91%E4%B9%8B%E6%88%B0,,未分级,唐平萧铣之战 621年
950,tang,11,唐朝（618－907，含武周时期）,622年,洺水之战,https://zh.wikipedia.org/wiki/%E6%B4%BA%E6%B0%B4%E4%B9%8B%E6%88%98,,未分级,洺水之战 622年
951,tang,11,唐朝（618－907，含武周时期）,622年,灵州之战,https://zh.wikipedia.org/wiki/%E7%81%B5%E5%B7%9E%E4%B9%8B%E6%88%98,,未分级,灵州之战 622年
952,tang,11,唐朝（618－907，含武周时期）,622年,下博之战,https://zh.wikipedia.org/wiki/%E4%B8%8B%E5%8D%9A%E4%B9%8B%E6%88%98,,未分级,下博之战 622年
953,tang,11,唐朝（618－907，含武周时期）,622年,唐灭刘黑闼之战,https://zh.wikipedia.org/wiki/%E5%94%90%E7%81%AD%E5%88%98%E9%BB%91%E9%97%BC%E4%B9%8B%E6%88%98,,未分级,唐灭刘黑闼之战 622年
954,tang,11,唐朝（618－907，含武周时期）,623年－907年至唐亡,唐与吐蕃战争,https://zh.wikipedia.org/wiki/%E5%94%90%E4%B8%8E%E5%90%90%E8%95%83%E6%88%98%E4%BA%89,,未分级,唐与吐蕃战争 623年－907年至唐亡
955,tang,11,唐朝（618－907，含武周时期）,623年,岷州之战,https://zh.wikipedia.org/wiki/%E5%B2%B7%E5%B7%9E%E4%B9%8B%E6%88%98,,未分级,岷州之战 623年
956,tang,11,唐朝（618－907，含武周时期）,623年,唐灭辅公祏之战,https://zh.wikipedia.org/wiki/%E5%94%90%E7%81%AD%E8%BE%85%E5%85%AC%E7%A5%8F%E4%B9%8B%E6%88%98,,未分级,唐灭辅公祏之战 623年
