sequence,period_id,period_order,period_title,date_original,battle_title,source_url,source_note,reliability,raw_text
1065,five_dynasties,12,五代时期（907－979）,907年,潞州之战,https://zh.wikipedia.org/wiki/%E6%BD%9E%E5%B7%9E%E4%B9%8B%E6%88%98,,未分级,潞州之战 907年
1066,five_dynasties,12,五代时期（907－979）,909年,象牙潭之战,https://zh.wikipedia.org/wiki/%E8%B1%A1%E7%89%99%E6%BD%AD%E4%B9%8B%E6%88%98,,未分级,象牙潭之战 909年
1067,five_dynasties,12,五代时期（907－979）,910年,柏乡之战,https://zh.wikipedia.org/wiki/%E6%9F%8F%E9%84%89%E4%B9%8B%E6%88%B0,,未分级,柏乡之战 910年
1068,five_dynasties,12,五代时期（907－979）,915年,魏州之战,https://zh.wikipedia.org/wiki/%E9%AD%8F%E5%B7%9E%E4%B9%8B%E6%88%98,,未分级,魏州之战 915年
1069,five_dynasties,12,五代时期（907－979）,917年,幽州之战,https://zh.wikipedia.org/wiki/%E5%B9%BD%E5%B7%9E%E4%B9%8B%E6%88%98,,未分级,幽州之战 917年
1070,five_dynasties,12,五代时期（907－979）,918年,胡柳陂之战,https://zh.wikipedia.org/wiki/%E8%83%A1%E6%9F%B3%E9%99%82%E4%B9%8B%E6%88%98,,未分级,胡柳陂之战 918年
1071,five_dynasties,12,五代时期（907－979）,923年,后唐灭后梁之战,https://zh.wikipedia.org/wiki/%E6%A2%81%E6%99%8B%E4%BA%89%E9%9C%B8,,未分级,后唐灭后梁之战 923年
1072,five_dynasties,12,五代时期（907－979）,923年,杨刘之战,https://zh.wikipedia.org/wiki/%E6%9D%A8%E5%88%98%E4%B9%8B%E6%88%98,,未分级,杨刘之战 923年
1073,five_dynasties,12,五代时期（907－979）,925年,后唐灭前蜀之战,https://zh.wikipedia.org/wiki/%E5%90%8E%E5%94%90%E7%81%AD%E5%89%8D%E8%9C%80%E4%B9%8B%E6%88%98,,未分级,后唐灭前蜀之战 925年
1074,five_dynasties,12,五代时期（907－979）,926年,契丹灭渤海国之战,https://zh.wikipedia.org/wiki/%E8%BE%BD%E5%9B%BD%E4%B8%8E%E6%B8%A4%E6%B5%B7%E5%9B%BD%E7%9A%84%E6%88%98%E4%BA%89,,未分级,契丹灭渤海国之战 926年
1075,five_dynasties,12,五代时期（907－979）,928年,定州之战,https://zh.wikipedia.org/wiki/%E5%AE%9A%E5%B7%9E%E4%B9%8B%E6%88%98,,未分级,定州之战 928年
1076,five_dynasties,12,五代时期（907－979）,936年,后晋灭后唐之战,https://zh.wikipedia.org/wiki/%E5%90%8E%E6%99%8B%E7%81%AD%E5%90%8E%E5%94%90%E4%B9%8B%E6%88%98,,未分级,后晋灭后唐之战 936年
1077,five_dynasties,12,五代时期（907－979）,938年,白藤江之战,https://zh.wikipedia.org/wiki/%E7%99%BD%E8%97%A4%E6%B1%9F%E4%B9%8B%E6%88%98_(938%E5%B9%B4),,未分级,白藤江之战 938年
1078,five_dynasties,12,五代时期（907－979）,943年－946年,契丹灭后晋之战,https://zh.wikipedia.org/wiki/%E5%A5%91%E4%B8%B9%E6%BB%85%E5%BE%8C%E6%99%89%E4%B9%8B%E6%88%B0,,未分级,契丹灭后晋之战 943年－946年
1079,five_dynasties,12,五代时期（907－979）,945年,阳城、滹沱之战,https://zh.wikipedia.org/wiki/%E9%98%B3%E5%9F%8E%E3%80%81%E6%BB%B9%E6%B2%B1%E4%B9%8B%E6%88%98,,未分级,阳城、滹沱之战 945年
1080,five_dynasties,12,五代时期（907－979）,948年－949年,河中之战,https://zh.wikipedia.org/wiki/%E6%B2%B3%E4%B8%AD%E4%B9%8B%E6%88%98,,未分级,河中之战 948年－949年
1081,five_dynasties,12,五代时期（907－979）,950年,郭威灭后汉之战,https://zh.wikipedia.org/wiki/%E9%83%AD%E5%A8%81%E7%81%AD%E5%90%8E%E6%B1%89%E4%B9%8B%E6%88%98,,未分级,郭威灭后汉之战 950年
1082,five_dynasties,12,五代时期（907－979）,954年,高平之战,https://zh.wikipedia.org/wiki/%E9%AB%98%E5%B9%B3%E4%B9%8B%E6%88%98,,未分级,高平之战 954年
1083,five_dynasties,12,五代时期（907－979）,955年,秦凤之战,https://zh.wikipedia.org/wiki/%E7%A7%A6%E5%87%A4%E4%B9%8B%E6%88%98,,未分级,秦凤之战 955年
1084,five_dynasties,12,五代时期（907－979）,955年,寿州之战,https://zh.wikipedia.org/wiki/%E5%AF%BF%E5%B7%9E%E4%B9%8B%E6%88%98,,未分级,寿州之战 955年
1085,five_dynasties,12,五代时期（907－979）,956年,紫金山之战,https://zh.wikipedia.org/wiki/%E7%B4%AB%E9%87%91%E5%B1%B1%E4%B9%8B%E6%88%98,,未分级,紫金山之战 956年
1086,five_dynasties,12,五代时期（907－979）,958年－959年,河北之战,https://zh.wikipedia.org/wiki/%E6%B2%B3%E5%8C%97%E4%B9%8B%E6%88%98,,未分级,河北之战 958年－959年
1087,five_dynasties,12,五代时期（907－979）,955年－958年,后周攻南唐之战,https://zh.wikipedia.org/wiki/%E5%90%8E%E5%91%A8%E6%94%BB%E5%8D%97%E5%94%90%E4%B9%8B%E6%88%98,,未分级,后周攻南唐之战 955年－958年
1088,five_dynasties,12,五代时期（907－979）,956年,六合之战,https://zh.wikipedia.org/wiki/%E5%85%AD%E5%90%88%E4%B9%8B%E6%88%98,,未分级,六合之战 956年
1089,five_dynasties,12,五代时期（907－979）,957年,淮南之战,https://zh.wikipedia.org/wiki/%E6%B7%AE%E5%8D%97%E4%B9%8B%E6%88%98,,未分级,淮南之战 957年
1090,five_dynasties,12,五代时期（907－979）,960年,陈桥兵变,https://zh.wikipedia.org/wiki/%E9%99%88%E6%A1%A5%E5%85%B5%E5%8F%98,,未分级,陈桥兵变 960年
