sequence,period_id,period_order,period_title,date_original,battle_title,source_url,source_note,reliability,raw_text
1091,northern_song,13,北宋（960－1127）,962年－979年,北宋统一战争,https://zh.wikipedia.org/wiki/%E5%8C%97%E5%AE%8B%E7%BB%9F%E4%B8%80%E6%88%98%E4%BA%89,,未分级,北宋统一战争 962年－979年
1092,northern_song,13,北宋（960－1127）,963年,荆湖之战,https://zh.wikipedia.org/wiki/%E8%8D%86%E6%B9%96%E4%B9%8B%E6%88%98,,未分级,荆湖之战 963年
1093,northern_song,13,北宋（960－1127）,964年,宋灭后蜀之战,https://zh.wikipedia.org/wiki/%E5%AE%8B%E7%81%AD%E5%90%8E%E8%9C%80%E4%B9%8B%E6%88%98,,未分级,宋灭后蜀之战 964年
1094,northern_song,13,北宋（960－1127）,964年,剑门之战,https://zh.wikipedia.org/wiki/%E5%89%91%E9%97%A8%E4%B9%8B%E6%88%98,,未分级,剑门之战 964年
1095,northern_song,13,北宋（960－1127）,964年,夔州之战,https://zh.wikipedia.org/wiki/%E5%A4%94%E5%B7%9E%E4%B9%8B%E6%88%98,,未分级,夔州之战 964年
1096,northern_song,13,北宋（960－1127）,970年,宋灭南汉之战,https://zh.wikipedia.org/wiki/%E5%AE%8B%E7%81%AD%E5%8D%97%E6%B1%89%E4%B9%8B%E6%88%98,,未分级,宋灭南汉之战 970年
1097,northern_song,13,北宋（960－1127）,970年,韶州之战,https://zh.wikipedia.org/wiki/%E9%9F%B6%E5%B7%9E%E4%B9%8B%E6%88%98,,未分级,韶州之战 970年
1098,northern_song,13,北宋（960－1127）,974年—975年,宋灭南唐之战,https://zh.wikipedia.org/wiki/%E5%AE%8B%E7%81%AD%E5%8D%97%E5%94%90%E4%B9%8B%E6%88%98,,未分级,宋灭南唐之战 974年—975年
1099,northern_song,13,北宋（960－1127）,974年,采石之战,https://zh.wikipedia.org/wiki/%E9%87%87%E7%9F%B3%E4%B9%8B%E6%88%98_(974%E5%B9%B4),,未分级,采石之战 974年
1100,northern_song,13,北宋（960－1127）,975年,秦淮河之战,https://zh.wikipedia.org/wiki/%E7%A7%A6%E6%B7%AE%E6%B2%B3%E4%B9%8B%E6%88%98,,未分级,秦淮河之战 975年
1101,northern_song,13,北宋（960－1127）,975年,皖口之战,https://zh.wikipedia.org/wiki/%E7%9A%96%E5%8F%A3%E4%B9%8B%E6%88%98,,未分级,皖口之战 975年
1102,northern_song,13,北宋（960－1127）,979年,宋灭北汉之战,https://zh.wikipedia.org/wiki/%E5%AE%8B%E7%81%AD%E5%8C%97%E6%B1%89%E4%B9%8B%E6%88%98,,未分级,宋灭北汉之战 979年
