sequence,period_id,period_order,period_title,date_original,battle_title,source_url,source_note,reliability,raw_text
1154,song_jin,14,宋金战争（1125－1234）,1125年－1127年,靖康之变,https://zh.wikipedia.org/wiki/%E9%9D%96%E5%BA%B7%E4%B9%8B%E5%8F%98,,未分级,靖康之变 1125年－1127年
1155,song_jin,14,宋金战争（1125－1234）,1125年－1126年,太原之战,https://zh.wikipedia.org/wiki/%E5%A4%AA%E5%8E%9F%E4%BF%9D%E5%8D%AB%E6%88%98_(%E5%AE%8B%E6%9C%9D),,未分级,太原之战 1125年－1126年
1156,song_jin,14,宋金战争（1125－1234）,1127年－1128年,邵兴抗金起义,https://zh.wikipedia.org/wiki/%E9%82%B5%E5%85%B4%E6%8A%97%E9%87%91%E8%B5%B7%E4%B9%89,,未分级,邵兴抗金起义 1127年－1128年
1157,song_jin,14,宋金战争（1125－1234）,1127年－1133年,八字军,https://zh.wikipedia.org/wiki/%E5%85%AB%E5%AD%97%E5%86%9B,,未分级,八字军 1127年－1133年
1158,song_jin,14,宋金战争（1125－1234）,1127年,红巾军抗金起义,https://zh.wikipedia.org/wiki/%E7%BA%A2%E5%B7%BE%E5%86%9B%E6%8A%97%E9%87%91%E8%B5%B7%E4%B9%89,,未分级,红巾军抗金起义 1127年
1159,song_jin,14,宋金战争（1125－1234）,1127年－1134年,宋金川陕争夺战,https://zh.wikipedia.org/wiki/%E5%AE%8B%E9%87%91%E5%B7%9D%E9%99%95%E4%BA%89%E5%A4%BA%E6%88%98,,未分级,宋金川陕争夺战 1127年－1134年
1160,song_jin,14,宋金战争（1125－1234）,1130年,黄天荡之战,https://zh.wikipedia.org/wiki/%E9%BB%84%E5%A4%A9%E8%8D%A1%E4%B9%8B%E6%88%98,,未分级,黄天荡之战 1130年
1161,song_jin,14,宋金战争（1125－1234）,1130年,富平之战,https://zh.wikipedia.org/wiki/%E5%AF%8C%E5%B9%B3%E4%B9%8B%E6%88%98,,未分级,富平之战 1130年
1162,song_jin,14,宋金战争（1125－1234）,1131年,缩头湖之战,https://zh.wikipedia.org/wiki/%E7%BC%A9%E5%A4%B4%E6%B9%96%E4%B9%8B%E6%88%98,,未分级,缩头湖之战 1131年
1163,song_jin,14,宋金战争（1125－1234）,1131年,和尚原之战,https://zh.wikipedia.org/wiki/%E5%92%8C%E5%B0%9A%E5%8E%9F%E4%B9%8B%E6%88%B0,,未分级,和尚原之战 1131年
1164,song_jin,14,宋金战争（1125－1234）,1133年,饶凤关之战,https://zh.wikipedia.org/wiki/%E9%A5%B6%E5%87%A4%E5%85%B3%E4%B9%8B%E6%88%98,,未分级,饶凤关之战 1133年
1165,song_jin,14,宋金战争（1125－1234）,1134年,仙人关之战,https://zh.wikipedia.org/wiki/%E4%BB%99%E4%BA%BA%E5%85%B3%E4%B9%8B%E6%88%98,,未分级,仙人关之战 1134年
1166,song_jin,14,宋金战争（1125－1234）,1134年,岳飞收复襄阳六郡之战,https://zh.wikipedia.org/wiki/%E5%B2%B3%E9%A3%9E%E6%94%B6%E5%A4%8D%E8%A5%84%E9%98%B3%E5%85%AD%E9%83%A1%E4%B9%8B%E6%88%98,,未分级,岳飞收复襄阳六郡之战 1134年
1167,song_jin,14,宋金战争（1125－1234）,1134年,大仪之战,https://zh.wikipedia.org/wiki/%E5%A4%A7%E4%BB%AA%E4%B9%8B%E6%88%98,,未分级,大仪之战 1134年
1168,song_jin,14,宋金战争（1125－1234）,1140年,顺昌之战,https://zh.wikipedia.org/wiki/%E9%A1%BA%E6%98%8C%E4%B9%8B%E6%88%98,,未分级,顺昌之战 1140年
1169,song_jin,14,宋金战争（1125－1234）,1140年,郾城之战,https://zh.wikipedia.org/wiki/%E9%83%BE%E5%9F%8E%E4%B9%8B%E6%88%B0,,未分级,郾城之战 1140年
1170,song_jin,14,宋金战争（1125－1234）,1141年,柘皋之战,https://zh.wikipedia.org/wiki/%E6%9F%98%E7%9A%8B%E4%B9%8B%E6%88%98,,未分级,柘皋之战 1141年
1171,song_jin,14,宋金战争（1125－1234）,1141年,剡家湾之战,https://zh.wikipedia.org/wiki/%E5%89%A1%E5%AE%B6%E6%B9%BE%E4%B9%8B%E6%88%98,,未分级,剡家湾之战 1141年
1172,song_jin,14,宋金战争（1125－1234）,1161年－1164年,魏胜抗金起义,https://zh.wikipedia.org/wiki/%E9%AD%8F%E8%83%9C%E6%8A%97%E9%87%91%E8%B5%B7%E4%B9%89,,未分级,魏胜抗金起义 1161年－1164年
1173,song_jin,14,宋金战争（1125－1234）,1161年,皂角林之战,https://zh.wikipedia.org/wiki/%E7%9A%82%E8%A7%92%E6%9E%97%E4%B9%8B%E6%88%98,,未分级,皂角林之战 1161年
1174,song_jin,14,宋金战争（1125－1234）,1161年－1163年,德顺军之战,https://zh.wikipedia.org/wiki/%E5%BE%B7%E9%A1%BA%E5%86%9B%E4%B9%8B%E6%88%98,,未分级,德顺军之战 1161年－1163年
1175,song_jin,14,宋金战争（1125－1234）,1161年,陈家岛海战,https://zh.wikipedia.org/wiki/%E9%99%88%E5%AE%B6%E5%B2%9B%E6%B5%B7%E6%88%98,,未分级,陈家岛海战 1161年
1176,song_jin,14,宋金战争（1125－1234）,1161年,采石之战,https://zh.wikipedia.org/wiki/%E9%87%87%E7%9F%B3%E4%B9%8B%E6%88%B0_(1161%E5%B9%B4),,未分级,采石之战 1161年
1177,song_jin,14,宋金战争（1125－1234）,1162年,海州之战,https://zh.wikipedia.org/wiki/%E6%B5%B7%E5%B7%9E%E4%B9%8B%E6%88%98,,未分级,海州之战 1162年
1178,song_jin,14,宋金战争（1125－1234）,1163年,符离之战,https://zh.wikipedia.org/wiki/%E7%AC%A6%E7%A6%BB%E4%B9%8B%E6%88%98,,未分级,符离之战 1163年
1179,song_jin,14,宋金战争（1125－1234）,1206年,韩侂胄攻金之战,https://zh.wikipedia.org/wiki/%E9%9F%A9%E4%BE%82%E8%83%84%E6%94%BB%E9%87%91%E4%B9%8B%E6%88%98,,未分级,韩侂胄攻金之战 1206年
1180,song_jin,14,宋金战争（1125－1234）,1206年,仆散揆攻宋之战,https://zh.wikipedia.org/wiki/%E4%BB%86%E6%95%A3%E6%8F%86%E6%94%BB%E5%AE%8B%E4%B9%8B%E6%88%98,,未分级,仆散揆攻宋之战 1206年
1181,song_jin,14,宋金战争（1125－1234）,1206年,六合之战,https://zh.wikipedia.org/wiki/%E5%85%AD%E5%90%88%E4%B9%8B%E6%88%98_(1206%E5%B9%B4),,未分级,六合之战 1206年
1182,song_jin,14,宋金战争（1125－1234）,1207年,秦州之战,https://zh.wikipedia.org/wiki/%E7%A7%A6%E5%B7%9E%E4%B9%8B%E6%88%98,,未分级,秦州之战 1207年
1183,song_jin,14,宋金战争（1125－1234）,1217年,襄阳之战,https://zh.wikipedia.org/wiki/%E8%A5%84%E9%98%B3%E4%B9%8B%E6%88%98_(1217%E5%B9%B4),,未分级,襄阳之战 1217年
1184,song_jin,14,宋金战争（1125－1234）,1217年,枣阳之战,https://zh.wikipedia.org/wiki/%E6%9E%A3%E9%98%B3%E4%B9%8B%E6%88%98,,未分级,枣阳之战 1217年
1185,song_jin,14,宋金战争（1125－1234）,1219年,枣阳之战,https://zh.wikipedia.org/wiki/%E6%9E%A3%E9%98%B3%E4%B9%8B%E6%88%98,,未分级,枣阳之战 1219年
1186,song_jin,14,宋金战争（1125－1234）,1219年,金军三道攻宋之战,https://zh.wikipedia.org/wiki/%E9%87%91%E5%86%9B%E4%B8%89%E9%81%93%E6%94%BB%E5%AE%8B%E4%B9%8B%E6%88%98,,未分级,金军三道攻宋之战 1219年
1187,song_jin,14,宋金战争（1125－1234）,1221年,仆散安贞攻宋之战,https://zh.wikipedia.org/wiki/%E4%BB%86%E6%95%A3%E5%AE%89%E8%B4%9E%E6%94%BB%E5%AE%8B%E4%B9%8B%E6%88%98,,未分级,仆散安贞攻宋之战 1221年
