sequence,period_id,period_order,period_title,date_original,battle_title,source_url,source_note,reliability,raw_text
1266,yuan,16,元朝（1271－1368）,年代未详,元日战争,https://zh.wikipedia.org/wiki/%E5%85%83%E6%97%A5%E6%88%98%E4%BA%89,（1274年、1281年）,未分级,元日战争 （1274年、1281年）
1267,yuan,16,元朝（1271－1368）,元缅战争 （1277年,元缅战争,https://zh.wikipedia.org/wiki/%E5%85%83%E7%BC%85%E6%88%98%E4%BA%89,,未分级,元缅战争 （1277年－1287年）
1268,yuan,16,元朝（1271－1368）,元攻占城之战 （1282年,元攻占城之战,https://zh.wikipedia.org/wiki/%E5%85%83%E6%94%BB%E5%8D%A0%E5%9F%8E%E4%B9%8B%E6%88%98,,未分级,元攻占城之战 （1282年－1284年）
1269,yuan,16,元朝（1271－1368）,第二次蒙越战争 （1284年,第二次蒙越战争,https://zh.wikipedia.org/wiki/%E8%92%99%E8%B6%8A%E6%88%B0%E7%88%AD,,未分级,第二次蒙越战争 （1284年－1285年）
1270,yuan,16,元朝（1271－1368）,第三次蒙越战争 （1287年,第三次蒙越战争,https://zh.wikipedia.org/wiki/%E8%92%99%E8%B6%8A%E6%88%B0%E7%88%AD,,未分级,第三次蒙越战争 （1287年－1288年） 白藤江之战 （1288年）
1271,yuan,16,元朝（1271－1368）,年代未详,白藤江之战,https://zh.wikipedia.org/wiki/%E7%99%BD%E8%97%A4%E6%B1%9F%E4%B9%8B%E6%88%98_(1288%E5%B9%B4),（1288年）,未分级,白藤江之战 （1288年）
1272,yuan,16,元朝（1271－1368）,年代未详,乃颜之乱,https://zh.wikipedia.org/wiki/%E4%B9%83%E9%A2%9C,（1287年）,未分级,乃颜之乱 （1287年）
1273,yuan,16,元朝（1271－1368）,海都之乱 （1288年,海都之乱,https://zh.wikipedia.org/wiki/%E6%B5%B7%E9%83%BD%E4%B9%8B%E4%B9%B1,,未分级,海都之乱 （1288年－1301年）
1274,yuan,16,元朝（1271－1368）,年代未详,元朝和爪哇的战争,https://zh.wikipedia.org/wiki/%E5%85%83%E6%9C%9D%E5%92%8C%E7%88%AA%E5%93%87%E7%9A%84%E6%88%98%E4%BA%89,（1292年）,未分级,元朝和爪哇的战争 （1292年）
1275,yuan,16,元朝（1271－1368）,元末民变 （1351年,元末民变,https://zh.wikipedia.org/wiki/%E5%85%83%E6%9C%AB%E6%B0%91%E5%8F%98,,未分级,元末民变 （1351年－1368年）
1276,yuan,16,元朝（1271－1368）,亦思巴奚兵乱 （1357年,亦思巴奚兵乱,https://zh.wikipedia.org/wiki/%E4%BA%A6%E6%80%9D%E5%B7%B4%E5%A5%9A%E5%85%B5%E4%B9%B1,,未分级,亦思巴奚兵乱 （1357年－1366年）
1277,yuan,16,元朝（1271－1368）,红巾军侵略高丽 （1359年,红巾军侵略高丽,https://zh.wikipedia.org/wiki/%E7%BA%A2%E5%B7%BE%E5%86%9B%E4%BE%B5%E7%95%A5%E9%AB%98%E4%B8%BD,,未分级,红巾军侵略高丽 （1359年－1360年）
1278,yuan,16,元朝（1271－1368）,年代未详,洪都保卫战,https://zh.wikipedia.org/wiki/%E6%B4%AA%E9%83%BD%E4%BF%9D%E5%8D%AB%E6%88%98,（1363年）,未分级,洪都保卫战 （1363年）
1279,yuan,16,元朝（1271－1368）,年代未详,鄱阳湖之战,https://zh.wikipedia.org/wiki/%E9%84%B1%E9%98%B3%E6%B9%96%E4%B9%8B%E6%88%98,（1363年）,未分级,鄱阳湖之战 （1363年）
1280,yuan,16,元朝（1271－1368）,年代未详,也顿村之战,https://zh.wikipedia.org/wiki/%E4%B9%9F%E9%A1%BF%E6%9D%91%E4%B9%8B%E6%88%98,（1370年）,未分级,也顿村之战 （1370年）
