sequence,period_id,period_order,period_title,date_original,battle_title,source_url,source_note,reliability,raw_text
1281,ming,17,明朝（1368－1644）,明朝统一战争 （1367年,明朝统一战争,https://zh.wikipedia.org/wiki/%E6%98%8E%E6%9C%9D%E7%BB%9F%E4%B8%80%E6%88%98%E4%BA%89,,未分级,明朝统一战争 （1367年－1389年）
1282,ming,17,明朝（1368－1644）,明灭元之战 （1367年,明灭元之战,https://zh.wikipedia.org/wiki/%E6%98%8E%E7%81%AD%E5%85%83%E4%B9%8B%E6%88%98,,未分级,明灭元之战 （1367年－1369年）
1283,ming,17,明朝（1368－1644）,年代未详,明太祖第一次北征,https://zh.wikipedia.org/wiki/%E6%98%8E%E5%A4%AA%E7%A5%96%E7%AC%AC%E4%B8%80%E6%AC%A1%E5%8C%97%E5%BE%81,（1370年）,未分级,明太祖第一次北征 （1370年）
1284,ming,17,明朝（1368－1644）,年代未详,明灭夏之战,https://zh.wikipedia.org/wiki/%E6%98%8E%E7%81%AD%E5%A4%8F%E4%B9%8B%E6%88%98,（1371年）,未分级,明灭夏之战 （1371年）
1285,ming,17,明朝（1368－1644）,年代未详,明太祖第二次北伐,https://zh.wikipedia.org/wiki/%E6%98%8E%E5%A4%AA%E7%A5%96%E7%AC%AC%E4%BA%8C%E6%AC%A1%E5%8C%97%E4%BC%90,（1372年）,未分级,明太祖第二次北伐 （1372年）
1286,ming,17,明朝（1368－1644）,年代未详,明太祖第三次北伐,https://zh.wikipedia.org/wiki/%E6%98%8E%E5%A4%AA%E7%A5%96%E7%AC%AC%E4%B8%89%E6%AC%A1%E5%8C%97%E4%BC%90,（1380年）,未分级,明太祖第三次北伐 （1380年）
1287,ming,17,明朝（1368－1644）,年代未详,明太祖第四次北伐,https://zh.wikipedia.org/wiki/%E6%98%8E%E5%A4%AA%E7%A5%96%E7%AC%AC%E5%9B%9B%E6%AC%A1%E5%8C%97%E4%BC%90,（1380年）,未分级,明太祖第四次北伐 （1380年）
1288,ming,17,明朝（1368－1644）,明平云南之战 （1381年,明平云南之战,https://zh.wikipedia.org/wiki/%E6%98%8E%E5%B9%B3%E4%BA%91%E5%8D%97%E4%B9%8B%E6%88%98,,未分级,明平云南之战 （1381年－1382年）
1289,ming,17,明朝（1368－1644）,年代未详,明太祖第五次北伐,https://zh.wikipedia.org/wiki/%E6%98%8E%E5%A4%AA%E7%A5%96%E7%AC%AC%E4%BA%94%E6%AC%A1%E5%8C%97%E4%BC%90,（1387年）,未分级,明太祖第五次北伐 （1387年）
1290,ming,17,明朝（1368－1644）,明太祖第六次北伐 （1387年,明太祖第六次北伐,https://zh.wikipedia.org/wiki/%E6%98%8E%E5%A4%AA%E7%A5%96%E7%AC%AC%E5%85%AD%E6%AC%A1%E5%8C%97%E4%BC%90,,未分级,明太祖第六次北伐 （1387年－1388年）
1291,ming,17,明朝（1368－1644）,年代未详,明太祖第七次北伐,https://zh.wikipedia.org/wiki/%E6%98%8E%E5%A4%AA%E7%A5%96%E7%AC%AC%E4%B8%83%E6%AC%A1%E5%8C%97%E4%BC%90,（1390年）,未分级,明太祖第七次北伐 （1390年）
1292,ming,17,明朝（1368－1644）,年代未详,明太祖第八次北伐,https://zh.wikipedia.org/wiki/%E6%98%8E%E5%A4%AA%E7%A5%96%E7%AC%AC%E5%85%AB%E6%AC%A1%E5%8C%97%E4%BC%90,（1396年）,未分级,明太祖第八次北伐 （1396年）
1293,ming,17,明朝（1368－1644）,靖难之役 （1399年,靖难之役,https://zh.wikipedia.org/wiki/%E9%9D%96%E9%9A%BE%E4%B9%8B%E5%BD%B9,,未分级,靖难之役 （1399年－1402年）
1294,ming,17,明朝（1368－1644）,明朝苗族叛乱 （14世纪,明朝苗族叛乱,https://zh.wikipedia.org/wiki/%E6%98%8E%E6%9C%9D%E8%8B%97%E6%97%8F%E5%8F%9B%E4%B9%B1,,未分级,明朝苗族叛乱 （14世纪－15世纪）
1295,ming,17,明朝（1368－1644）,明朝与吐鲁番的战争 （15世纪,明朝与吐鲁番的战争,https://zh.wikipedia.org/wiki/%E6%98%8E%E6%9C%9D%E4%B8%8E%E5%90%90%E9%B2%81%E7%95%AA%E7%9A%84%E6%88%98%E4%BA%89,,未分级,明朝与吐鲁番的战争 （15世纪－16世纪）
1296,ming,17,明朝（1368－1644）,明入越 （1406年,明入越,https://zh.wikipedia.org/wiki/%E6%98%8E%E5%85%A5%E8%B6%8A,,未分级,明入越 （1406年－1407年）
1297,ming,17,明朝（1368－1644）,年代未详,胪朐河之战,https://zh.wikipedia.org/wiki/%E8%83%AA%E6%9C%90%E6%B2%B3%E4%B9%8B%E6%88%98,（1409年）,未分级,胪朐河之战 （1409年）
1298,ming,17,明朝（1368－1644）,年代未详,明成祖第一次亲征漠北之战,https://zh.wikipedia.org/wiki/%E6%98%8E%E6%88%90%E7%A5%96%E8%BF%9C%E5%BE%81%E6%BC%A0%E5%8C%97%E4%B9%8B%E6%88%98,（1410年）,未分级,明成祖第一次亲征漠北之战 （1410年）
1299,ming,17,明朝（1368－1644）,明-锡兰山国战争 （1410年,明-锡兰山国战争,https://zh.wikipedia.org/wiki/%E6%98%8E-%E9%94%A1%E5%85%B0%E5%B1%B1%E5%9B%BD%E6%88%98%E4%BA%89,,未分级,明-锡兰山国战争 （1410年－1411年）
1300,ming,17,明朝（1368－1644）,年代未详,明成祖第二次亲征漠北之战,https://zh.wikipedia.org/wiki/%E6%98%8E%E6%88%90%E7%A5%96%E8%BF%9C%E5%BE%81%E6%BC%A0%E5%8C%97%E4%B9%8B%E6%88%98,（1414年）,未分级,明成祖第二次亲征漠北之战 （1414年）
1301,ming,17,明朝（1368－1644）,蓝山起义 （1418年,蓝山起义,https://zh.wikipedia.org/wiki/%E8%93%9D%E5%B1%B1%E8%B5%B7%E4%B9%89,,未分级,蓝山起义 （1418年－1427年）
1302,ming,17,明朝（1368－1644）,年代未详,明成祖第三次亲征漠北之战,https://zh.wikipedia.org/wiki/%E6%98%8E%E6%88%90%E7%A5%96%E8%BF%9C%E5%BE%81%E6%BC%A0%E5%8C%97%E4%B9%8B%E6%88%98,（1422年）,未分级,明成祖第三次亲征漠北之战 （1422年）
1303,ming,17,明朝（1368－1644）,年代未详,明成祖第四次亲征漠北之战,https://zh.wikipedia.org/wiki/%E6%98%8E%E6%88%90%E7%A5%96%E8%BF%9C%E5%BE%81%E6%BC%A0%E5%8C%97%E4%B9%8B%E6%88%98,（1423年）,未分级,明成祖第四次亲征漠北之战 （1423年）
1304,ming,17,明朝（1368－1644）,年代未详,明成祖第五次亲征漠北之战,https://zh.wikipedia.org/wiki/%E6%98%8E%E6%88%90%E7%A5%96%E8%BF%9C%E5%BE%81%E6%BC%A0%E5%8C%97%E4%B9%8B%E6%88%98,（1424年）,未分级,明成祖第五次亲征漠北之战 （1424年）
1305,ming,17,明朝（1368－1644）,年代未详,高煦之乱,https://zh.wikipedia.org/wiki/%E9%AB%98%E7%85%A6%E4%B9%8B%E4%BA%82,（1426年）,未分级,高煦之乱 （1426年）
