sequence,period_id,period_order,period_title,date_original,battle_title,source_url,source_note,reliability,raw_text
1367,qing,19,清朝（1644－1911）,清朝统一战争 （1616年,清朝统一战争,https://zh.wikipedia.org/wiki/%E6%B8%85%E6%9C%9D%E7%BB%9F%E4%B8%80%E6%88%98%E4%BA%89,,未分级,清朝统一战争 （1616年－1759年）
1368,qing,19,清朝（1644－1911）,雅克萨战役 （1652年,雅克萨战役,https://zh.wikipedia.org/wiki/%E9%9B%85%E5%85%8B%E8%90%A8%E6%88%98%E5%BD%B9,,未分级,雅克萨战役 （1652年－1689年）
1369,qing,19,清朝（1644－1911）,年代未详,郑成功攻台之役,https://zh.wikipedia.org/wiki/%E9%83%91%E6%88%90%E5%8A%9F%E6%94%BB%E5%8F%B0%E4%B9%8B%E5%BD%B9,（1661年）,未分级,郑成功攻台之役 （1661年）
1370,qing,19,清朝（1644－1911）,三藩之乱 （1673年,三藩之乱,https://zh.wikipedia.org/wiki/%E4%B8%89%E8%97%A9%E4%B9%8B%E4%B9%B1,,未分级,三藩之乱 （1673年－1681年）
1371,qing,19,清朝（1644－1911）,年代未详,澎湖海战,https://zh.wikipedia.org/wiki/%E6%BE%8E%E6%B9%96%E6%B5%B7%E6%88%98,（1683年）,未分级,澎湖海战 （1683年）
1372,qing,19,清朝（1644－1911）,平定准噶尔 （1688年,平定准噶尔,https://zh.wikipedia.org/wiki/%E5%B9%B3%E5%AE%9A%E5%87%86%E5%99%B6%E5%B0%94,,未分级,平定准噶尔 （1688年－1758年） 乌兰布通之战 （1690年） 昭莫多之战 （1696年） 准噶尔入藏 （1716年－1720年） 和通泊之战 （1731年） 清灭准噶尔之战 （1755年） 阿睦尔撒纳之乱 （1755年－1758年）
1373,qing,19,清朝（1644－1911）,年代未详,乌兰布通之战,https://zh.wikipedia.org/wiki/%E4%B9%8C%E5%85%B0%E5%B8%83%E9%80%9A%E4%B9%8B%E6%88%98,（1690年）,未分级,乌兰布通之战 （1690年）
1374,qing,19,清朝（1644－1911）,年代未详,昭莫多之战,https://zh.wikipedia.org/wiki/%E6%98%AD%E8%8E%AB%E5%A4%9A%E4%B9%8B%E6%88%98,（1696年）,未分级,昭莫多之战 （1696年）
1375,qing,19,清朝（1644－1911）,准噶尔入藏 （1716年,准噶尔入藏,https://zh.wikipedia.org/wiki/%E6%BA%96%E5%99%B6%E7%88%BE%E5%85%A5%E8%97%8F,,未分级,准噶尔入藏 （1716年－1720年）
1376,qing,19,清朝（1644－1911）,年代未详,和通泊之战,https://zh.wikipedia.org/wiki/%E5%92%8C%E9%80%9A%E6%B3%8A%E4%B9%8B%E6%88%98,（1731年）,未分级,和通泊之战 （1731年）
1377,qing,19,清朝（1644－1911）,年代未详,清灭准噶尔之战,https://zh.wikipedia.org/wiki/%E6%B8%85%E7%81%AD%E5%87%86%E5%99%B6%E5%B0%94%E4%B9%8B%E6%88%98,（1755年）,未分级,清灭准噶尔之战 （1755年）
1378,qing,19,清朝（1644－1911）,阿睦尔撒纳之乱 （1755年,阿睦尔撒纳之乱,https://zh.wikipedia.org/wiki/%E9%98%BF%E7%9D%A6%E7%88%BE%E6%92%92%E7%B4%8D%E4%B9%8B%E4%BA%82,,未分级,阿睦尔撒纳之乱 （1755年－1758年）
1379,qing,19,清朝（1644－1911）,清平青海之战 （1713年,清平青海之战,https://zh.wikipedia.org/wiki/%E6%B8%85%E5%B9%B3%E9%9D%92%E6%B5%B7%E4%B9%8B%E6%88%98,,未分级,清平青海之战 （1713年－1724年）
1380,qing,19,清朝（1644－1911）,年代未详,朱一贵事件,https://zh.wikipedia.org/wiki/%E6%9C%B1%E4%B8%80%E8%B2%B4,（1721年）,未分级,朱一贵事件 （1721年）
1381,qing,19,清朝（1644－1911）,阿尔布巴之乱 （1727年,阿尔布巴之乱,https://zh.wikipedia.org/wiki/%E9%98%BF%E5%B0%94%E5%B8%83%E5%B7%B4,,未分级,阿尔布巴之乱 （1727年－1728年）
1382,qing,19,清朝（1644－1911）,古州苗民起义 （1735年,古州苗民起义,https://zh.wikipedia.org/wiki/%E5%8F%A4%E5%B7%9E%E8%8B%97%E6%B0%91%E8%B5%B7%E4%B9%89,,未分级,古州苗民起义 （1735年－1736年）
1383,qing,19,清朝（1644－1911）,珠尔默特那木札勒之乱 （1749年,珠尔默特那木札勒之乱,https://zh.wikipedia.org/wiki/%E7%8F%A0%E7%88%BE%E9%BB%98%E7%89%B9%E9%82%A3%E6%9C%A8%E6%9C%AD%E5%8B%92%E4%B9%8B%E4%BA%82,,未分级,珠尔默特那木札勒之乱 （1749年－1750年）
1384,qing,19,清朝（1644－1911）,大小金川之役 （1747年,大小金川之役,https://zh.wikipedia.org/wiki/%E5%A4%A7%E5%B0%8F%E9%87%91%E5%B7%9D%E4%B9%8B%E5%BD%B9,,未分级,大小金川之役 （1747年－1776年） 大金川之战 （1747年－1749年） 第二次金川之战 （1771年－1776年）
1385,qing,19,清朝（1644－1911）,大金川之战 （1747年,大金川之战,https://zh.wikipedia.org/wiki/%E5%A4%A7%E9%87%91%E5%B7%9D%E4%B9%8B%E6%88%98,,未分级,大金川之战 （1747年－1749年）
1386,qing,19,清朝（1644－1911）,第二次金川之战 （1771年,第二次金川之战,https://zh.wikipedia.org/wiki/%E7%AC%AC%E4%BA%8C%E6%AC%A1%E9%87%91%E5%B7%9D%E4%B9%8B%E6%88%B0,,未分级,第二次金川之战 （1771年－1776年）
1387,qing,19,清朝（1644－1911）,大小和卓之乱 （1757年,大小和卓之乱,https://zh.wikipedia.org/wiki/%E5%A4%A7%E5%B0%8F%E5%92%8C%E5%8D%93%E4%B9%8B%E4%B9%B1,,未分级,大小和卓之乱 （1757年－1759年）
1388,qing,19,清朝（1644－1911）,清缅战争 （1762年,清缅战争,https://zh.wikipedia.org/wiki/%E6%B8%85%E7%BC%85%E6%88%98%E4%BA%89,,未分级,清缅战争 （1762年－1769年）
1389,qing,19,清朝（1644－1911）,年代未详,苏四十三起义,https://zh.wikipedia.org/wiki/%E8%98%87%E5%9B%9B%E5%8D%81%E4%B8%89%E8%B5%B7%E7%BE%A9,（1781年）,未分级,苏四十三起义 （1781年）
1390,qing,19,清朝（1644－1911）,年代未详,林爽文事件,https://zh.wikipedia.org/wiki/%E6%9E%97%E7%88%BD%E6%96%87%E4%BA%8B%E4%BB%B6,（1786年）,未分级,林爽文事件 （1786年）
1391,qing,19,清朝（1644－1911）,廓尔喀之役 （1788年,廓尔喀之役,https://zh.wikipedia.org/wiki/%E5%BB%93%E5%B0%94%E5%96%80%E4%B9%8B%E5%BD%B9,1792年） 第一次（1788年－1789年） 第二次廓尔喀之役（1791年－1792年）,未分级,廓尔喀之役 （1788年－1792年） 第一次廓尔喀之役（1788年－1789年） 第二次廓尔喀之役（1791年－1792年）
1392,qing,19,清朝（1644－1911）,第一次廓尔喀之役（1788年,1789年）,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%88%98%E4%BA%89%E5%88%97%E8%A1%A8,,未分级,第一次廓尔喀之役（1788年－1789年）
1393,qing,19,清朝（1644－1911）,第二次廓尔喀之役（1791年,1792年）,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%88%98%E4%BA%89%E5%88%97%E8%A1%A8,,未分级,第二次廓尔喀之役（1791年－1792年）
1394,qing,19,清朝（1644－1911）,清越战争 （1788年,清越战争,https://zh.wikipedia.org/wiki/%E6%B8%85%E8%B6%8A%E6%88%B0%E7%88%AD,,未分级,清越战争 （1788年－1789年）
1395,qing,19,清朝（1644－1911）,蔡牵之乱 （1794年,蔡牵之乱,https://zh.wikipedia.org/wiki/%E8%94%A1%E7%89%B5,,未分级,蔡牵之乱 （1794年－1809年）
1396,qing,19,清朝（1644－1911）,川楚教乱 （1795年,川楚教乱,https://zh.wikipedia.org/wiki/%E5%B7%9D%E6%A5%9A%E6%95%99%E4%B9%B1,,未分级,川楚教乱 （1795年－1804年）
1397,qing,19,清朝（1644－1911）,年代未详,癸酉之变,https://zh.wikipedia.org/wiki/%E7%99%B8%E9%85%89%E4%B9%8B%E5%8F%98,（1813年）,未分级,癸酉之变 （1813年）
1398,qing,19,清朝（1644－1911）,张格尔之乱 （1820年,张格尔之乱,https://zh.wikipedia.org/wiki/%E5%BC%A0%E6%A0%BC%E5%B0%94,,未分级,张格尔之乱 （1820年－1827年）
1399,qing,19,清朝（1644－1911）,年代未详,穿鼻之战,https://zh.wikipedia.org/wiki/%E7%A9%BF%E9%BC%BB%E4%B9%8B%E6%88%98,（1839年）,未分级,穿鼻之战 （1839年）
1400,qing,19,清朝（1644－1911）,第一次鸦片战争 （1840年,第一次鸦片战争,https://zh.wikipedia.org/wiki/%E7%AC%AC%E4%B8%80%E6%AC%A1%E9%B8%A6%E7%89%87%E6%88%98%E4%BA%89,,未分级,第一次鸦片战争 （1840年－1842年） 第一次定海之战 （1840年） 虎门之战 （ 虎门炮台 ）（1841年） 第一次广州之战 （1841年） 第二次广州之战 （ 四方炮台 ）（1841年） 三元里抗英事件 （1841年） 第二次定海之战 （1841年） 镇海之战 （1841年） 浙东之战 （1842年） 乍浦之战 （1842年） 吴淞战役 （ 吴淞炮台 ）（1842年） 镇江之战 （1842年）
