sequence,period_id,period_order,period_title,date_original,battle_title,source_url,source_note,reliability,raw_text
1488,republic_of_china,20,中华民国大陆时期（1912－1949）,年代未详,二次革命,https://zh.wikipedia.org/wiki/%E4%BA%8C%E6%AC%A1%E9%9D%A9%E5%91%BD,（1913年）,未分级,二次革命 （1913年）
1489,republic_of_china,20,中华民国大陆时期（1912－1949）,年代未详,白朗起事,https://zh.wikipedia.org/wiki/%E7%99%BD%E6%9C%97_(%E4%BA%BA%E5%90%8D),（1914年）,未分级,白朗起事 （1914年）
1490,republic_of_china,20,中华民国大陆时期（1912－1949）,年代未详,察都称帝,https://zh.wikipedia.org/wiki/%E5%AF%9F%E9%83%BD,（1915年）,未分级,察都称帝 （1915年）
1491,republic_of_china,20,中华民国大陆时期（1912－1949）,护国战争 （1915年,护国战争,https://zh.wikipedia.org/wiki/%E6%8A%A4%E5%9B%BD%E6%88%98%E4%BA%89,,未分级,护国战争 （1915年－1916年）
1492,republic_of_china,20,中华民国大陆时期（1912－1949）,年代未详,张勋复辟,https://zh.wikipedia.org/wiki/%E5%BC%A0%E5%8B%8B%E5%A4%8D%E8%BE%9F,（1917年）,未分级,张勋复辟 （1917年）
1493,republic_of_china,20,中华民国大陆时期（1912－1949）,第一次世界大战 （1917年,第一次世界大战,https://zh.wikipedia.org/wiki/%E7%AC%AC%E4%B8%80%E6%AC%A1%E4%B8%96%E7%95%8C%E5%A4%A7%E6%88%98,,未分级,第一次世界大战 （1917年－1918年）
1494,republic_of_china,20,中华民国大陆时期（1912－1949）,护法战争 （1917年,护法战争,https://zh.wikipedia.org/wiki/%E6%8A%A4%E6%B3%95%E6%88%98%E4%BA%89,,未分级,护法战争 （1917年－1922年）
1495,republic_of_china,20,中华民国大陆时期（1912－1949）,年代未详,西安战斗,https://zh.wikipedia.org/wiki/%E8%A5%BF%E5%AE%89%E6%88%98%E6%96%97,（1918年）,未分级,西安战斗 （1918年）
1496,republic_of_china,20,中华民国大陆时期（1912－1949）,年代未详,五四运动,https://zh.wikipedia.org/wiki/%E4%BA%94%E5%9B%9B%E8%BF%90%E5%8A%A8,（1919年）,未分级,五四运动 （1919年）
1497,republic_of_china,20,中华民国大陆时期（1912－1949）,年代未详,直皖战争,https://zh.wikipedia.org/wiki/%E7%9B%B4%E7%9A%96%E6%88%98%E4%BA%89,（1920年）,未分级,直皖战争 （1920年）
1498,republic_of_china,20,中华民国大陆时期（1912－1949）,第一次粤桂战争 （1920年,第一次粤桂战争,https://zh.wikipedia.org/wiki/%E7%AC%AC%E4%B8%80%E6%AC%A1%E7%B2%A4%E6%A1%82%E6%88%98%E4%BA%89,,未分级,第一次粤桂战争 （1920年－1921年）
1499,republic_of_china,20,中华民国大陆时期（1912－1949）,年代未详,第二次粤桂战争,https://zh.wikipedia.org/wiki/%E7%AC%AC%E4%BA%8C%E6%AC%A1%E7%B2%A4%E6%A1%82%E6%88%98%E4%BA%89,（1921年）,未分级,第二次粤桂战争 （1921年）
1500,republic_of_china,20,中华民国大陆时期（1912－1949）,年代未详,第一次直奉战争,https://zh.wikipedia.org/wiki/%E7%AC%AC%E4%B8%80%E6%AC%A1%E7%9B%B4%E5%A5%89%E6%88%98%E4%BA%89,（1922年）,未分级,第一次直奉战争 （1922年）
1501,republic_of_china,20,中华民国大陆时期（1912－1949）,年代未详,成都之战,https://zh.wikipedia.org/wiki/%E6%88%90%E9%83%BD%E6%88%B0%E9%AC%A5_(%E5%8C%97%E6%B4%8B%E6%94%BF%E5%BA%9C%E6%99%82%E6%9C%9F),（1923年）,未分级,成都之战 （1923年）
1502,republic_of_china,20,中华民国大陆时期（1912－1949）,第一次国内革命战争 （ 中国共产党 称呼）（1924年,第一次国内革命战争,https://zh.wikipedia.org/wiki/%E7%AC%AC%E4%B8%80%E6%AC%A1%E5%9B%BD%E5%86%85%E9%9D%A9%E5%91%BD%E6%88%98%E4%BA%89,,未分级,第一次国内革命战争 （ 中国共产党 称呼）（1924年－1927年）
1503,republic_of_china,20,中华民国大陆时期（1912－1949）,年代未详,第二次直奉战争,https://zh.wikipedia.org/wiki/%E7%AC%AC%E4%BA%8C%E6%AC%A1%E7%9B%B4%E5%A5%89%E6%88%98%E4%BA%89,（1924年）,未分级,第二次直奉战争 （1924年）
1504,republic_of_china,20,中华民国大陆时期（1912－1949）,年代未详,江浙战争,https://zh.wikipedia.org/wiki/%E6%B1%9F%E6%B5%99%E6%88%98%E4%BA%89,（1924年）,未分级,江浙战争 （1924年）
