sequence,period_id,period_order,period_title,date_original,battle_title,source_url,source_note,reliability,raw_text
1653,prc,21,中华人民共和国参与的战争（1949年10月－至今）,年代未详,广西战役,https://zh.wikipedia.org/wiki/%E5%B9%BF%E8%A5%BF%E6%88%98%E5%BD%B9,（1949年）,未分级,广西战役 （1949年）
1654,prc,21,中华人民共和国参与的战争（1949年10月－至今）,年代未详,厦门战役,https://zh.wikipedia.org/wiki/%E5%8E%A6%E9%97%A8%E6%88%98%E5%BD%B9_(1949%E5%B9%B4),（1949年）,未分级,厦门战役 （1949年）
1655,prc,21,中华人民共和国参与的战争（1949年10月－至今）,年代未详,金门战役,https://zh.wikipedia.org/wiki/%E9%87%91%E9%97%A8%E6%88%98%E5%BD%B9,（1949年）,未分级,金门战役 （1949年）
1656,prc,21,中华人民共和国参与的战争（1949年10月－至今）,年代未详,登步岛战役,https://zh.wikipedia.org/wiki/%E7%99%BB%E6%AD%A5%E5%B3%B6%E6%88%B0%E5%BD%B9,（1949年）,未分级,登步岛战役 （1949年）
1657,prc,21,中华人民共和国参与的战争（1949年10月－至今）,年代未详,南泉战役,https://zh.wikipedia.org/wiki/%E5%8D%97%E6%B3%89%E6%88%98%E5%BD%B9,（1949年）,未分级,南泉战役 （1949年）
1658,prc,21,中华人民共和国参与的战争（1949年10月－至今）,年代未详,成都战役,https://zh.wikipedia.org/wiki/%E6%88%90%E9%83%BD%E6%88%98%E5%BD%B9,（1949年）,未分级,成都战役 （1949年）
1659,prc,21,中华人民共和国参与的战争（1949年10月－至今）,年代未详,海南岛战役,https://zh.wikipedia.org/wiki/%E6%B5%B7%E5%8D%97%E5%B3%B6%E6%88%B0%E5%BD%B9,（1950年）,未分级,海南岛战役 （1950年）
1660,prc,21,中华人民共和国参与的战争（1949年10月－至今）,年代未详,昌都战役,https://zh.wikipedia.org/wiki/%E6%98%8C%E9%83%BD%E6%88%98%E5%BD%B9,（1950年）,未分级,昌都战役 （1950年）
1661,prc,21,中华人民共和国参与的战争（1949年10月－至今）,年代未详,万山群岛战役,https://zh.wikipedia.org/wiki/%E4%B8%87%E5%B1%B1%E7%BE%A4%E5%B2%9B%E6%88%98%E5%BD%B9,（1950年）,未分级,万山群岛战役 （1950年）
1662,prc,21,中华人民共和国参与的战争（1949年10月－至今）,年代未详,九三炮战,https://zh.wikipedia.org/wiki/%E4%B9%9D%E4%B8%89%E7%82%AE%E6%88%98,（1954年）,未分级,九三炮战 （1954年）
1663,prc,21,中华人民共和国参与的战争（1949年10月－至今）,年代未详,一江山岛战役,https://zh.wikipedia.org/wiki/%E4%B8%80%E6%B1%9F%E5%B1%B1%E5%B2%9B%E6%88%98%E5%BD%B9,（1955年）,未分级,一江山岛战役 （1955年）
