term,pinyin,annotation,type
犬戎,quǎn róng,我国古代西北戎人的一支。,source_note
祭公谋父,jì gōng móu fù,周穆王的大臣。,source_note
周文公,zhōu wén gōng,周公姬旦，“文”是他的谥号。,source_note
櫜,gāo,收藏弓箭盔甲的器具。,source_note
茂,mào,勉励。,source_note
后稷,hòu jì,周的始祖，因为曾掌管农事，所以也称为后稷。,source_note
不窋,bù zhú,弃的后代。,source_note
翟,dí,通“狄”。,source_note
纂,zuǎn,同“缵”，继续。,source_note
忝,tiǎn,玷污。,source_note
帝辛,dì xīn,商纣王，名辛。,source_note
甸服,diàn fú,离王城五百里的区域之内的人服侍天子。,source_note
侯服,hóu fú,诸侯们服侍天子。,source_note
宾服,bīn fú,不是诸侯，而是以宾客的身份服侍天子。,source_note
要服,yāo fú,指离都城一千五百里至二千里地区的人服侍天子。,source_note
荒服,huāng fú,指距离京城最远的属地之人服侍天子。,source_note
几顿,jī dùn,几乎废弃。,source_note
树惇,shù dūn,立性敦厚。,source_note
纯固,chún gù,专一。,source_note
稷,jì,稷谷,source_note
惇,dūn,敦厚，笃实,source_note
奕,yì,大,source_note
翟,dí,di,source_note
