order	source_key	term	annotation
1	b1	臧文仲	鲁国大夫。
2	b2	展禽	鲁国大夫，名获，字禽，又叫柳下惠。
3	b3	烈山氏	即神农氏。
4	b4	柱	在夏代以前已被祀为谷神。
5	b5	周弃	周族的始祖。
6	b6	共工氏	上古时代的部落首领。
7	b7	黄帝	姬姓，号轩辕氏，中原各族的共同祖先。
8	b8	颛顼	传说中的上古帝王，黄帝之孙。
9	b9	帝喾	传说中的古代帝王名，即五帝之一的高辛氏
10	b10	殛	诛杀。
11	b11	契	传说中商族的始祖，帝喾的儿子。
12	b12	冥	传说是契的六世孙，夏代的水官。
13	b13	禘、祖、郊、宗	古代帝王对祖先的四种祭祀仪式。
14	b14	幕	传说是舜的后代。
15	b15	杼	传说是禹的后代，少康的儿子。
16	b16	上甲微	契的后代，商汤的六世祖。
17	b17	太王	高圉的曾孙，文王的祖父。
18	b9x1	三辰	指日、月、星
19	b18	兹	年。
20	b19	信	确实。
21	il_捍	捍	抵御
22	il_稷	稷	稷谷
23	il_尧	尧	高
24	il_舜	舜	一种蔓
25	il_鲧	鲧	鱼名
26	il_顼	顼	姓
27	il_喾	喾	传说中的古代帝王名，即五帝之一的高辛氏
28	il_圉	圉	圉，囹圉，所以拘罪人也
