阅读词表
来源文件：afterword/afterword_clean_edited.txt
检出条目数：15

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	人祭	rén jì	concept	杀人用于祭祀的宗教行为。	19	...。对历史有些了解的人， 大都知道商朝存在人祭行为， 但关于人祭的消亡， 用心探究过的人...
2	林鹄	lín hú	person	研究周人族姓观念等问题的学者。	5	...多， 一位是和我同级的韩魏兄， 一位是高一级的林鹄兄， 他们都是先秦史方向， 后来拿的也是考...
3	韩巍	hán wēi	person	研究西周殷商遗民丧葬习俗的学者。	5	...都是先秦史方向， 后来拿的也是考古学的学位。韩巍的硕士论文是关于西周初年殷商遗民的丧葬...
4	殷商遗民	yīn shāng yí mín	concept	商朝灭亡后延续生活的商人群体。	2	...考古学的学位。韩巍的硕士论文是关于西周初年殷商遗民的丧葬习俗的， 里面提到当时的殷商遗...
5	腰坑殉狗	yāo kēng xùn gǒu	concept	在墓穴腰坑中埋狗的丧葬习俗。	1	...葬习俗的， 里面提到当时的殷商遗民还保留着“腰坑殉狗”及殉人的传统， 跟同时的周人墓葬截...
6	阿兹特克	ā zī tè kè	site_or_culture	古代中部美洲文明。	1	...尔•吉布森的《启示》（2006）， 一部关于阿兹特克文明的人祭题材的电影。我看了之后的...
7	藁城台西	gǎo chéng tái xī	site_or_culture	河北藁城商代遗址。	1	不过， 当时也形成了少量文字积累， 如本书中关于藁城台西商代遗址的一章。
8	考古报告	kǎo gǔ bào gào	text	记录考古调查、发掘和研究成果的专业报告。	2	到2019年春， 韩巍赠了我一系列多年收集的考古报告与上古文献。
9	周易	zhōu yì	text	以《易经》及其传文构成的古代经典。	2	...收集的考古报告与上古文献。而在这年， 我对《周易》也有了新的发现， 原来其中有大量的周文...
10	严文明	yán wén míng	person	中国考古学家。	2	...文中引用的报告和著作， 不能不提及考古学大家严文明先生：他不仅对新石器时代的人祭有深入...
11	人殉	rén xùn	concept	以人为死者殉葬。	1	...的头盖骨剥皮现象、新沂花厅遗址的族群征服与人殉等， 而且对中国文明起源的论述尤为深刻一...
12	周原	zhōu yuán	site_or_culture	关中地区周族的重要活动中心。	2	...料提供了诸多帮助。2020年初， 我有缘探访周原遗址， 包括深锁在红砖院墙中的“文王大宅...
13	文王大宅	wén wáng dà zhái	site_or_culture	周原遗址中的大型西周建筑基址。	1	...有缘探访周原遗址， 包括深锁在红砖院墙中的“文王大宅”基址， 彼时就投宿在牛敬飞兄家中。...
14	祭祀坑	jì sì kēng	concept	用于举行祭祀或埋入祭品的坑穴。	1	...最大的支持， 其实是心理上的， 让我意识到除了祭祀坑里的尸骨， 这世界上还有别的东西。...
15	凝视深渊	níng shì shēn yuān	concept	后记中形容长期面对人祭历史所带来的精神压力。	1	也许， 人不应当凝视深渊；
