term,pinyin,type,annotation
人祭,rén jì,concept,杀人用于祭祀的宗教行为。
人殉,rén xùn,concept,以人为死者殉葬。
腰坑殉狗,yāo kēng xùn gǒu,concept,在墓穴腰坑中埋狗的丧葬习俗。
殷商遗民,yīn shāng yí mín,concept,商朝灭亡后延续生活的商人群体。
阿兹特克,ā zī tè kè,site_or_culture,古代中部美洲文明。
藁城台西,gǎo chéng tái xī,site_or_culture,河北藁城商代遗址。
周易,zhōu yì,text,以《易经》及其传文构成的古代经典。
周原,zhōu yuán,site_or_culture,关中地区周族的重要活动中心。
文王大宅,wén wáng dà zhái,site_or_culture,周原遗址中的大型西周建筑基址。
祭祀坑,jì sì kēng,concept,用于举行祭祀或埋入祭品的坑穴。
考古报告,kǎo gǔ bào gào,text,记录考古调查、发掘和研究成果的专业报告。
严文明,yán wén míng,person,中国考古学家。
韩巍,hán wēi,person,研究西周殷商遗民丧葬习俗的学者。
林鹄,lín hú,person,研究周人族姓观念等问题的学者。
凝视深渊,níng shì shēn yuān,concept,后记中形容长期面对人祭历史所带来的精神压力。
