阅读词表
来源文件：chapter_02/chapter_02_clean_edited.txt
检出条目数：15

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	鲧	gǔn	rare_word	传说中禹的父亲，曾奉命治水。	4	...尧和舜的时代曾经发生大洪水， 尧帝派禹的父亲鲧治水， 但没有成效， 鲧被处死；舜帝则继续任...
2	杂糅	zá róu	rare_word	混杂融合在一起。	2	远古历史总是和神话杂糅。
3	顾颉刚	gù jié gāng	person	现代历史学家，“古史辨”学派代表人物。	2	...大禹传说的真实性， 比如开创“古史辨”学派的顾颉刚， 他就认为大禹的事迹是战国时的人虚构...
4	浚川	jùn chuān	rare_word	疏通河道。	1	...， 其铭文中有这样的叙述：“天命禹敷土， 随山浚川。”但它属于西周， 跟大禹的时代相距甚远...
5	偃师	yǎn shī	place	今河南洛阳附近地名，二里头遗址所在地。	1	...河沉积形成的小平原上， 发现了疑似“夏都”的偃师二里头遗址。它的占地面积、宫殿规格以及...
6	碳化	tàn huà	rare_word	有机物受热或长期埋藏后变成含碳状态。	2	历经上千年埋藏的粮食大都已经碳化， 如果不是大量的堆积很难被发现。
7	浮选法	fú xuǎn fǎ	rare_word	考古中利用水筛选炭化植物遗存的方法。	2	...积很难被发现。近年来， 考古工作者开始采用“浮选法”来寻找粮食：在遗址中采集土样， 打散...
8	构拟	gòu nǐ	rare_word	根据材料推想、重建原貌。	1	但很可惜， 浮选工作没有称重的报告， 目前还只能通过粮食颗粒数“构拟”它们的重量。
9	贡赋	gòng fù	rare_word	向统治者进贡或缴纳的赋税。	3	...便猜测这些稻米是从外地进贡来的：“通过收取贡赋的手段， 从当时的水稻种植区域征集大量稻...
10	蚌镰	bàng lián	rare_word	用蚌壳制作的收割工具。	1	...坠， 很多蚌壳制作的工具， 如箭镞和用于收割的蚌镰， 显示当年这里是水滨湿地环境。二里...
11	营窟	yíng kū	rare_word	建造洞穴居所。	1	...中国， 蛇龙居之， 民无所定， 下者为巢， 上者为营窟……使禹治之。禹掘地而注之海， 驱蛇龙而...
12	蜷曲	quán qū	rare_word	弯曲、卷曲。	2	...顾颉刚早已发现，“禹”字从“虫”， 也就是蜷曲的蛇形， 而在古史中， 禹的父亲名“鲧”，...
13	姒	sì	rare_word	夏朝王室族姓。	1	...《山海经•海内经》郭璞注）夏朝王室族姓为“姒”， 在后世的甲骨文和金文中， 它的“以”部...
14	绿松石	lǜ sōng shí	rare_word	一种蓝绿色矿石，常用于装饰。	12	二里头的显贵墓葬经常随葬绿松石的龙形器或饰牌。
15	蔚为大观	wèi wéi dà guān	idiom	发展成盛大壮观的景象。	1	石峁的龙元素并不多， 到二里头则蔚为大观。
