term,pinyin,type,annotation
銎,qióng,bronze_item,兵器或工具上安装柄把的孔。
盉,hé,bronze_item,盛酒或盛水器，也用于调和酒味浓淡。
镞,zú,bronze_item,箭头。
簋,guǐ,bronze_item,古代盛食物的器具。
甗,yǎn,bronze_item,古代蒸食器，上甑下鬲。
敦,duì,bronze_item,古代盛饭食的器皿。
轙,yǐ,bronze_item,古代车衡两侧的铜制车马构件。
罍,léi,bronze_item,大型盛酒器和礼器。
鬲,lì,bronze_item,古代煮食炊器。
軎,wèi,bronze_item,套在车轴两端的车具零件。
甑,zèng,bronze_item,古代蒸食炊具。
箅,bì,bronze_item,甑底用于透汽和间隔的片状器具。
匜,yí,bronze_item,盥洗或注水器，前有流、后有鋬。
匕,bǐ,bronze_item,古代取食器，形似长柄浅勺。
觥,gōng,bronze_item,商周时期酒器，多作鸟兽形。
觚,gū,bronze_item,古代饮酒器。
爵,jué,bronze_item,古代酒器，也引申为爵位。
觯,zhì,bronze_item,古代饮酒器，形似小尊。
斝,jiǎ,bronze_item,古代青铜酒器，圆口三足。
鬶,guī,bronze_item,古代陶制或青铜礼器，形制特殊。
豆,dòu,bronze_item,古代盛肉或食品的高足盘形器。
彝,yí,bronze_item,古代盛酒器，也泛指宗庙祭器。
卣,yǒu,bronze_item,古代盛酒器，常有盖和提梁。
钺,yuè,bronze_item,大型斧形兵器或礼器。
戚,qī,bronze_item,古代斧形兵器或礼器。
戈,gē,bronze_item,古代横刃长柄兵器。
戣,kuí,bronze_item,古代一种像戟的长柄兵器；本章铜戣为三角形戈。
卮,zhī,bronze_item,古代盛酒器。
盨,xǔ,bronze_item,古代盛食物的铜器，多有盖、耳和圈足。
镈,bó,bronze_item,古代钟类乐器，也可指锄类农具。
鑃,diào,bronze_item,古代乐器，形似铎铃。
缶,fǒu,bronze_item,古代大腹小口盛酒瓦器。
瓿,bù,bronze_item,小瓮形器，可盛酒或水。
铎,duó,bronze_item,有舌大铃，可用于政令或乐器。
铍,pí,bronze_item,古代长矛。
樽,zūn,bronze_item,古代盛酒器。
斛,hú,bronze_item,古代量器和容量单位。
