阅读词表
来源文件：chapter_04/chapter_04_clean.txt
检出条目数：12

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	觚	gū	bronze_item	古代饮酒器。	2	...。3二里头文化拥有独特的陶礼器（酒器）群，觚、爵、盉、斝、鬶等，只有地位较高的人才能...
2	爵	jué	bronze_item	古代酒器，也引申为爵位。	1	...二里头文化拥有独特的陶礼器（酒器）群，觚、爵、盉、斝、鬶等，只有地位较高的人才能拥有...
3	盉	hé	bronze_item	盛酒或盛水器，也用于调和酒味浓淡。	1	...头文化拥有独特的陶礼器（酒器）群，觚、爵、盉、斝、鬶等，只有地位较高的人才能拥有成套...
4	斝	jiǎ	bronze_item	古代青铜酒器，圆口三足。	3	...化拥有独特的陶礼器（酒器）群，觚、爵、盉、斝、鬶等，只有地位较高的人才能拥有成套的陶...
5	鬶	guī	bronze_item	古代陶制或青铜礼器，形制特殊。	1	...有独特的陶礼器（酒器）群，觚、爵、盉、斝、鬶等，只有地位较高的人才能拥有成套的陶礼器...
6	镞	zú	bronze_item	箭头。	1	...4VIM5）,墓主的胸骨被一枚8厘米长的铜镞射入，埋在宫殿区以北的六（VI）区传统墓...
7	甑	zèng	bronze_item	古代蒸食炊具。	1	...后弃于坑中。出土有包括深腹罐、圆腹罐、鼎、甑、鬲、甗、刻槽盆、大口尊、觚、器盖等在内...
8	鬲	lì	bronze_item	古代煮食炊器。	1	...于坑中。出土有包括深腹罐、圆腹罐、鼎、甑、鬲、甗、刻槽盆、大口尊、觚、器盖等在内的较...
9	甗	yǎn	bronze_item	古代蒸食器，上甑下鬲。	1	...中。出土有包括深腹罐、圆腹罐、鼎、甑、鬲、甗、刻槽盆、大口尊、觚、器盖等在内的较多陶...
10	钺	yuè	bronze_item	大型斧形兵器或礼器。	2	...后的红烧土堆积，里面有十多件青铜器，主要是钺、戚和戈等兵器。14碳十四测年显示，...
11	戚	qī	bronze_item	古代斧形兵器或礼器。	1	...红烧土堆积，里面有十多件青铜器，主要是钺、戚和戈等兵器。14碳十四测年显示，三官...
12	戈	gē	bronze_item	古代横刃长柄兵器。	1	...土堆积，里面有十多件青铜器，主要是钺、戚和戈等兵器。14碳十四测年显示，三官庙遗...
