阅读词表
来源文件：chapter_04/chapter_04_clean.txt
检出条目数：20

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	夏桀	xià jié	person	传说中的夏朝末代君主。	7	...在史书中有道德评判色彩很强的记载：末代帝王夏桀胡作非为引起天怒人怨， 终于被新兴的有道...
2	商汤	shāng tāng	person	商朝开国君主，传统记载中灭夏。	6	...胡作非为引起天怒人怨， 终于被新兴的有道之君商汤取代。帝桀之时……桀不务德而武伤百...
3	疆域	jiāng yù	concept	国家或政权控制、影响的地域范围。	5	这需要从二里头古国的疆域开始考察。
4	陶礼器	táo lǐ qì	artifact	陶制礼仪器物，多与酒礼和身份等级有关。	8	...以作为指标。二里头文化遗址的分布及出土陶礼器的遗址示意图：黑点是二里头文化遗址，...
5	西吴壁	xī wú bì	site_or_culture	山西绛县遗址，文中讨论为冶铜地点。	6	...]]在二里头一夏朝时期， 晋南地区的绛县西吴壁出现了冶铜工场， 主要是把铜矿石冶炼成...
6	大师姑	dà shī gū	site_or_culture	郑州附近夏商时期古城遗址。	2	...在东方， 夏王朝有两个比较重要的据点——郑州大师姑古城和新郑望京楼古城， 距离二里头10...
7	望京楼	wàng jīng lóu	site_or_culture	新郑附近夏商时期古城遗址。	2	...两个比较重要的据点——郑州大师姑古城和新郑望京楼古城， 距离二里头100公里左右， 城池...
8	灰坑	huī kēng	concept	考古遗迹中常见的垃圾坑或废弃坑。	9	...米， 城内没有发现高等级建筑和墓葬， 但抛掷在灰坑里的尸骨较多， 显示有较强的权力因素和社...
9	岳石文化	yuè shí wén huà	site_or_culture	山东地区龙山以后、商代以前的考古文化。	3	从这两地再向东， 是山东地区的岳石文化；
10	下七垣文化	xià qī yuán wén huà	site_or_culture	豫北冀南一带商代早期前后的考古文化。	2	向北， 是辉卫文化和下七垣文化。
11	偃师商城	yǎn shī shāng chéng	site_or_culture	商代早期城址，位于二里头以东。	4	这两座聚落逐渐扩大， 并修筑了城墙， 被考古学者分别称为偃师商城和郑州商城。
12	郑州商城	zhèng zhōu shāng chéng	site_or_culture	商代早期大型城址。	3	这两座聚落逐渐扩大， 并修筑了城墙， 被考古学者分别称为偃师商城和郑州商城。
13	朱砂	zhū shā	rare_word	红色矿物，古代葬俗中常用于铺垫或涂抹。	4	...， 其中一名女性（2号）身下铺有约2毫米厚的朱砂。这五人的身体多蜷曲， 很可能是死于他杀...
14	巢湖	cháo hú	place	安徽湖泊，文中与“南巢”传说相关。	6	遥远的巢湖殖民地
15	南巢	nán cháo	place	古书中夏桀被放逐之地，文中联系到巢湖地区。	5	...记载， 商汤灭夏之后， 把末代夏王桀驱赶到了“南巢”：“成汤放桀于南巢。”古代注家认为，...
16	肥西	féi xī	place	安徽地名，出土过二里头风格青铜器。	8	...史书里再也找不到旁证。1972年， 安徽肥西县的大墩孜村出土了两件青铜斝和一枚青铜...
17	三官庙	sān guān miào	site_or_culture	安徽肥西遗址，出土二里头时期遗存。	3	...西是当时出土青铜器最多的地区。较新的发现是三官庙聚落遗址， 有房屋被烧毁后的红烧土堆积...
18	商颂	shāng sòng	text	《诗经》中保存商族祭祀与祖先记忆的一组诗。	7	...人创作的。《诗经》里有一组商人的史诗“商颂”， 在歌颂商汤功业的《长发》中， 出现了...
19	正考父	zhèng kǎo fǔ	person	春秋时期宋国贵族，传统记载中得到商颂。	2	...初并没有“商颂”， 是春秋初期的宋国贵族正考父从周朝掌管音乐的“太师”那里得到了“...
20	逸周书	yì zhōu shū	text	传世古书，保存若干周代相关材料。	2	...“自洛泗延于伊讷， 居阳无固， 其有夏之居（《逸周书•度邑解》）所以周朝在这里营建了洛邑...
