阅读词表
来源文件：intro/intro_clean.txt
检出条目数：79

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	人祭	rén jì	concept	以人作为祭品的祭祀行为。	72	为此， 须先从上古时代的人祭说起。
2	献祭	xiàn jì	concept	向神灵、祖先等奉献祭品。	28	人祭， 就是杀人向鬼神献祭。
3	殷商	yīn shāng	concept	商代后期以殷墟为中心的商王朝阶段。	18	...人祭风俗， 直到近百年现代考古学兴起， 发掘出殷商的大量人祭遗址及商王占卜献祭的甲骨刻辞...
4	甲骨刻辞	jiǎ gǔ kè cí	text	刻在甲骨上的文字记录。	1	...， 发掘出殷商的大量人祭遗址及商王占卜献祭的甲骨刻辞， 才进入现代人的视野中。至于这...
5	人牲	rén shēng	concept	被用于祭祀或献祭的人。	17	...就很少了。这方面的代表著作如黄展岳的《古代人牲人殉通论》， 介绍了殷墟三座多人祭祀坑，...
6	人殉	rén xùn	concept	以人随葬或陪葬的行为。	3	...少了。这方面的代表著作如黄展岳的《古代人牲人殉通论》， 介绍了殷墟三座多人祭祀坑， 认为...
7	殷墟	yīn xū	site_or_culture	晚商都邑遗址，甲骨卜辞的重要出土地。	13	...著作如黄展岳的《古代人牲人殉通论》， 介绍了殷墟三座多人祭祀坑， 认为它们都属于殷墟前期...
8	祭祀坑	jì sì kēng	concept	考古遗址中用于祭祀、掩埋祭品或尸骨的坑穴。	15	...的《古代人牲人殉通论》， 介绍了殷墟三座多人祭祀坑， 认为它们都属于殷墟前期。但查阅这三...
9	周公旦	zhōu gōng dàn	person	西周初年政治家，文中指其取缔人祭风俗。	2	...亡和周灭商有直接关系。在周武王死后， 辅政的周公旦取缔了商人的人祭风俗， 并消除了关于人...
10	殷都	yīn dū	site_or_culture	晚商都城，通常指安阳殷墟。	7	殷都宫殿区以东数百米的后冈， 是一个很密集的商人聚居区。
11	宫殿区	gōng diàn qū	concept	都邑中宫殿和王室活动集中的区域。	2	殷都宫殿区以东数百米的后冈， 是一个很密集的商人聚居区。
12	青铜礼器	qīng tóng lǐ qì	bronze_item	用于礼仪或祭祀的青铜器。	3	伴随出土的， 还有青铜礼器和兵器， 以及纺织物、粮食等。
13	郭沫若	guō mò ruò	person	现代学者，文中涉及其对后冈H10的判断。	4	...及纺织物、粮食等。时任中国科学院院长的郭沫若推测， 这是一处特殊的贵族墓葬， 墓主可...
14	王陵区	wáng líng qū	concept	王室墓葬和祭祀坑集中的区域。	3	...， 而是一座祭祀坑。在后冈圆坑之前， 殷墟王陵区和宫殿区已发掘上千座人祭坑， 但大都是...
15	铭文	míng wén	text	器物上铸刻或刻写的文字。	7	...年发掘第一层时， 根据出土铜器造型以及上面的铭文特征， 有学者判断它属于西周早期。[[f...
16	纣王	zhòu wáng	person	商末王，文中讨论其暴虐和人祭。	11	...和铭文——它属于殷商王朝谢幕前夕， 很可能是纣王时代的一次隆重献祭仪式。这座祭祀坑...
17	生土层	shēng tǔ céng	concept	未经人类扰动的天然土层。	1	...圆坑编号H10[5]， 从深灰色的生土层中挖出， 地表的坑口直径2.8米， 向下...
18	坑口	kēng kǒu	concept	坑穴开口处的形状和范围。	1	...n:5]]， 从深灰色的生土层中挖出， 地表的坑口直径2.8米， 向下稍有扩大， 底部直径2...
19	填土	tián tǔ	concept	填入坑穴或遗迹中的土层。	5	...部直径2.3米， 全深2.8米， 上面一半都是填土， 三层尸骨都在下半截， 分层清晰。可以说...
20	后冈H10	hòu gāng H10	site_or_culture	殷墟后冈圆形祭祀坑编号，文中复原其献祭过程。	7	...骨都在下半截， 分层清晰。可以说， 从一开始， 后冈H10圆坑就是为了隆重的献祭仪式建造的...
21	坑壁	kēng bì	concept	坑穴侧壁。	4	坑壁平整光滑， 坑底平坦坚硬， 应该被修整夯打过。
22	坑底	kēng dǐ	concept	坑穴底部。	5	坑壁平整光滑， 坑底平坦坚硬， 应该被修整夯打过。
23	鬲	lì	artifact	古代陶制或青铜炊器，常见袋状足。	3	黄土中有被掩埋的碎片， 是打碎了的几只陶制炊器和食器， 如鬲、簇、罐。
24	拦腰	lán yāo	rare_word	从腰部横截。	1	一名被斜向拦腰砍断， 只剩上半身和右侧骨盆。
25	蜷曲	quán qū	rare_word	身体弯曲缩成一团。	1	...， 牙齿很整齐。一名二十岁左右的青年男子侧身蜷曲， 朝上的右胯部有60枚海贝（商人用作钱...
26	胯部	kuà bù	concept	腰与大腿之间的部位。	3	...一名二十岁左右的青年男子侧身蜷曲， 朝上的右胯部有60枚海贝（商人用作钱币的货贝）[[...
27	海贝	hǎi bèi	artifact	贝壳，古代可作装饰、随葬品或货币。	9	...右的青年男子侧身蜷曲， 朝上的右胯部有60枚海贝（商人用作钱币的货贝）[6]...
28	货贝	huò bèi	artifact	作为货币使用的贝。	8	...， 朝上的右胯部有60枚海贝（商人用作钱币的货贝）[6], 可能是用线穿起的...
29	杀祭	shā jì	concept	通过杀人或杀牲举行的祭祀。	8	这些迹象表明， 杀祭先是在坑外进行， 然后再把人头和残碎的尸体扔进了坑内。
30	朱砂	zhū shā	rare_word	红色矿物颜料，古代常用于礼仪和葬俗。	8	...第一轮杀人结束后， 主祭者向坑内撒了一些朱砂（尸骨被局部染红）， 然后填土， 这次填的...
31	俯身	fǔ shēn	concept	身体向前伏下。	2	...颅9枚， 没有头的身躯1具。尸体呈各种姿态， 俯身、侧身、仰身、直身和蜷身的都有， 单独的...
32	蜷身	quán shēn	concept	身体蜷缩的姿势。	1	...。尸体呈各种姿态， 俯身、侧身、仰身、直身和蜷身的都有， 单独的人头贴着坑壁东南侧连续摆...
33	捆绑	kǔn bǎng	concept	用绳索等束缚身体。	3	...右， 发掘者推测， 这两人姿势过于规整， 应是被捆绑造成的。21号头部右侧有一枚骨笄， 自下...
34	骨笄	gǔ jī	artifact	骨制簪笄，用于束发。	1	...整， 应是被捆绑造成的。21号头部右侧有一枚骨笄， 自下而上插入， 显示头发盘在头的右侧，...
35	笄	jī	rare_word	古代束发用的簪子。	2	...， 应是被捆绑造成的。21号头部右侧有一枚骨笄， 自下而上插入， 显示头发盘在头的右侧， 可...
36	玉璜	yù huáng	artifact	半璧形玉器。	1	...侧， 可能是处死时发型被打乱了， 右手臂佩一枚玉璜， 手腕戴一枚穿绳的玉鱼， 看来比较富贵且...
37	璜	huáng	rare_word	半璧形玉器。	1	...， 可能是处死时发型被打乱了， 右手臂佩一枚玉璜， 手腕戴一枚穿绳的玉鱼， 看来比较富贵且重...
38	红烧土	hóng shāo tǔ	concept	经火烧后变红变硬的土，常见于考古遗迹。	2	...黄色土， 厚约三五十厘米， 混杂少量炭灰颗粒和红烧土颗粒， 说明地面上正在烧火， 可能是烧烤...
39	割喉	gē hóu	concept	割断喉部。	1	...两手掩面， 胸前有一串海贝，13枚， 可能是被割喉或重击头部致死；一名三十岁左右的男子上...
40	铜鼎	tóng dǐng	bronze_item	青铜鼎，古代炊煮或礼仪重器。	7	一名三十岁左右的男子上半身趴在一只铜鼎（戍嗣子鼎）上， 右手抓住鼎的口沿；
41	戍嗣子鼎	shù sì zǐ dǐng	bronze_item	后冈H10出土青铜鼎，铭文记载商王赏赐。	3	一名三十岁左右的男子上半身趴在一只铜鼎（戍嗣子鼎）上， 右手抓住鼎的口沿；
42	戍嗣子	shù sì zǐ	person	青铜器铭文所见族长或贵族名号。	17	一名三十岁左右的男子上半身趴在一只铜鼎（戍嗣子鼎）上， 右手抓住鼎的口沿；
43	铜斝	tóng jiǎ	bronze_item	青铜斝，古代三足酒器。	5	11号， 十六七岁， 少男， 双手掩面俯卧， 腰部压着一件铜斝；
44	肢解	zhī jiě	concept	将肢体切割分解。	2	8号， 不明性别年龄， 双手掩面， 身体被肢解。
45	铜爵	tóng jué	bronze_item	青铜爵，古代酒器。	2	...所有的青铜器都在这一层。礼器有铜鼎、铜斝、铜爵各一件， 兵器有铜戈两件、铜刀一件、铜镞...
46	铜戈	tóng gē	bronze_item	青铜戈，古代横刃长柄兵器。	1	...一层。礼器有铜鼎、铜斝、铜爵各一件， 兵器有铜戈两件、铜刀一件、铜镞一枚， 不知名的小铜...
47	铜刀	tóng dāo	bronze_item	青铜刀。	1	...有铜鼎、铜斝、铜爵各一件， 兵器有铜戈两件、铜刀一件、铜镞一枚， 不知名的小铜饰物一件。...
48	铜镞	tóng zú	bronze_item	青铜箭头。	1	...斝、铜爵各一件， 兵器有铜戈两件、铜刀一件、铜镞一枚， 不知名的小铜饰物一件。铜鼎上的铭...
49	下颌	xià hé	concept	下颌部位。	1	...， 所以这一层中有两人是仰面姿势， 其中15号下颌被砍落， 前额上有明显的刀砍痕迹， 应当是...
50	陶鬲	táo lì	artifact	陶制鬲，古代炊煮器。	2	身旁有一只陶鬲， 似乎是随葬品。
51	朋	péng	text	古代贝币单位，两系为一朋。	11	...这天， 商王在一座大宫殿里赏赐戍嗣子货贝二十朋， 为了纪念这荣宠， 戍嗣子铸了这件祭祀父亲...
52	父癸	fù guǐ	person	商代祭祀对象名，文中见于戍嗣子鼎铭。	1	用作父癸宝鼎。
53	族徽	zú huī	text	族群标识，常见于商周青铜器铭文。	2	...铭末“犬鱼”是由两个甲骨文象形字组成的族徽， 主人自称“戍嗣子”， 戍是他的名， 嗣子...
54	甲骨卜辞	jiǎ gǔ bǔ cí	text	刻写在龟甲兽骨上的占卜辞句。	5	...。“犬鱼”的族徽在商代铜器里不太多见， 甲骨卜辞里也没出现过， 说明该族不是很显赫，...
55	卜辞	bǔ cí	text	占卜时刻写或记录的辞句。	5	...“犬鱼”的族徽在商代铜器里不太多见， 甲骨卜辞里也没出现过， 说明该族不是很显赫， 被王...
56	王国维	wáng guó wéi	person	现代学者，文中引用《说珏朋》。	1	王国维《说珏朋》云：“古制贝玉皆五枚为一系， 二系一朋。
57	《合集》	hé jí	text	《甲骨文合集》的简称。	3	《合集》40073曰：“易（赐）贝二朋。
58	裘卫盆	qiú wèi pén	artifact	西周中期青铜器，铭文涉及贝币和土地交换。	1	[11] 按照1975年陕西出土的西周中期裘卫盆铭文记载：“矩白庶人取堇章于裘卫。
59	卯	mǎo	text	甲骨卜辞中一种剖开悬挂人牲或牲畜的祭祀方式。	3	比如，《合集》32093：“卯三羌二牛。
60	羌	qiāng	text	甲骨文中常见族称，商王祭祀常用羌人。	6	比如，《合集》32093：“卯三羌二牛。
61	克里特岛	kè lǐ tè dǎo	place	地中海岛屿，文中涉及古代人祭遗迹。	2	...比较清晰的现场。比如， 希腊考古学家在地中海克里特岛发掘出约3600年前的一座石砌神殿...
62	屈膝	qū xī	concept	弯曲膝部。	1	...岁的男性， 身高1.68米， 呈被捆绑的侧身、屈膝姿势， 一把青铜尖刀长约半米， 刀尖向上刺...
63	米诺斯	mǐ nuò sī	site_or_culture	克里特岛青铜时代文明。	1	...掩埋在了碎石之中。另外， 克里特岛的一座米诺斯文明晚期建筑出土有300多块人骨， 属...
64	玄奘	xuán zàng	person	唐代僧人，文中涉及其遭遇人祭险境。	3	...， 但它反映了中东地区的古老风习。唐代的玄奘法师在印度求法期间， 曾被乘船的土著俘获...
65	突伽天神	tū jiā tiān shén	text	玄奘传记中土著祭祀对象名。	2	...船的土著俘获， 土著每年秋天要捕捉一人杀祭“突伽天神”， 而玄奘是这次最合适的人选；不过...
66	阿兹特克	ā zī tè kè	site_or_culture	中美洲古代文明，文中讨论其人祭。	9	西班牙人殖民美洲时， 阿兹特克的人祭宗教正处在繁荣阶段。
