term	pinyin	chapter	viewer_page	physical_pdf_page	printed_page	context	evidence_file	dictionary_file	status	notes	sha256
鬯	chàng	chapter_13	271	269	257	酒（鬯）	chapter_13/ch13_p257_v271_鬯.jpg	../../chapter_13/reading_terms.csv	confirmed_manual_review	古代祭祀用香酒；截图保留括注中的印刷字形。	40a66170a9085afe832af27c9f11170331c5d15d55b3410df06f807711b549ed
跽	jì	chapter_13	274	272	260	跽坐	chapter_13/ch13_p260_v274_跽坐.jpg	../../chapter_13/reading_terms.csv	confirmed_manual_review	长跪或跽坐；截图同时保留“跽坐”二字以确认语境。	f5fc80f205b17a12d0ca5a31436689947761c33ff239a8dbb9139eee8db0d9ee
髳	máo	chapter_14	291	289	277	髳方	chapter_14/ch14_p277_v291_髳.jpg	../../chapter_14/reading_terms.csv	confirmed_manual_review	古代部族名；用于纠正网页/OCR中的近形误字。	95a9d8fedd8def3bff2faa4442b9dcd4a328e619fccbfae0c0716baf13a30185
琱	diāo	chapter_14	298	296	284	妘姓之琱	chapter_14/ch14_p284_v298_琱.jpg	../../chapter_14/reading_terms.csv	confirmed_manual_review	同“雕”，指雕刻；截图用于确认论文题名中的印刷字形。	4bf65e42fd3220463e062a66c8600c7381bfd28a0d0f8ad808f6c796b451a61b
仡	yì	chapter_14	299	297	285	崇墉仡仡	chapter_14/ch14_p285_v299_仡.jpg	../../chapter_14/reading_terms.csv	confirmed_manual_review	“仡仡”意为勇猛强健；截图为单字裁切，词义据完整引文确认。	f6436626dea001e427913b3362f219f3137977a273d4a3a256f091fce2d34211
姞	jí	chapter_15	304	302	290	姞姓	chapter_15/ch15_p290_v304_姞姓.jpg	../../chapter_15/reading_terms.csv	confirmed_manual_review	古姓氏用字；截图保留“姞姓”二字以确认语境。	1b2b91b2fa20a4e3d607e661e0f66227a973e967dc03abfb61634708d0d211f2
喾	kù	chapter_15	318	316	304	帝俊（喾）生后稷	chapter_15/ch15_p304_v318_喾.jpg	../../chapter_15/reading_terms.csv	confirmed_manual_review	帝喾人名用字；截图用于确认印刷字形。	3a91d902ada82da929f7645aa283df4031545997844c4b6bda5db502bcc5dc26
儇	xuān	chapter_16	338	336	324	姞、儇、依是也	chapter_16/ch16_p324_v338_儇.jpg	../../chapter_16/reading_terms.csv	confirmed_manual_review	古姓氏用字；截图用于确认《国语》引文中的印刷字形。	ecf7b8e89868eb74607de7e4daca59c9b523b71866544286cf40060c2e2c88fa
缵	zuǎn	chapter_17	342	340	328	缵女维莘	chapter_17/ch17_p328_v342_缵.jpg	../../chapter_17/reading_terms.csv	confirmed_manual_review	承接并继续；截图用于确认《诗经·大明》引文中的印刷字形。	070b2e9c3fc0c91346d1ecf575d458c041c84425e74e243facd41c8302e890e3
奭	shì	chapter_17	342	340	328	召公奭	chapter_17/ch17_p328_v342_奭.jpg	../../chapter_17/reading_terms.csv	confirmed_manual_review	召公名；截图用于确认原书印刷字形并纠正OCR近形误字。	e32ce5630c21cf080e134514a13655300391894c9051cca8b8686461cc8d937d
羝	dī	chapter_18	358	356	344	羝羊触藩	chapter_18/ch18_p344_v358_羝.jpg	../../chapter_18/reading_terms.csv	confirmed_manual_review	公羊；截图用于确认《大壮》爻辞中的印刷字形。	c594cc5462623057b4bfd36c739dfc342639d19d0db04599e20dfbd1a3afcda1
屮	chè	chapter_18	362	360	348	屮（又）二日	chapter_18/ch18_p348_v362_屮.jpg	../../chapter_18/reading_terms.csv	confirmed_manual_review	草木初生的象形字；截图用于保留甲骨释文中的印刷字形。	62aed9e32f308c5984454327012f8295dcde61b66345b88826fcbde93c2e253d
邅	zhān	chapter_18	363	361	349	屯如、邅如	chapter_18/ch18_p349_v363_邅.jpg	../../chapter_18/reading_terms.csv	confirmed_manual_review	行走艰难、徘徊不前；截图用于纠正OCR近形误字。	470d80560138130b10a81fc2dc1164d1efbe7c4d0f4b32cd3704d42b70f19dfd
斿	yóu	chapter_18	365	363	351	斿尔	chapter_18/ch18_p351_v365_斿.jpg	../../chapter_18/reading_terms.csv	confirmed_manual_review	此处作地名用字；截图用于确认字形，表示旗带时亦可读 liú。	432dfe9b1464bebb728f2318921b6884f99a753d3cfef0cd9c3db2c5cdd93b60
