number	name	pinyin	upper_trigram	lower_trigram	display_note	unicode_hexagram
1	乾	qián	乾☰	乾☰	☰/☰	䷀
2	坤	kūn	坤☷	坤☷	☷/☷	䷁
3	屯	zhūn	坎☵	震☳	☵/☳	䷂
4	蒙	méng	艮☶	坎☵	☶/☵	䷃
5	需	xū	坎☵	乾☰	☵/☰	䷄
6	讼	sòng	乾☰	坎☵	☰/☵	䷅
7	师	shī	坤☷	坎☵	☷/☵	䷆
8	比	bǐ	坎☵	坤☷	☵/☷	䷇
9	小畜	xiǎo xù	巽☴	乾☰	☴/☰	䷈
10	履	lǚ	乾☰	兑☱	☰/☱	䷉
11	泰	tài	坤☷	乾☰	☷/☰	䷊
12	否	pǐ	乾☰	坤☷	☰/☷	䷋
13	同人	tóng rén	乾☰	离☲	☰/☲	䷌
14	大有	dà yǒu	离☲	乾☰	☲/☰	䷍
15	谦	qiān	坤☷	艮☶	☷/☶	䷎
16	豫	yù	震☳	坤☷	☳/☷	䷏
17	随	suí	兑☱	震☳	☱/☳	䷐
18	蛊	gǔ	艮☶	巽☴	☶/☴	䷑
19	临	lín	坤☷	兑☱	☷/☱	䷒
20	观	guān	巽☴	坤☷	☴/☷	䷓
21	噬嗑	shì kè	离☲	震☳	☲/☳	䷔
22	贲	bì	艮☶	离☲	☶/☲	䷕
23	剥	bō	艮☶	坤☷	☶/☷	䷖
24	复	fù	坤☷	震☳	☷/☳	䷗
25	无妄	wú wàng	乾☰	震☳	☰/☳	䷘
26	大畜	dà xù	艮☶	乾☰	☶/☰	䷙
27	颐	yí	艮☶	震☳	☶/☳	䷚
28	大过	dà guò	兑☱	巽☴	☱/☴	䷛
29	坎	kǎn	坎☵	坎☵	☵/☵	䷜
30	离	lí	离☲	离☲	☲/☲	䷝
31	咸	xián	兑☱	艮☶	☱/☶	䷞
32	恒	héng	震☳	巽☴	☳/☴	䷟
33	遁	dùn	乾☰	艮☶	☰/☶	䷠
34	大壮	dà zhuàng	震☳	乾☰	☳/☰	䷡
35	晋	jìn	离☲	坤☷	☲/☷	䷢
36	明夷	míng yí	坤☷	离☲	☷/☲	䷣
37	家人	jiā rén	巽☴	离☲	☴/☲	䷤
38	睽	kuí	离☲	兑☱	☲/☱	䷥
39	蹇	jiǎn	坎☵	艮☶	☵/☶	䷦
40	解	xiè	震☳	坎☵	☳/☵	䷧
41	损	sǔn	艮☶	兑☱	☶/☱	䷨
42	益	yì	巽☴	震☳	☴/☳	䷩
43	夬	guài	兑☱	乾☰	☱/☰	䷪
44	姤	gòu	乾☰	巽☴	☰/☴	䷫
45	萃	cuì	兑☱	坤☷	☱/☷	䷬
46	升	shēng	坤☷	巽☴	☷/☴	䷭
47	困	kùn	兑☱	坎☵	☱/☵	䷮
48	井	jǐng	坎☵	巽☴	☵/☴	䷯
49	革	gé	兑☱	离☲	☱/☲	䷰
50	鼎	dǐng	离☲	巽☴	☲/☴	䷱
51	震	zhèn	震☳	震☳	☳/☳	䷲
52	艮	gèn	艮☶	艮☶	☶/☶	䷳
53	渐	jiàn	巽☴	艮☶	☴/☶	䷴
54	归妹	guī mèi	震☳	兑☱	☳/☱	䷵
55	丰	fēng	震☳	离☲	☳/☲	䷶
56	旅	lǚ	离☲	艮☶	☲/☶	䷷
57	巽	xùn	巽☴	巽☴	☴/☴	䷸
58	兑	duì	兑☱	兑☱	☱/☱	䷹
59	涣	huàn	巽☴	坎☵	☴/☵	䷺
60	节	jié	坎☵	兑☱	☵/☱	䷻
61	中孚	zhōng fú	巽☴	兑☱	☴/☱	䷼
62	小过	xiǎo guò	震☳	艮☶	☳/☶	䷽
63	既济	jì jì	坎☵	离☲	☵/☲	䷾
64	未济	wèi jì	离☲	坎☵	☲/☵	䷿
