sequence,section,title,slug,source_url,status
1,道经,第一章,chapter_01,https://www.guwendao.net/guwen/bookv_63ba586b03e1.aspx,downloaded
2,道经,第二章,chapter_02,https://www.guwendao.net/guwen/bookv_1b6bf917f516.aspx,downloaded
3,道经,第三章,chapter_03,https://www.guwendao.net/guwen/bookv_707abe280c97.aspx,downloaded
4,道经,第四章,chapter_04,https://www.guwendao.net/guwen/bookv_efa351ddc1c3.aspx,downloaded
5,道经,第五章,chapter_05,https://www.guwendao.net/guwen/bookv_2eb38f157c06.aspx,downloaded
6,道经,第六章,chapter_06,https://www.guwendao.net/guwen/bookv_cf224778b5bd.aspx,downloaded
7,道经,第七章,chapter_07,https://www.guwendao.net/guwen/bookv_4b01871e420d.aspx,downloaded
8,道经,第八章,chapter_08,https://www.guwendao.net/guwen/bookv_01bcd8413ca9.aspx,downloaded
9,道经,第九章,chapter_09,https://www.guwendao.net/guwen/bookv_e1902fa4008b.aspx,downloaded
10,道经,第十章,chapter_10,https://www.guwendao.net/guwen/bookv_b657c458f63d.aspx,downloaded
