term,pinyin,annotation
邑,yì,县、地方。
行七,háng qī,排行第七。
故家子,gù jiā zǐ,旧时世家子弟。
慕道,mù dào,仰慕道术或道家修行。
劳山,láo shān,即崂山，山东名山；古籍中常写作“劳山”。
负笈,fù jí,背着书箱；指外出求学。
观宇,guàn yǔ,道观建筑。
蒲团,pú tuán,僧道打坐用的圆垫。
素发,sù fà,白发。
神观,shén guān,神态、仪表。
爽迈,shuǎng mài,爽朗超逸。
叩,kòu,询问、拜见。
玄妙,xuán miào,深奥微妙。
请师之,qǐng shī zhī,请求拜他为师。
娇惰,jiāo duò,娇气懒惰。
薄暮,bó mù,傍晚。
稽首,qǐ shǒu,古代跪拜礼。
凌晨,líng chén,天快亮时。
采樵,cǎi qiáo,砍柴。
重茧,chóng jiǎn,厚茧；形容手脚磨损。
阴,yīn,暗中、私下。
归志,guī zhì,回家的念头。
共酌,gòng zhuó,一起饮酒。
翦,jiǎn,同“剪”。
俄顷,é qǐng,一会儿。
光鉴毫芒,guāng jiàn háo máng,光亮到细小毫毛都能照见。
良宵,liáng xiāo,美好的夜晚。
分赉,fēn lài,分赏、赐予。
盎盂,àng yú,盛酒食的器皿。
釂,jiào,饮尽杯中酒。
樽,zūn,酒器。
挹注,yì zhù,舀取倾注。
嫦娥,cháng é,月宫仙女。
箸,zhù,筷子。
盈尺,yíng chǐ,满一尺。
纤腰,xiān yāo,细腰。
秀项,xiù xiàng,秀美的颈项。
翩翩,piān piān,轻快飘逸的样子。
霓裳,ní cháng,《霓裳羽衣舞》的省称。
清越,qīng yuè,声音清脆高扬。
箫管,xiāo guǎn,箫笛一类乐器。
盘旋,pán xuán,回旋。
不胜酒力,bù shèng jiǔ lì,承受不住酒力。
饯,jiàn,设酒食送行。
须眉,xū méi,胡须和眉毛。
移时,yí shí,过了一段时间。
杳,yǎo,不见踪影。
肴核,yáo hé,菜肴和果品。
樵苏,qiáo sū,砍柴割草；泛指劳作。
忻慕,xīn mù,喜悦羡慕。
归念,guī niàn,回家的念头。
受业,shòu yè,从师学习。
传习,chuán xí,传授学习。
谙,ān,熟悉、知道。
遣,qiǎn,打发、送走。
诀,jué,口诀、法诀。
咒,zhòu,念咒语。
从容,cóng róng,不慌不忙。
俯首,fǔ shǒu,低头。
骤入,zhòu rù,快速进入。
逡巡,qūn xún,迟疑徘徊。
洁持,jié chí,保持清白操守。
资斧,zī fǔ,旅费、盘缠。
自诩,zì xǔ,自夸。
坚壁,jiān bì,坚固的墙壁。
蓦然,mò rán,忽然。
踣,bó,跌倒。
坟起,fén qǐ,隆起、肿起。
揶揄,yé yú,嘲笑、戏弄。
惭忿,cán fèn,惭愧而愤怒。
异史氏,yì shǐ shì,蒲松龄在《聊斋志异》中的自称。
伧父,cāng fǔ,粗鄙之人。
疢毒,chèn dú,病害毒物；比喻有害之物。
药石,yào shí,药物和砭石；泛指治病之物。
舐痈吮痔,shì yōng shǔn zhì,比喻卑劣逢迎。
宣威逞暴,xuān wēi chěng bào,炫耀威势、逞弄暴力。
诒,yí,欺骗；也作“贻”。
无碍,wú ài,没有阻碍。
小效,xiǎo xiào,小的效果。
颠蹶,diān jué,跌倒；也比喻失败受挫。
