阅读词表
来源文件：/Users/ruixingshi/Python/automate_study_hub3e22/practice/liaozhai_stories/laoshan_daoshi/laoshan_daoshi.txt
检出条目数：80

序号	字/词	拼音	简注	出现次数	原文词例
1	邑	yì	县、地方。	1	邑有王生，行七，故家子。
2	行七	háng qī	排行第七。	1	邑有王生，行七，故家子。
3	故家子	gù jiā zǐ	旧时世家子弟。	1	邑有王生，行七，故家子。
4	慕道	mù dào	仰慕道术或道家修行。	1	少慕道，闻劳山多仙人，负笈往游。
5	劳山	láo shān	即崂山，山东名山；古籍中常写作“劳山”。	1	少慕道，闻劳山多仙人，负笈往游。
6	负笈	fù jí	背着书箱；指外出求学。	1	少慕道，闻劳山多仙人，负笈往游。
7	观宇	guàn yǔ	道观建筑。	1	登一顶，有观宇，甚幽。
8	蒲团	pú tuán	僧道打坐用的圆垫。	1	一道士坐蒲团上，素发垂领，而神观爽迈。
9	素发	sù fà	白发。	1	一道士坐蒲团上，素发垂领，而神观爽迈。
10	神观	shén guān	神态、仪表。	1	一道士坐蒲团上，素发垂领，而神观爽迈。
11	爽迈	shuǎng mài	爽朗超逸。	1	一道士坐蒲团上，素发垂领，而神观爽迈。
12	叩	kòu	询问、拜见。	1	叩而与语，理甚玄妙。
13	玄妙	xuán miào	深奥微妙。	1	叩而与语，理甚玄妙。
14	请师之	qǐng shī zhī	请求拜他为师。	1	请师之。
15	娇惰	jiāo duò	娇气懒惰。	1	道士曰：“恐娇惰不能作苦。
16	薄暮	bó mù	傍晚。	1	”其门人甚众，薄暮毕集。
17	稽首	qǐ shǒu	古代跪拜礼。	1	王俱与稽首，遂留观中。
18	凌晨	líng chén	天快亮时。	1	凌晨，道士呼王去，授以斧，使随众采樵。
19	采樵	cǎi qiáo	砍柴。	1	凌晨，道士呼王去，授以斧，使随众采樵。
20	重茧	chóng jiǎn	厚茧；形容手脚磨损。	1	过月馀，手足重茧，不堪其苦，阴有归志。
21	阴	yīn	暗中、私下。	1	过月馀，手足重茧，不堪其苦，阴有归志。
22	归志	guī zhì	回家的念头。	1	过月馀，手足重茧，不堪其苦，阴有归志。
