阅读词表
来源文件：/Users/ruixingshi/Python/automate_study_hub3e22/practice/liaozhai_stories/lupan/lupan.txt
检出条目数：46

序号	字/词	拼音	简注	出现次数	原文词例
1	陵阳	líng yáng	地名；文中为朱尔旦籍贯。	3	陵阳朱尔旦，字小明。
2	笃	dǔ	专一、厚实；文中指学习用功。	1	性豪放，然素钝，学虽笃，尚未知名。
3	社	shè	旧时文人结社、聚会。	2	……，然素钝，学虽笃，尚未知名。一日，文社众饮，或戏之云：“君有豪名，能深夜……
4	醵	jù	众人凑钱；常指凑钱饮酒。	1	……能深夜赴十王殿，负得左廊判官来，众当醵作筵。”盖陵阳有十王殿，神鬼皆以木……
5	筵	yán	酒席、宴席。	1	……夜赴十王殿，负得左廊判官来，众当醵作筵。”盖陵阳有十王殿，神鬼皆以木雕，……
6	庑	wǔ	堂下周围的廊屋、厢房。	1	东庑有立判，绿面赤须，貌尤狞恶。
7	髯	rán	两腮的胡子，也泛指大胡子。	3	居无何，门外大呼曰：“我请髯宗师至矣！
8	觞	shāng	古代酒杯；也指敬酒、饮酒。	1	俄负判入，置几上，奉觞酹之三。
9	酹	lèi	把酒洒在地上祭奠。	1	俄负判入，置几上，奉觞酹之三。
10	畛畦	zhěn qí	田间界限；引申为隔阂、成见。	1	荒舍匪遥，合乘兴来觅饮，幸勿为畛畦。
11	搴	qiān	揭起、掀开。	1	忽有人搴帘入，视之，则判官也。
12	殆	dài	大概、恐怕；也有危险之义。	1	朱起曰：“意吾殆将死矣！
13	斧锧	fǔ zhì	古代刑具；借指斩刑。	1	前夕冒渎，今来加斧锧耶？
14	锧	zhì	古代斩人的刑具，常与斧连用。	1	前夕冒渎，今来加斧锧耶？
15	践	jiàn	踩踏；也有履行之义。	1	昨蒙高义相订，夜偶暇，敬践达人之约。
16	爇	ruò	点燃、焚烧。	1	”朱大悦，牵衣促坐，自起涤器爇火。
17	妍媸	yán chī	美与丑。	1	”曰：“妍媸亦颇辨之。
18	妍	yán	美丽。	2	”曰：“妍媸亦颇辨之。
19	媸	chī	丑。	2	”曰：“妍媸亦颇辨之。
20	觥	gōng	古代酒器；也泛指大酒杯。	1	”陆豪饮，一举十觥。
21	醺	xūn	酒醉的样子。	2	朱因竟日饮，遂不觉玉山倾颓，伏几醺睡。
22	夙	sù	早；一向、平素。	1	愕曰：“夙无仇怨，何以见杀？
23	扉	fēi	门扇。	3	”乃起，掩扉去。
24	揶揄	yé yú	嘲笑、戏弄。	1	同社生素揶揄之，及见闱墨，相视而惊，细询始知其异。
25	湔	jiān	洗；文中可理解为清洗、整治。	1	既醺，朱曰：“湔肠伐胃，受赐已多。
26	伐胃	fá wèi	文中与“湔肠”连用，形容改造内里。	1	既醺，朱曰：“湔肠伐胃，受赐已多。
27	诘	jié	责问、追问。	3	诘之，曰：“君曩所嘱，向艰物色。
28	曩	nǎng	从前、过去。	1	诘之，曰：“君曩所嘱，向艰物色。
29	扃	jiōng	门闩；也指关门。	1	朱虑门户夜扃，陆至，一手推扉，扉自辟。
30	辟	pì	打开；如“扉自辟”。另读 bì 时多指君主、征召等。	1	朱虑门户夜扃，陆至，一手推扉，扉自辟。
31	瘗	yì	埋葬。	1	已而移枕塞肩际，命朱瘗首静所，乃去。
32	靥	yè	酒窝；也指面颊上的笑纹。	1	因反复细视，则长眉掩鬓，笑靥承颧，画中人也。
33	醮	jiào	古代婚礼；女子出嫁。	1	先是，吴侍御有女甚美，未嫁而丧二夫，故十九犹未醮也。
34	收	shōu	逮捕、拘押；文言中常见此义。	1	收家人鞫之，一如朱言，郡守不能决。
35	鞫	jū	审问、审讯。	1	收家人鞫之，一如朱言，郡守不能决。
36	诣	yì	到、前往，常指到某处拜访。	1	吴乃诣朱，请见夫人，由此为翁婿。
37	棺椁	guān guǒ	棺材及外棺。	1	即治衣衾棺椁，既竟，盛服而没。
38	椁	guǒ	套在棺材外面的大棺。	1	即治衣衾棺椁，既竟，盛服而没。
39	扶柩	fú jiù	护送灵柩。	1	翌日，夫人方扶柩哭，朱忽冉冉自外至。
40	柩	jiù	装着尸体的棺材；灵柩。	1	翌日，夫人方扶柩哭，朱忽冉冉自外至。
41	酒馔	jiǔ zhuàn	酒食。	1	”夫人欲再语，朱曰：“陆公与我同来，可设酒馔。
42	馔	zhuàn	饭食、酒食。	1	”夫人欲再语，朱曰：“陆公与我同来，可设酒馔。
43	缱绻	qiǎn quǎn	情意缠绵，难舍难分。	1	自是三数日辄一来，时而留宿缱绻，家中事就便经纪。
44	卤簿	lǔ bù	古代帝王或官员出行的仪仗。	1	奉命祭西岳，道经华阴，忽有舆从羽葆，驰冲卤簿。
45	镌	juān	雕刻。	1	抽刀视之，制极精工，镌字一行，曰：“胆欲大而心欲小，智欲圆而行欲方。
46	沕	wù	古字；有潜藏、隐没义；文中作人名用字。	1	玮后官至司马，生五子，曰沉，曰潜，曰沕，曰浑，曰深。
