term,pinyin,annotation
陵阳,líng yáng,地名；文中为朱尔旦籍贯。
笃,dǔ,专一、厚实；文中指学习用功。
社,shè,旧时文人结社、聚会。
醵,jù,众人凑钱；常指凑钱饮酒。
筵,yán,酒席、宴席。
冥府,míng fǔ,阴间、地府。
庑,wǔ,堂下周围的廊屋、厢房。
髯,rán,两腮的胡子，也泛指大胡子。
殿陛,diàn bì,殿前台阶。
践,jiàn,踩踏；也有履行之义。
迸,bèng,向外溅出、突然散出。
造次,zào cì,匆忙、鲁莽；也可指轻率。
觞,shāng,古代酒杯；也指敬酒、饮酒。
酹,lèi,把酒洒在地上祭奠。
曳,yè,拖、拉。
畛畦,zhěn qí,田间界限；引申为隔阂、成见。
肴核,yáo hé,菜肴和果品。
醺,xūn,酒醉的样子。
搴,qiān,揭起、掀开。
悬,xuán,挂、吊；文言中也常指高悬。
垂毙,chuí bì,将要死亡。
殆,dài,大概、恐怕；也有危险之义。
锧,zhì,古代斩人的刑具，常与斧连用。
斧锧,fǔ zhì,古代刑具；借指斩刑。
爇,ruò,点燃、焚烧。
絮,xù,棉絮；也可指絮叨。
妍,yán,美丽。
媸,chī,丑。
妍媸,yán chī,美与丑。
觥,gōng,古代酒器；也泛指大酒杯。
揶揄,yé yú,嘲笑、戏弄。
湔,jiān,洗；文中可理解为清洗、整治。
伐胃,fá wèi,文中与“湔肠”连用，形容改造内里。
曩,nǎng,从前、过去。
扃,jiōng,门闩；也指关门。
瘗,yì,埋葬。
靥,yè,酒窝；也指面颊上的笑纹。
醮,jiào,古代婚礼；女子出嫁。
鞫,jū,审问、审讯。
收,shōu,逮捕、拘押；文言中常见此义。
惕,tì,警惕、害怕。
椁,guǒ,套在棺材外面的大棺。
柩,jiù,装着尸体的棺材；灵柩。
棺椁,guān guǒ,棺材及外棺。
扶柩,fú jiù,护送灵柩。
馈,kuì,赠送；文中常指馈赠食物。
馔,zhuàn,饭食、酒食。
酒馔,jiǔ zhuàn,酒食。
缱绻,qiǎn quǎn,情意缠绵，难舍难分。
肘,zhǒu,胳膊肘；文言中也常见“掣肘”。
掖,yè,扶持、搀扶；也指腋下。
睨,nì,斜着眼看。
绶,shòu,系官印或勋章的丝带；借指官职。
卤簿,lǔ bù,古代帝王或官员出行的仪仗。
镌,juān,雕刻。
沕,wù,古字；有潜藏、隐没义；文中作人名用字。
辟,pì,打开；如“扉自辟”。另读 bì 时多指君主、征召等。
扉,fēi,门扇。
踵,zhǒng,脚后跟；也有接连而来之义。
啖,dàn,吃；给人吃。
矢,shǐ,箭；也可指发誓。
夙,sù,早；一向、平素。
恚,huì,怨恨、愤怒。
遽,jù,急忙、突然。
讫,qì,完毕、结束。
诣,yì,到、前往，常指到某处拜访。
诘,jié,责问、追问。
嗣,sì,继承；子嗣。
殓,liàn,给死者穿衣入棺。
