生字表
来源文件：lupan.txt
检出条目数：46

序号	字/词	拼音	简注	出现次数	原文词例
1	陵阳	líng yáng	地名；文中为朱尔旦籍贯。	3	陵阳朱尔旦,字小明。性豪放,然素钝,学虽……
2	笃	dǔ	专一、厚实；文中指学习用功。	1	……朱尔旦,字小明。性豪放,然素钝,学虽笃,尚未知名。一日,文社众饮,或戏之云……
3	社	shè	旧时文人结社、聚会。	2	……,然素钝,学虽笃,尚未知名。一日,文社众饮,或戏之云:“君有豪名,能深夜赴……
4	醵	jù	众人凑钱；常指凑钱饮酒。	1	……能深夜赴十王殿,负得左廊判官来,众当醵作筵。”盖陵阳有十王殿,神鬼皆以木雕……
5	筵	yán	酒席、宴席。	1	……夜赴十王殿,负得左廊判官来,众当醵作筵。”盖陵阳有十王殿,神鬼皆以木雕,妆……
6	庑	wǔ	堂下周围的廊屋、厢房。	1	……有十王殿,神鬼皆以木雕,妆饰如生。东庑有立判,绿面赤须,貌尤狞恶。或夜闻两……
7	髯	rán	两腮的胡子，也泛指大胡子。	3	……起,径去。居无何,门外大呼曰:“我请髯宗师至矣!”众皆起。俄负判入,置几上……
8	觞	shāng	古代酒杯；也指敬酒、饮酒。	1	……至矣!”众皆起。俄负判入,置几上,奉觞酹之三。众睹之,瑟缩不安于座,仍请负……
9	酹	lèi	把酒洒在地上祭奠。	1	……矣!”众皆起。俄负判入,置几上,奉觞酹之三。众睹之,瑟缩不安于座,仍请负去……
10	畛畦	zhěn qí	田间界限；引申为隔阂、成见。	1	……为怪。荒舍匪遥,合乘兴来觅饮,幸勿为畛畦。”乃负之去。次日,众果招饮。抵暮……
11	搴	qiān	揭起、掀开。	1	……,半醉而归,兴未阑,挑灯独酌。忽有人搴帘入,视之,则判官也。朱起曰:“意吾……
12	殆	dài	大概、恐怕；也有危险之义。	1	……帘入,视之,则判官也。朱起曰:“意吾殆将死矣!前夕冒渎,今来加斧锧耶?”判……
13	斧锧	fǔ zhì	古代刑具；借指斩刑。	1	……曰:“意吾殆将死矣!前夕冒渎,今来加斧锧耶?”判启浓髯微笑曰:“非也。昨蒙高……
14	锧	zhì	古代斩人的刑具，常与斧连用。	1	……:“意吾殆将死矣!前夕冒渎,今来加斧锧耶?”判启浓髯微笑曰:“非也。昨蒙高……
15	践	jiàn	踩踏；也有履行之义。	1	……曰:“非也。昨蒙高义相订,夜偶暇,敬践达人之约。”朱大悦,牵衣促坐,自起涤……
16	爇	ruò	点燃、焚烧。	1	……人之约。”朱大悦,牵衣促坐,自起涤器爇火。判曰:“天道温和,可以冷饮。”朱……
17	妍	yán	美丽。	2	……,应答如响。问:“知制艺否?”曰:“妍媸亦颇辨之。阴司诵读,与阳世略同。”……
18	妍媸	yán chī	美与丑。	1	……,应答如响。问:“知制艺否?”曰:“妍媸亦颇辨之。阴司诵读,与阳世略同。”陆……
19	媸	chī	丑。	2	……应答如响。问:“知制艺否?”曰:“妍媸亦颇辨之。阴司诵读,与阳世略同。”陆……
20	觥	gōng	古代酒器；也泛指大酒杯。	1	……司诵读,与阳世略同。”陆豪饮,一举十觥。朱因竟日饮,遂不觉玉山倾颓,伏几醺……
21	醺	xūn	酒醉的样子。	2	……觥。朱因竟日饮,遂不觉玉山倾颓,伏几醺睡。比醒,则残烛昏黄,鬼客已去。自……
22	夙	sù	早；一向、平素。	1	……床前,破腔出肠胃,条条整理。愕曰:“夙无仇怨,何以见杀?”陆笑曰:“勿惧,……
23	扉	fēi	门扇。	3	……,为君易之,留此以补阙数。”乃起,掩扉去。天明解视,则创缝已合,有[绞丝旁……
24	揶揄	yé yú	嘲笑、戏弄。	1	……几,科试冠军,秋闱果中经元。同社生素揶揄之,及见闱墨,相视而惊,细询始知其异……
25	湔	jiān	洗；文中可理解为清洗、整治。	1	……引去。朱乃携陆归饮。既醺,朱曰:“湔肠伐胃,受赐已多。尚有一事欲相烦,不……
26	伐胃	fá wèi	文中与“湔肠”连用，形容改造内里。	1	……。朱乃携陆归饮。既醺,朱曰:“湔肠伐胃,受赐已多。尚有一事欲相烦,不知可否……
27	诘	jié	责问、追问。	3	……叩关。朱急起延入,烛之,见襟裹一物。诘之,曰:“君曩所嘱,向艰物色。适得一……
28	曩	nǎng	从前、过去。	1	……入,烛之,见襟裹一物。诘之,曰:“君曩所嘱,向艰物色。适得一美人首,敬报君……
29	扃	jiōng	门闩；也指关门。	1	……湿。陆立促急入,勿惊禽犬。朱虑门户夜扃,陆至,一手推扉,扉自辟。引至卧室,……
30	辟	pì	打开；如“扉自辟”。另读 bì 时多指君主、征召等。	1	……。朱虑门户夜扃,陆至,一手推扉,扉自辟。引至卧室,见夫人侧身眠。陆以头授朱……
31	瘗	yì	埋葬。	1	……端正,而后按捺。已而移枕塞肩际,命朱瘗首静所,乃去。朱妻醒,觉颈间微麻,面……
32	靥	yè	酒窝；也指面颊上的笑纹。	1	……朱入告之。因反复细视,则长眉掩鬓,笑靥承颧,画中人也。解领验之,有红线一周……
33	醮	jiào	古代婚礼；女子出嫁。	1	……御有女甚美,未嫁而丧二夫,故十九犹未醮也。上元游十王殿。时游人甚杂,内有无……
34	收	shōu	逮捕、拘押；文言中常见此义。	1	……。谓仆杀之,则冤也。”吴不信,讼之。收家人鞫之,一如朱言,郡守不能决。朱归……
35	鞫	jū	审问、审讯。	1	……杀之,则冤也。”吴不信,讼之。收家人鞫之,一如朱言,郡守不能决。朱归,求计……
36	诣	yì	到、前往，常指到某处拜访。	1	……果有杨大年,执而械之,遂伏其罪。吴乃诣朱,请见夫人,由此为翁婿。乃以朱妻首……
37	棺椁	guān guǒ	棺材及外棺。	1	……为乐,死之为悲?”朱以为然。即治衣衾棺椁,既竟,盛服而没。翌日,夫人方扶柩哭……
38	椁	guǒ	套在棺材外面的大棺。	1	……乐,死之为悲?”朱以为然。即治衣衾棺椁,既竟,盛服而没。翌日,夫人方扶柩哭……
39	扶柩	fú jiù	护送灵柩。	1	……衾棺椁,既竟,盛服而没。翌日,夫人方扶柩哭,朱忽冉冉自外至。夫人惧,朱曰:“……
40	柩	jiù	装着尸体的棺材；灵柩。	1	……棺椁,既竟,盛服而没。翌日,夫人方扶柩哭,朱忽冉冉自外至。夫人惧,朱曰:“……
41	酒馔	jiǔ zhuàn	酒食。	1	……人欲再语,朱曰:“陆公与我同来,可设酒馔。”趋而出。夫人依言营备,但闻室中笑……
42	馔	zhuàn	饭食、酒食。	1	……欲再语,朱曰:“陆公与我同来,可设酒馔。”趋而出。夫人依言营备,但闻室中笑……
43	缱绻	qiǎn quǎn	情意缠绵，难舍难分。	1	……窅然已逝。自是三数日辄一来,时而留宿缱绻,家中事就便经纪。子玮方五岁,来辄捉……
44	卤簿	lǔ bù	古代帝王或官员出行的仪仗。	1	……祭西岳,道经华阴,忽有舆从羽葆,驰冲卤簿。讶之,审视车中人,其父也,下马哭伏……
45	镌	juān	雕刻。	1	……不见。痛恨良久。抽刀视之,制极精工,镌字一行,曰:“胆欲大而心欲小,智欲圆……
46	沕	wù	古字；有潜藏、隐没义；文中作人名用字。	1	……玮后官至司马,生五子,曰沉,曰潜,曰沕,曰浑,曰深。一夕,梦父曰:“佩刀宜……
