term,pinyin,annotation
莒,jǔ,古地名；文中指莒州。
入泮,rù pàn,旧时称童生考中秀才。
求凰,qiú huáng,比喻男子求偶或求婚。
上元,shàng yuán,元宵节。
眺瞩,tiào zhǔ,远望、观赏。
遨,áo,游玩、漫游。
婢,bì,婢女、丫鬟。
撚,niǎn,同“捻”，用手指搓捏。
可掬,kě jū,可以用手捧取；形容笑容满面。
数武,shù wǔ,几步；武，半步或一步。
怅然,chàng rán,失意、惆怅的样子。
怏怏,yàng yàng,不高兴、郁郁不乐。
醮禳,jiào ráng,设坛祈祷、祛灾求福。
锐减,ruì jiǎn,急剧减少。
诘,jié,追问、责问。
痊瘳,quán chōu,病愈。
解颐,jiě yí,开颜而笑。
物色,wù sè,访求、寻找。
绐,dài,欺骗。
谐,xié,成就、成功；文中指婚事可成。
诡,guǐ,欺瞒、假托。
馀,yú,同“余”，多、剩余。
柬,jiǎn,书信、名帖。
恚,huì,怨恨、恼怒。
悒悒,yì yì,忧郁不乐。
商搉,shāng què,商量、斟酌。
迄,qì,至、到；终究。
合沓,hé tà,重叠聚合的样子。
里落,lǐ luò,村落。
格磔,gé zhé,鸟鸣声。
遽,jù,急忙、仓促。
伫,zhù,久立。
俛首,fǔ shǒu,低头；“俛”通“俯”。
日昃,rì zè,太阳偏西。
媪,ǎo,老妇人。
聋聩,lóng kuì,耳聋；也可比喻昏聩。
啖,dàn,吃；给人吃。
粗粝,cū lì,粗糙的饭食。
腹馁,fù něi,饥饿。
裀藉,yīn jiè,垫褥、铺垫。
罔,wǎng,无、没有。
甫,fǔ,刚刚、才。
宗阀,zōng fá,家族门第。
窭贫,jù pín,贫穷。
梗塞,gěng sè,阻隔不通。
诞育,dàn yù,生育。
弱息,ruò xī,幼弱的子女。
庶产,shù chǎn,妾所生的子女。
鞠养,jū yǎng,抚养、养育。
嗤嗤,chī chī,笑声。
遏,è,止住、抑制。
瞋,chēn,睁大眼睛发怒。
咤咤叱叱,zhà zhà chì chì,吵闹喧笑的样子。
裁,cái,通“才”，仅仅。
庚午,gēng wǔ,干支纪年之一。
不遑,bù huáng,来不及、没有闲暇。
襆被,pú bèi,整理被褥；也指包裹被褥。
糁,sǎn,散落、撒下。
楹,yíng,房屋一间。
苏苏,sū sū,细碎声；风吹叶动声。
阴捘,yīn zùn,暗中捏、掐。
靳惜,jìn xī,吝惜。
葭莩,jiā fú,芦苇内薄膜；比喻疏远亲戚。
瓜葛,guā gé,牵连；也指亲戚关系。
周遮,zhōu zhē,啰嗦纠缠。
讳,huì,避忌、不直说。
曩,nǎng,先前、从前。
踪兆,zōng zhào,踪迹、征兆。
匪伊朝夕,fěi yī zhāo xī,不是一天两天；形容心愿已久。
冗人,rǒng rén,闲散无用之人；文中谦称。
山坳,shān ào,山间低洼处。
姝丽,shū lì,美丽。
殂谢,cú xiè,死亡。
志赘,zhì zhuì,痣和赘疣等特征。
亟,jí,急切、赶快。
鳏居,guān jū,男子丧妻独居。
祟,suì,鬼神作祸。
绷卧,bēng wò,襁褓中躺卧。
骇,hài,惊怕。
孜孜,zī zī,不倦、不停的样子。
昧爽,mèi shuǎng,拂晓。
女红,nǚ gōng,女子针线活。
嫣然,yān rán,美好地笑。
合卺,hé jǐn,古代婚礼仪式，后泛指成婚。
鞭楚,biān chǔ,鞭打责罚。
辄,zhé,就、总是。
诣,yì,到、前往。
戚党,qī dǎng,亲族乡党。
藩溷,fān hùn,篱笆和厕所。
诃,hē,呵斥、责骂。
淫,yín,淫乱；文中指非礼侵犯。
踣,bó,跌倒。
爇,ruò,点燃、焚烧。
讼,sòng,诉讼、告状。
讦发,jié fā,揭发。
邑宰,yì zǎi,县令。
稔知,rěn zhī,熟知。
笃行,dǔ xíng,品行敦厚。
杖责,zhàng zé,用杖责打。
鹘突,hú tū,糊涂。
逮,dài,拘捕。
矢,shǐ,发誓。
戚容,qī róng,忧伤的神色。
零涕,líng tì,落泪。
哽咽,gěng yè,哭泣而语声阻塞。
岑寂,cén jì,寂静。
山阿,shān ē,山脚或山坳。
合厝,hé cuò,合葬。
怨恫,yuàn dòng,怨痛。
舆榇,yú chèn,载棺而行。
舁,yú,抬。
寤,wù,睡醒。
黠,xiá,狡黠、聪慧。
摄饵,shè ěr,寻取食物。
哺,bǔ,喂养。
寒食,hán shí,清明前一二日的传统节日。
