sequence,section,year,author,title,featured,source_url,status
1,《纽约每日论坛报》论文,,卡·马克思,美国问题在英国,no,https://www.marxists.org/chinese/marx-engels/15/052.htm,available
2,《纽约每日论坛报》论文,,卡·马克思,不列颠的棉花贸易,no,https://www.marxists.org/chinese/marx-engels/15/053.htm,available
3,《纽约每日论坛报》论文,,卡·马克思,伦敦“泰晤士报”评奥尔良亲王赴美,no,https://www.marxists.org/chinese/marx-engels/15/055.htm,available
4,《纽约每日论坛报》论文,,卡·马克思,对墨西哥的干涉,no,https://www.marxists.org/chinese/marx-engels/15/062.htm,available
5,《纽约每日论坛报》论文,,卡·马克思,“特伦特号”事件的消息和伦敦的反应,no,https://www.marxists.org/chinese/marx-engels/15/069.htm,available
6,《纽约每日论坛报》论文,,卡·马克思,英国国内同情心的增长,no,https://www.marxists.org/chinese/marx-engels/15/073.htm,available
7,《纽约每日论坛报》论文,,卡·马克思,英国的舆论,no,https://www.marxists.org/chinese/marx-engels/15/081.htm,available
8,《维也纳新闻》论文,,卡·马克思,北美内战,no,https://www.marxists.org/chinese/marx-engels/15/056.htm,available
9,《维也纳新闻》论文,,卡·马克思,美国内战,no,https://www.marxists.org/chinese/marx-engels/15/057.htm,available
10,《维也纳新闻》论文,,卡·马克思,英国的危机,no,https://www.marxists.org/chinese/marx-engels/15/058.htm,available
11,《维也纳新闻》论文,,卡·马克思,经济短评,no,https://www.marxists.org/chinese/marx-engels/15/060.htm,available
12,《维也纳新闻》论文,,卡·马克思,对墨西哥的干涉,no,https://www.marxists.org/chinese/marx-engels/15/061.htm,available
13,《维也纳新闻》论文,,卡·马克思,弗里芒特的免职,no,https://www.marxists.org/chinese/marx-engels/15/065.htm,available
14,《维也纳新闻》论文,,卡·马克思,“特伦特号”事件,no,https://www.marxists.org/chinese/marx-engels/15/067.htm,available
15,《维也纳新闻》论文,,卡·马克思,英美的冲突,no,https://www.marxists.org/chinese/marx-engels/15/068.htm,available
16,《维也纳新闻》论文,,弗·恩格斯,美国战争的教训,yes,https://www.marxists.org/chinese/marx-engels/15/070.htm,available
17,《维也纳新闻》论文,,卡·马克思,“特伦特号”剧中的几位主角,no,https://www.marxists.org/chinese/marx-engels/15/071.htm,available
18,《维也纳新闻》论文,,卡·马克思,关于“特伦特号”事件的争论,yes,https://www.marxists.org/chinese/marx-engels/15/072.htm,available
