sequence,part,slug,title,focus,english_url,chinese_url,chinese_start,chinese_end,keywords
1,Front Matter,00_prefaces,Prefaces,"The three editions, dialectics, and the work's intellectual setting",https://www.marxists.org/archive/marx/works/1877/anti-duhring/preface.htm,https://www.marxists.org/chinese/marx-engels/20/001.htm,,,"反杜林论 三版序言;辩证方法;共产主义世界观"
2,Introduction,01_introduction_general,Introduction I — General,"The historical development of modern socialism and dialectical thought",https://www.marxists.org/archive/marx/works/1877/anti-duhring/introduction.htm,https://www.marxists.org/chinese/marx-engels/20/002.htm,一、概论,二、杜林先生许下了什么诺言,"反杜林论 引论 概论;现代社会主义;辩证法"
3,Introduction,02_what_duhring_promises,Introduction II — What Herr Dühring Promises,"Dühring's system, claims, and method",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ch00.htm,https://www.marxists.org/chinese/marx-engels/20/002.htm,二、杜林先生许下了什么诺言,,"杜林先生许下了什么诺言;体系;终极真理"
4,Part I — Philosophy,03_classification_apriorism,Part I · Chapter III — Classification. Apriorism,"Material reality, thought, principles, and apriorism",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ch01.htm,https://www.marxists.org/chinese/marx-engels/20/003.htm,三、分类。先验主义,四、世界模式论,"分类 先验主义;现实和思维;原则"
5,Part I — Philosophy,04_world_schematism,Part I · Chapter IV — World Schematism,"Mathematics, abstraction, being, and the unity of the world",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ch02.htm,https://www.marxists.org/chinese/marx-engels/20/003.htm,四、世界模式论,五、自然哲学。时间和空间,"世界模式论;数学 抽象;世界的统一性"
6,Part I — Philosophy,05_time_space,Part I · Chapter V — Time and Space,"Infinity, time, space, and the beginning of the world",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ch03.htm,https://www.marxists.org/chinese/marx-engels/20/003.htm,五、自然哲学。时间和空间,六、自然哲学。天体演化学，物理学，化学,"自然哲学 时间和空间;无限;世界的开端"
7,Part I — Philosophy,06_cosmogony_physics_chemistry,Part I · Chapter VI — Cosmogony Physics Chemistry,"Natural science, motion, matter, cosmology, physics, and chemistry",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ch04.htm,https://www.marxists.org/chinese/marx-engels/20/003.htm,六、自然哲学。天体演化学，物理学，化学,七、自然哲学。有机界,"天体演化学 物理学 化学;运动和物质;自然科学"
8,Part I — Philosophy,07_organic_world,Part I · Chapter VII — The Organic World,"Life, development, adaptation, and organic nature",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ch05.htm,https://www.marxists.org/chinese/marx-engels/20/003.htm,七、自然哲学。有机界,八、自然哲学。有机界,"自然哲学 有机界;生命;发展"
9,Part I — Philosophy,08_organic_world_conclusion,Part I · Chapter VIII — The Organic World (Conclusion),"Evolution, heredity, selection, and human development",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ch06.htm,https://www.marxists.org/chinese/marx-engels/20/003.htm,八、自然哲学。有机界,九、道德和法,"有机界 续完;进化;遗传和选择"
10,Part I — Philosophy,09_eternal_truths,Part I · Chapter IX — Eternal Truths,"Morality, knowledge, truth, and historical conditions",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ch07.htm,https://www.marxists.org/chinese/marx-engels/20/003.htm,九、道德和法。永恒真理,十、道德和法。平等,"道德和法 永恒真理;认识;历史条件"
11,Part I — Philosophy,10_equality,Part I · Chapter X — Equality,"Equality, law, class society, and emancipation",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ch08.htm,https://www.marxists.org/chinese/marx-engels/20/003.htm,十、道德和法。平等,十一、道德和法。自由和必然,"道德和法 平等;阶级社会;解放"
12,Part I — Philosophy,11_freedom_necessity,Part I · Chapter XI — Freedom and Necessity,"Freedom, necessity, responsibility, and historical development",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ch09.htm,https://www.marxists.org/chinese/marx-engels/20/003.htm,十一、道德和法。自由和必然,十二、辩证法。量和质,"自由和必然;责任;历史发展"
13,Part I — Philosophy,12_quantity_quality,Part I · Chapter XII — Quantity and Quality,"Dialectical transformation of quantity and quality",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ch10.htm,https://www.marxists.org/chinese/marx-engels/20/003.htm,十二、辩证法。量和质,十三、辩证法。否定的否定,"辩证法 量和质;量变质变;自然和社会"
14,Part I — Philosophy,13_negation_negation,Part I · Chapter XIII — Negation of the Negation,"Dialectical negation in nature, history, and thought",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ch11.htm,https://www.marxists.org/chinese/marx-engels/20/003.htm,十三、辩证法。否定的否定,十四、结论,"辩证法 否定的否定;发展;历史"
15,Part I — Philosophy,14_philosophy_conclusion,Part I · Chapter XIV — Conclusion,"The limits of Dühring's philosophical system",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ch12.htm,https://www.marxists.org/chinese/marx-engels/20/003.htm,十四、结论,,"反杜林论 第一编 结论;哲学体系;辩证法"
16,Part II — Political Economy,15_subject_method,Part II · Chapter I — Subject Matter and Method,"Political economy, historical conditions, and method",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ch13.htm,https://www.marxists.org/chinese/marx-engels/20/004.htm,一、对象和方法,二、暴力论,"政治经济学 对象和方法;历史条件;方法"
17,Part II — Political Economy,16_theory_force,Part II · Chapter II — Theory of Force,"Force, property, exploitation, and economic development",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ch14.htm,https://www.marxists.org/chinese/marx-engels/20/004.htm,二、暴力论,三、暴力论,"暴力论;财产;经济发展"
18,Part II — Political Economy,17_theory_force_continued,Part II · Chapter III — Theory of Force (Continuation),"Political force and the economic foundations of class rule",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ch15.htm,https://www.marxists.org/chinese/marx-engels/20/004.htm,三、暴力论,四、暴力论,"暴力论 续;阶级统治;经济基础"
19,Part II — Political Economy,18_theory_force_conclusion,Part II · Chapter IV — Theory of Force (Conclusion),"Militarism, industry, political power, and economic change",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ch16.htm,https://www.marxists.org/chinese/marx-engels/20/004.htm,四、暴力论,五、价值论,"暴力论 续完;军事;政治权力"
20,Part II — Political Economy,19_theory_value,Part II · Chapter V — Theory of Value,"Value, labour, distribution, and Dühring's theory",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ch17.htm,https://www.marxists.org/chinese/marx-engels/20/004.htm,五、价值论,六、简单劳动和复杂劳动,"价值论;劳动;分配"
21,Part II — Political Economy,20_simple_compound_labour,Part II · Chapter VI — Simple and Compound Labour,"Skilled labour, value, and social reduction",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ch18.htm,https://www.marxists.org/chinese/marx-engels/20/004.htm,六、简单劳动和复杂劳动,七、资本和剩余价值,"简单劳动 复杂劳动;价值;社会化约"
22,Part II — Political Economy,21_capital_surplus_value,Part II · Chapter VII — Capital and Surplus-Value,"Capital, wage labour, surplus-value, and exploitation",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ch19.htm,https://www.marxists.org/chinese/marx-engels/20/004.htm,七、资本和剩余价值,八、资本和剩余价值,"资本 剩余价值;雇佣劳动;剥削"
