阅读词表
来源文件：practice/nine_commentaries/chapter_01/chapter_01_clean.txt
检出条目数：20

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	苏共“20大”	sū gòng èr shí dà	event	1956年苏联共产党第二十次代表大会。	4	苏共“20大”的震动
2	毛主席	máo zhǔ xí	person	文中对毛泽东的称呼。	37	的通邓， 到中南海的项年堂参加毛主席召
3	中央书记处	zhōng yāng shū jì chù	organization	中共中央重要决策机构。	2	大了以前的中央书记处， 相当于八大时选出
4	中央政治局	zhōng yāng zhèng zhì jú	organization	中共中央领导机构。	2	的中央政治局常委， 是党中央的最高决策
5	刘少奇	liú shào qí	person	中共中央领导人。	1	的书记处由毛泽东、刘少奇.周恩来.朱德、
6	周恩来	zhōu ēn lái	person	中共中央领导人、国务院总理。	1	的书记处由毛泽东、刘少奇.周恩来.朱德、
7	朱德	zhū dé	person	中共中央领导人。	1	的书记处由毛泽东、刘少奇.周恩来.朱德、
8	陈云	chén yún	person	中共中央领导人。	3	(1945年8月毛上席赴重庆谈判前如, 增补陈云.彭真为
9	邓小平	dèng xiǎo píng	person	当时任中共中央秘书长。	2	1955年七届五中全会补选林问.邓小平为政治局委员。
10	张闻天	zhāng wén tiān	person	中共中央领导人，曾长期从事外交和理论工作。	3	闻小平.张闻天.于稼祥都列席了。
11	高岗	gāo gǎng	person	曾任东北局负责人，后发生高岗事件。	2	中央局， 这是高岗EOSAPRAART
12	杨尚昆	yáng shàng kūn	person	当时任中央办公厅主任。	2	公厅主任杨尚昆告诉我的。
13	秘密报告	mì mì bào gào	concept	指赫鲁晓夫在苏共二十大后作的关于斯大林问题的报告。	10	举行)的秘密报告印发给中央政治局委员和有关部门的
14	赫鲁晓夫	hè lǔ xiǎo fū	person	苏联领导人，苏共二十大秘密报告的作报告者。	5	Gi, 而是由翻译念赫鲁晓夫的秘蜜报告。
15	斯大林	sī dà lín	person	苏联领导人，中苏论战和本章讨论的核心人物之一。	60	告很乱, 无条理, 就听到了一大堆关于斯大林破坏法制、
16	大国主义	dà guó zhǔ yì	concept	文中用于批评苏共处理兄弟党关系的概念。	2	但是， 看来苏共的大国主义基本上沪有
17	马克思列宁主义	mǎ kè sī liè níng zhǔ yì	concept	本章政治理论论述中的核心术语。	3	解别国国情， 不能把马克思列宁主义原理与别国革命运
18	无产阶级专政	wú chǎn jiē jí zhuān zhèng	concept	《关于无产阶级专政的历史经验》题名中的关键概念。	9	第一个搞无产阶级专政， 所以， 可以说他们犯错误是不可
19	兄弟党	xiōng dì dǎng	concept	社会主义阵营中共产党之间的惯用称呼。	3	主义国家的兄弟党受影响特别大。
20	个人崇拜	gè rén chóng bài	concept	本章讨论斯大林评价时的核心概念。	4	是犯过错误的， 也不疆成个人崇拜的。
