sequence,section,year,title,format,source_url,status
1,中方文献,1956,关于无产阶级专政的历史经验（一九五六年四月五日）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/19560405.htm,available
2,中方文献,1956,再论无产阶级专政的历史经验,HTML,https://www.marxists.org/chinese/reference-books/marxist.org-chinese-maoists-1956.htm,available
3,中方文献,1960,在华沙条约缔约国政治协商委员会会议上，康生同志谈目前国际形势（康生，原载1960年2月6日“人民日报”）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/19600206.htm,available
4,中方文献,1960,中苏同盟是世界和平的强大堡垒（陈毅，原载“红旗杂志”1960年第三期）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/1960-03.htm,available
5,中方文献,1960,列宁主义万岁——纪念列宁诞生九十周年（红旗杂志编辑部，《红旗》1960年4月16日第八期）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/19600416.htm,available
6,中方文献,1960,在列宁的革命旗帜下团结起来（陆定一，1960年4月22日）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/19600422a.htm,available
7,中方文献,1960,沿着伟大列宁的道路前进（《人民日报》编辑部，一九六○年四月二十二日）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/19600422b.htm,available
8,中方文献,1960,论帝国主义是现代战争的根源，并论各国人民争取和平的道路——为纪念列宁诞生九十周年而作（于兆力，原载《红旗》1960年第7期）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/1960-7.htm,available
9,中方文献,1962,全世界无产者联合起来反对我们的共同敌人（《人民日报》社论，1962年12月15日）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/19621215.htm,available
10,中方文献,1962,陶里亚蒂同志同我们的分歧（1962年12月31日《人民日报》社论）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/19621231.htm,available
11,中方文献,1963,列宁主义和现代修正主义（一九六三年第一期《红旗》杂志社论）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/196301.htm,available
12,中方文献,1963,在莫斯科宣言和莫斯科声明的基础上团结起来（《人民日报》社论，1963年1月27日）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/19630127.htm,available
13,中方文献,1963,分歧从何而来——答多列士等同志（《人民日报》社论，一九六三年二月二十七日）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/19630227.htm,available
14,中方文献,1963,再论陶里亚蒂同志同我们的分歧——关于列宁主义在当代的若干重大问题（红旗杂志编辑部 1963年3月）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/19630303.htm,available
15,中方文献,1963,评美国共产党声明（《人民日报》1963 年 3 月 8 日）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/19630308.htm,available
16,中方文献,1963,附：美国共产党声明——古巴危机与争取世界和平的斗争（1963年1月9-13日）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/19630308.htm#1,available
17,中方文献,1963,关于国际共产主义运动总路线的建议,HTML,https://www.marxists.org/chinese/reference-books/marxist.org-chinese-maoists-19630614.htm,available
18,中方文献,1963,中国共产党中央委员会发言人声明（一九六三年七月十九日）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/19630719.htm,available
19,中方文献,1963,人民日报编者关于苏共中央公开信的按语（1963年7月20日）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/19630719.htm#1,available
20,中方文献,1963,苏联共产党中央委员会给苏联各级党组织和全体共产党员的公开信（一九六三年七月十四日）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/19630719.htm#2,available
21,中方文献,1964,中共中央一九六四年二月二十日给苏共中央的信,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/19640220.htm,available
22,中方文献,1964,中共中央一九六四年二月二十七日给苏共中央的信,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/19640227.htm,available
23,中方文献,1904,中共中央一九六四年二月二十九日给苏共中央的信,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/19040229.htm,available
24,中方文献,1964,中共中央一九六四年五月七日给苏共中央的信（中国共产党中央委员会，1964年5月7日）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/19640507.htm,available
25,中方文献,1964,中国共产党中央委员会对于苏联共产党中央委员会一九六四年六月十五日来信的复信（1964年7月28日）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/19640728.htm,available
26,中方文献,1964,中国共产党中央委员会对于苏联共产党中央委员会一九六四年七月三十日来信的复信（1964年8月30日）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/19640830.htm,available
27,中方文献,1964,赫鲁晓夫是怎样下台的（红旗杂志1964年21、22期合刊）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/1964-21-22.htm,available
28,中方文献,1966,中国共产党中央委员会一九六六年三月二十二日给苏联共产党中央委员会的复信,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/19660322.htm,available
29,中方文献,1970,列宁主义，还是社会帝国主义？——纪念伟大列宁诞生一百周年（《人民日报》、《红旗》杂志、《解放军报》编辑部，《红旗》1970年第五期）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/1970-5.htm,available
30,中方文献,2020,中阿决裂后的拉美亲阿五党文件汇集,PDF,https://www.marxists.org/chinese/pdf/ccp/20200712f.pdf,available
31,九评苏共中央的公开信,1963,苏共领导和我们分歧的由来和发展——一评苏共中央的公开信 （《人民日报》编辑部，《红旗》杂志编辑部，一九六三年九月六日）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/1-01.htm,available
32,九评苏共中央的公开信,1963,关于斯大林问题——二评苏共中央的公开信 （《人民日报》编辑部，《红旗》杂志编辑部，一九六三年九月十三日）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/1-02.htm,available
33,九评苏共中央的公开信,1963,南斯拉夫是社会主义国家吗？——三评苏共中央的公开信 （《人民日报》编辑部，《红旗》杂志编辑部，一九六三年九月二十六日）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/1-03.htm,available
34,九评苏共中央的公开信,1963,新殖民主义的辩护士——四评苏共中央的公开信 （《人民日报》编辑部，《红旗》杂志编辑部，一九六三十月二十二日）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/1-04.htm,available
35,九评苏共中央的公开信,1963,在战争与和平问题上的两条路线——五评苏共中央的公开信 （《人民日报》编辑部，《红旗》杂志编辑部，一九六三年十一月十九日）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/1-05.htm,available
36,九评苏共中央的公开信,1963,两种根本对立的和平共处政策——六评苏共中央的公开信 （《人民日报》编辑部，《红旗》杂志编辑部，一九六三年十二月十二日）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/1-06.htm,available
37,九评苏共中央的公开信,1964,苏共领导是当代最大的分裂主义者——七评苏共中央的公开信 （《人民日报》编辑部，《红旗》杂志编辑部，一九六四年二月四日）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/1-07.htm,available
38,九评苏共中央的公开信,1964,无产阶级革命和赫鲁晓夫修正主义——八评苏共中央的公开信 （《人民日报》编辑部，《红旗》杂志编辑部，一九六四年三月三十一日）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/1-08.htm,available
39,九评苏共中央的公开信,1964,关于赫鲁晓夫的假共产主义及其在世界历史上的教训——九评苏共中央的公开信 （《人民日报》编辑部，《红旗》杂志编辑部，一九六四年七月十四日）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/1-09.htm,available
40,苏方文献,1956,关于个人崇拜及其后果（赫鲁晓夫，1956年2月25日）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/19560225.htm,available
41,苏方文献,1963,苏共中央三月三十日给中共中央的信（苏联共产党中央委员会，1963年3月30日）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/s-19630330.htm,available
42,苏方文献,1963,苏共中央一九六三年十一月二十九日给中共中央的信,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/s-19631129.htm,available
43,苏方文献,1964,关于苏共为国际共产主义运动的团结而斗争——摘自在苏共中央全会上的报告（苏斯洛夫，1964年2月14日）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/s-19640214.htm,available
44,苏方文献,1964,苏共中央一九六四年二月二十二日给中共中央的信,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/s-19640222.htm,available
45,苏方文献,1964,苏共中央一九六四年三月七日给中共中央的信,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/s-19640307.htm,available
46,苏方文献,1964,预祝在争取和平、民主和社会主义的斗争中取得新的成就——在法国共产党第十七次代表大会上的讲话（苏斯洛夫，1964年5月15日）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/s-19640515.htm,available
47,苏方文献,1964,苏共中央一九六四年六月十五日致中共中央的信,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/s-19640615.htm,available
48,苏方文献,1964,苏共中央一九六四年七月三十日给中共中央的信,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/s-19640730.htm,available
49,苏方文献,1966,苏联共产党中央委员会二月二十四日给中国共产党中央委员会的来信（1966年2月24日）,HTML,https://www.marxists.org/chinese/reference-books/sino-soviet-debate/s-19660224.htm,available
