unit_id,level,chapter,section,title,printed_start,pdf_start,title_source,page_source,notes
front_matter,front_matter,,,封面、版权页、目录,,1,pdf_front_matter,pdf_front_matter,"PDF pages 1-8 before printed page numbering starts."
front_cover,front_matter,,,封面,,1,pdf_front_matter,pdf_front_matter,
copyright_page,front_matter,,,版权页,,2,pdf_front_matter,pdf_front_matter,
toc,front_matter,,,目录,,3,pdf_front_matter,pdf_front_matter,"TOC spans PDF pages 3-8."
chapter_01,chapter,1,,苏共“20大”的震动,1,9,programthink_google_doc,scanned_toc,"Clean chapter title from programthink/books Google Doc."
chapter_01_section_01,section,1,1,“破题”,1,9,scanned_toc,scanned_toc,
chapter_01_section_02,section,1,2,评论赫鲁晓夫报告,7,15,scanned_toc,scanned_toc,
chapter_01_section_03,section,1,3,怎样看待斯大林,12,20,scanned_toc,scanned_toc,
chapter_01_section_04,section,1,4,探索正确道路,20,28,scanned_toc,scanned_toc,
chapter_01_section_05,section,1,5,文章的要点,24,32,scanned_toc,scanned_toc,
chapter_01_section_06,section,1,6,必要的说明,30,38,scanned_toc,scanned_toc,
chapter_02,chapter,2,,苏波关系与匈牙利事件,34,42,programthink_google_doc,scanned_toc,"Clean chapter title from programthink/books Google Doc."
chapter_02_section_01,section,2,1,苏联兵临华沙,34,42,scanned_toc,scanned_toc,
chapter_02_section_02,section,2,2,毛主席警告赫鲁晓夫,39,47,scanned_toc,scanned_toc,
chapter_02_section_03,section,2,3,苏波中三角会谈,42,50,scanned_toc,scanned_toc,
chapter_02_section_04,section,2,4,匈牙利反革命叛乱,48,56,scanned_toc,scanned_toc,
chapter_02_section_05,section,2,5,抛弃还是支援匈牙利人民,51,59,scanned_toc,scanned_toc,
chapter_02_section_06,section,2,6,两次事件的观感,56,64,scanned_toc,scanned_toc,
chapter_02_section_07,section,2,7,在反苏反共浪潮面前,62,70,scanned_toc,scanned_toc,
chapter_02_section_08,section,2,8,毛主席的基本论点,66,74,scanned_toc,scanned_toc,
chapter_02_section_09,section,2,9,从分析世界基本矛盾入手,71,79,scanned_toc,scanned_toc,
chapter_02_section_10,section,2,10,反对教条主义和修正主义,75,83,scanned_toc,scanned_toc,
chapter_02_section_11,section,2,11,文章的要点,83,91,scanned_toc,scanned_toc,
chapter_03,chapter,3,,1957年莫斯科会议,92,100,programthink_google_doc,scanned_toc,"Clean chapter title from programthink/books Google Doc."
chapter_03_section_01,section,3,1,毛主席提前赴苏,92,100,scanned_toc,scanned_toc,
chapter_03_section_02,section,3,2,同兄弟党领导人会谈,100,108,scanned_toc,scanned_toc,
chapter_03_section_03,section,3,3,纵论兄弟党关系与世界大势,112,120,scanned_toc,scanned_toc,
chapter_03_section_04,section,3,4,争论和协商一致,127,135,scanned_toc,scanned_toc,
chapter_03_section_05,section,3,5,同志式的话别,142,150,scanned_toc,scanned_toc,
chapter_04,chapter,4,,戴维营会谈前后,156,164,programthink_google_doc,scanned_toc,"Clean chapter title from programthink/books Google Doc."
chapter_04_section_01,section,4,1,面对面的抗衡,156,164,scanned_toc,scanned_toc,
chapter_04_section_02,section,4,2,四方的盘算,174,182,scanned_toc,scanned_toc,
chapter_04_section_03,section,4,3,影射攻击的开始,191,199,scanned_toc,scanned_toc,
chapter_04_section_04,section,4,4,赫鲁晓夫的贡礼,205,213,scanned_toc,scanned_toc,
chapter_04_section_05,section,4,5,在中南海的激烈辩论,218,226,scanned_toc,scanned_toc,
chapter_04_section_06,section,4,6,杭州的议论,229,237,scanned_toc,scanned_toc,
chapter_05,chapter,5,,突然袭击,236,244,programthink_google_doc,scanned_toc,"Clean chapter title from programthink/books Google Doc."
chapter_05_section_01,section,5,1,毛主席强调团结为重,236,244,scanned_toc,scanned_toc,
chapter_05_section_02,section,5,2,赫鲁晓夫开始行动,250,258,scanned_toc,scanned_toc,
chapter_05_section_03,section,5,3,纪念列宁的文章,258,266,scanned_toc,scanned_toc,
chapter_05_section_04,section,5,4,首脑会议流产,266,274,scanned_toc,scanned_toc,
chapter_05_section_05,section,5,5,建议和反建议,273,281,scanned_toc,scanned_toc,
chapter_05_section_06,section,5,6,突然袭击,279,287,scanned_toc,scanned_toc,
chapter_05_section_07,section,5,7,防守反击,288,296,scanned_toc,scanned_toc,
chapter_05_section_08,section,5,8,留有余地,298,306,scanned_toc,scanned_toc,
chapter_06,chapter,6,,回顾与决策,301,309,programthink_google_doc,scanned_toc,"Clean chapter title from programthink/books Google Doc."
chapter_06_section_01,section,6,1,避暑胜地,301,309,scanned_toc,scanned_toc,
chapter_06_section_02,section,6,2,布加勒斯特会议说明什么,308,316,scanned_toc,scanned_toc,
chapter_06_section_03,section,6,3,历史的回顾,314,322,scanned_toc,scanned_toc,
chapter_06_section_04,section,6,4,顶住压力,334,342,scanned_toc,scanned_toc,
chapter_07,chapter,7,,斗争与妥协,344,352,programthink_google_doc,scanned_toc,"Clean chapter title from programthink/books Google Doc."
chapter_07_section_01,section,7,1,胡志明劝和,344,352,scanned_toc,scanned_toc,
chapter_07_section_02,section,7,2,对苏共的《答复书》,351,359,scanned_toc,scanned_toc,
chapter_07_section_03,section,7,3,中苏两党会谈,357,365,scanned_toc,scanned_toc,
chapter_07_section_04,section,7,4,起草委员会争论不休,365,373,scanned_toc,scanned_toc,
chapter_07_section_05,section,7,5,大会首轮较量,368,376,scanned_toc,scanned_toc,
chapter_07_section_06,section,7,6,压服与反压服的斗争,385,393,scanned_toc,scanned_toc,
chapter_07_section_07,section,7,7,调解与妥协,397,405,scanned_toc,scanned_toc,
chapter_07_section_08,section,7,8,胜利达成协议,414,422,scanned_toc,scanned_toc,
chapter_07_section_09,section,7,9,刘主席国事访问,430,438,scanned_toc,scanned_toc,
chapter_07_section_10,section,7,10,会后的评论,438,446,scanned_toc,scanned_toc,
chapter_08,chapter,8,,赫鲁晓夫再度挑战,452,460,programthink_google_doc,scanned_toc,"Clean chapter title from programthink/books Google Doc."
chapter_08_section_01,section,8,1,81党会议后的缓和,452,460,scanned_toc,scanned_toc,
chapter_08_section_02,section,8,2,苏共错误观点的系统化,457,465,scanned_toc,scanned_toc,
chapter_08_section_03,section,8,3,赫鲁晓夫大搞“四反”,467,475,scanned_toc,scanned_toc,
chapter_08_section_04,section,8,4,对苏共“22大”的看法,480,488,scanned_toc,scanned_toc,
chapter_09,chapter,9,,走向公开论战,491,499,programthink_google_doc,scanned_toc,"Clean chapter title from programthink/books Google Doc."
chapter_09_section_01,section,9,1,树欲静而风不止,491,499,scanned_toc,scanned_toc,
chapter_09_section_02,section,9,2,中印边境冲突与美苏核对抗危机,496,504,scanned_toc,scanned_toc,
