term,pinyin,annotation,type
欧率更,,即欧阳询（557—641），潭州临湘（今湖南长沙）人。因其曾官太子率更令，故称欧率更。与虞世南、褚遂良、薛稷并称“初唐书法四大家”，又与颜真卿、柳公权、元代赵孟 頫并称“楷书四大家”。率更令，唐时掌管宗族次序、礼乐、刑罚及漏刻之政令。,source_note
法帖,,名家书法的拓本或印本,source_note
临川,,县名。今江西抚州临川,source_note
华,,同“花”。,source_note
恣口,,放纵食欲，想吃什么就吃什么。恣，放纵，无约束。,source_note
侯,,这里是对士人的尊称。,source_note
国士,,初指国中精选出来的勇士，后来指称一国中才能出众的人。,source_note
月旦,,月旦评，对人物的品评。据《后汉书·许劭列传》，汝南人许劭兄弟俱有高名，喜好品评人物，且每月一评，故称“月旦评”。,source_note
中郎,,官名。秦代始置。两晋南北朝置从事中郎，为将帅幕僚，后渐废。,source_note
摛藻,,铺陈辞藻，施展文才。,source_note
故实,,掌故，富有意蕴的往事。,source_note
