term,pinyin,annotation,type
蛮,mán,对南方少数民族的泛称，有轻视之意。,source_note
开元,kāi yuán,唐玄宗李隆基年号（713—741）。,source_note
节度副大使,jié dù fù dà shǐ,官名,source_note
剑南,jiàn nán,唐代贞观十道之一，因其地处剑门关以南，故称剑南，约今四川中部一带，治所在成都,source_note
染浪州,rǎn làng zhōu,应校作“渠浪州”，唐代羁糜州，在今云南大理（见郭声波《彝族地区历史地理研究》第三章第五节“渠浪州”）。,source_note
内常侍,nèi cháng shì,宦官职名,source_note
明皇,míng huáng,唐玄宗李隆基，谥“至道大圣大明孝皇帝”，唐人诗文中多称其“明皇”,source_note
野史,yě shǐ,私家编撰的史书。有别于官修的“正史”而言。,source_note
鱼朝恩,yú cháo ēn,泸州泸川（今四川泸县）人,source_note
观军容处置使,guān jūn róng chǔ zhì shǐ,唐肃宗乾元元年,source_note
肃宗,sù zōng,即唐肃宗李亨（711—762），唐玄宗第三子。鱼朝恩（722—770）：泸州泸川（今四川泸县）人。唐玄宗时为黄门，肃宗时为观军容宣慰处置使，封冯翊郡公，代宗时权倾天下，积财巨万，后被缢杀。观军容处置使：唐肃宗乾元元年,source_note
吐突承璀,tǔ tū chéng cuǐ,唐宪宗时宦官，历任左神策军护军中尉、左监门将军，封蓟国公，后被诛,source_note
招讨使,zhāo tǎo shǐ,使职名,source_note
宪宗,xiàn zōng,即唐宪宗李纯（778—820）。吐突承璀（？—820）：唐宪宗时宦官，历任左神策军护军中尉、左监门将军，封蓟国公，后被诛。招讨使：使职名。掌招抚讨伐事务,source_note
中人,zhōng rén,宦官。,source_note
萧嵩,xiāo sōng,南兰陵（今江苏常州）人,source_note
裴光庭,péi guāng tíng,绛州闻喜（今山西闻喜）人。唐玄宗时宰相。萧嵩（？—749）：南兰陵（今江苏常州）人。唐玄宗时宰相,source_note
无足责者,wú zú zé zhě,意谓此二人平庸之辈，非如张九龄一流人物。,source_note
杨氏苗裔，至今犹连“晟”字云,yáng shì miáo yì zhì jīn yóu lián shèng zì yún,张富祥注说《容斋随笔》：“此指杨氏后裔行用一种联名制，在姓名中都加‘晟’字。……宋代杨氏后裔则率称‘杨晟某’，如杨晟台、杨晟秀等，史籍所见极多。”,source_note
