order	source_key	term	annotation
1	p1	蛮	对南方少数民族的泛称，有轻视之意。
2	p2	开元	唐玄宗李隆基年号（713—741）。
3	p3x1	节度副大使	官名
4	p3	剑南	唐代贞观十道之一，因其地处剑门关以南，故称剑南，约今四川中部一带，治所在成都
5	p4	染浪州	应校作“渠浪州”，唐代羁糜州，在今云南大理（见郭声波《彝族地区历史地理研究》第三章第五节“渠浪州”）。
6	p5x1	内常侍	宦官职名
7	p5	明皇	唐玄宗李隆基，谥“至道大圣大明孝皇帝”，唐人诗文中多称其“明皇”
8	p6	野史	私家编撰的史书。有别于官修的“正史”而言。
9	p7x1	鱼朝恩	泸州泸川（今四川泸县）人
10	p7x2	观军容处置使	唐肃宗乾元元年
11	p7	肃宗	即唐肃宗李亨（711—762），唐玄宗第三子。鱼朝恩（722—770）：泸州泸川（今四川泸县）人。唐玄宗时为黄门，肃宗时为观军容宣慰处置使，封冯翊郡公，代宗时权倾天下，积财巨万，后被缢杀。观军容处置使：唐肃宗乾元元年
12	p8x1	吐突承璀	唐宪宗时宦官，历任左神策军护军中尉、左监门将军，封蓟国公，后被诛
13	p8x2	招讨使	使职名
14	p8	宪宗	即唐宪宗李纯（778—820）。吐突承璀（？—820）：唐宪宗时宦官，历任左神策军护军中尉、左监门将军，封蓟国公，后被诛。招讨使：使职名。掌招抚讨伐事务
15	p9	中人	宦官。
16	p10x1	萧嵩	南兰陵（今江苏常州）人
17	p10	裴光庭	绛州闻喜（今山西闻喜）人。唐玄宗时宰相。萧嵩（？—749）：南兰陵（今江苏常州）人。唐玄宗时宰相
18	p11	无足责者	意谓此二人平庸之辈，非如张九龄一流人物。
19	p12	杨氏苗裔，至今犹连“晟”字云	张富祥注说《容斋随笔》：“此指杨氏后裔行用一种联名制，在姓名中都加‘晟’字。……宋代杨氏后裔则率称‘杨晟某’，如杨晟台、杨晟秀等，史籍所见极多。”
