order	source_key	term	annotation
1	p2	《大集经》	全称《大方等大集经》，本则所载，见《大集经》卷第八《海慧菩萨品》。《大集经》所列，共五十三种，不足六十四之数，本则所列为五十二种，且与经文有出入
2	p3	粗语	粗恶之言语，或指粗浅之教说。
3	p4	软语	经文作“浊语”。
4	p5	非时	佛教戒律，自晨至正午为“时”，正午以后为“非时”。
5	p6	妄语	又作故妄语、虚妄语、虞诳语、妄舌。特指以欺人为目的而作的虚妄语，为五戒、十戒、十恶之一。
6	p7	漏	流注漏泄之意，烦恼的异称。
7	p8	破语	用以破斥他人主张之言语。
8	p9	散	心意散乱。
9	p10	畏	怖畏，恐惧害怕。
10	p11	诤	因意见冲突而互以言论决胜负。
11	p12	谄	为欺瞒他人而故作娇态，曲顺人情。
12	p13	诳语	以种种手段迷惑他人之言语。经文于“诳语”之前有“调语”。
13	p14	邪语	由贪、瞋、痴所生之不正之言语。
14	p15	哑语	表示佛法真理时难以言语表达时的用语。
15	p16	地语、狱语	经文作“地狱语”。
16	p17	慢	恃己而凌他。
17	p18	利害语	经文作“利恶语”。
18	p19	两舌语	在两者之间搬弄是非，挑拨离间，破坏彼此之和合。
19	p20	无义语	无益的话。
20	p21	喜	心中适悦之相。
21	p22	害	对于他人为恶意损害之精神作用。
22	p23	系	系缚使之不得自由之意。
23	p24	闲语	经文作“闭语”。
24	p25	缚	烦恼。烦恼能系缚人，使其不得自在，故名。
25	p26	说三宝语	经文作“谤三宝语”。三宝，佛、法、僧。
26	p2x1	业	佛学术语
27	p1	恶口	言辞粗鄙，故视为恶，其恶从口而生，故称为恶口。
