term,pinyin,annotation,type
敕勒,,古代北方部族，也称“铁勒”，又称高车部，其先为匈奴，后为突厥所并。,source_note
阳关,,关名。汉置，为通西域汉隘。在今甘肃敦煌西南，因其位于玉门关之南，故名阳关。,source_note
韦深道,,即韦许，字深道，北宋太平芜湖（今安徽芜湖）人。不事科举，志尚高洁。,source_note
斛律明月,,即斛律光（515—572），字明月，斛律金之子，北齐名将。精于骑射，当时称为“落雕都督”。斛律，敕勒族复姓。,source_note
敕勒川,,在今内蒙古呼和浩特至包头一带,source_note
老胡,,指斛律金（488—567），朔州（今属山西）人。北魏、东魏、北齐三朝将领,source_note
仓卒,,同“仓猝”。,source_note
按,,有时也写作“案”，按语，是指编者或作者另加的说明或论断。,source_note
乐府,,官署名。汉置，职掌制定乐谱，采集民间诗歌入乐。后来即称其所采集的民间诗歌为“乐府”，也指称后世文人模仿“乐府”之作。再后来用以泛称凡是配乐的诗词以及戏曲。,source_note
高欢,,怀朔（今内蒙古固阳）人,source_note
周,,北周，此应为西魏,source_note
玉壁,,又作“玉璧”，在今山西稷山西南,source_note
齐,,北齐（550—577）。北魏分为东魏、西魏之后，高欢次子高洋篡东魏自立，国号齐，尊高欢为神武皇帝，建都邺（今河北临漳），史称“北齐”。高欢（496—547）：怀朔（今内蒙古固阳）人。参加杜洛周起义军，叛降北魏，后拥立北魏孝武帝，专朝政，复逼帝西投宇文泰，另立孝静帝，由此魏分东西。周：北周，此应为西魏。玉壁：又作“玉璧”，在今山西稷山西南。东魏孝静帝武定四年,source_note
恚,huì,"愤怒。恚 huì
〈文〉
动 愤怒；怨恨。
忿恚 | 恚恨",source_note
鲜卑,,古代少数民族，东胡的一支。汉初居辽东，东汉时移于匈奴故地，晋时为“五胡”之一，隋唐以后逐渐与中原民族融合。,source_note
阴山,,今内蒙古河套西北诸山之统称。,source_note
穹庐,,游牧民族所居的毡帐。,source_note
周王下令曰,,‘高欢鼠子，亲犯玉壁,source_note
按，郭茂倩《乐府诗集》引《乐府广题》,,“北齐神武（高欢）攻周（应为西魏）玉壁，士卒死者十四五。神武恚愤疾发,source_note
