term,pinyin,annotation,type
考信,,查考其真实。,source_note
稷,,即后稷，周朝的始祖，尧举为农师。契（xiè）：商朝的始祖，为舜之臣,source_note
帝喾,kù,"传说中的古代帝王，黄帝的曾孙。姬姓，号高辛氏。喾 kù （嚳）
名 帝喾，传说中上古的一个帝王名。",source_note
唐虞,,指唐尧和虞舜，都是传说中的上古帝王，皆以揖让而有天下，故以唐虞之世为太平盛世。,source_note
商,,商朝（前16世纪—前11世纪）。商汤灭夏，立商朝。传至纣，为周武王所灭。,source_note
成汤,,商汤，商朝开国君主。夏桀无道，商汤兴兵伐之而有天下。,source_note
周,,周朝。武王灭商，建周，至周幽王，史称西周。公元前770年，周平王迁都洛邑（今河南洛阳），史称东周（春秋战国时代），为秦所灭。,source_note
武王,,即周武王姬发，文王之子，起兵灭商，分封诸侯。,source_note
王季,,周文王父，名季历。,source_note
《国语》,,国别体记言史书，又称《春秋外传》。相传为春秋时左丘明所作，记载周、鲁、齐、晋、郑、楚、吴、越八国之事，起自周穆王十二年（前990），终于周贞定王十六年（前453）,source_note
自后稷之始基靖民，十五王而文始平之,,语出《国语·周语下》。,source_note
太子晋,,姬晋，周灵王长子,source_note
世次,,年代的先后。,source_note
