阅读词表
来源文件：/Users/ruixingshi/Python/automate_study_practices/practice/shiji/shiji_lisheng_lujia/lisheng_lujia_clean.txt
检出条目数：59

序号	字/词	拼音	简注	出现次数	原文词例
1	徇地	xùn dì	带兵巡行并攻取地方。	1	……谓之狂生。

及陈胜、项梁等起，诸将徇地过高阳者数十人，郦生闻其将皆握齱……
2	握齱	wò chuò	局促拘谨，过分讲究细小礼节。	1	……诸将徇地过高阳者数十人，郦生闻其将皆握齱好苛礼自用，不能听大度之言，郦生……
3	匿	nì	隐匿，匿名，匿名信	1	……礼自用，不能听大度之言，郦生乃深自藏匿。後闻沛公将兵略地陈留郊，沛公麾下……
4	溲溺	sōu niào	小便；文中指在儒冠中撒尿。	1	”骑士曰：“沛公不好儒，诸客冠儒冠来者，沛公辄解其冠，溲溺其中。
5	传舍	zhuàn shè	古代供往来人员住宿的驿舍。	1	沛公至高阳传舍，使人召郦生。
6	倨床	jù chuáng	傲慢地坐在床上。	1	郦生至，入谒，沛公方倨床使两女子洗足，而见郦生。
7	长揖	cháng yī	拱手高举、自上而下行礼，不跪拜。	2	郦生入，则长揖不拜，曰：“足下欲助秦攻诸侯乎？
8	辍洗	chuò xǐ	停止洗脚。	1	”於是沛公辍洗，起摄衣，延郦生上坐，谢之。
9	摄衣	shè yī	整理、提起衣襟。	1	”於是沛公辍洗，起摄衣，延郦生上坐，谢之。
10	从横	zòng héng	合纵连横；战国时期的外交策略。	1	郦生因言六国从横时。
11	纠合	jiū hé	集合、聚集。	1	……问曰：“计将安出？”郦生曰：“足下起纠合之众，收散乱之兵，不满万人，欲以……
12	旻	mín	本指秋天或天空；此处旧本文字语义有疑，宜保留核读。	2	夫陈留，天下之旻，四通五达之郊也，今其城又多积粟。
13	郦食其	lì yì jī	秦汉之际说客；“食其”在人名中读“异基”。	4	号郦食其为广野君。
14	说客	shuì kè	外交家	1	郦生常为说客，驰使诸侯。
15	荥阳	xíng yáng	古地名，楚汉战争中的军事要地。	4	汉三年秋，项羽击汉，拔荥阳，汉兵遁保巩、洛。
16	成皋	chéng gāo	古关塞名，在今河南荥阳一带。	5	淮阴方东击齐，汉王数困荥阳、成皋，计欲捐成皋以东，屯巩、洛以拒楚。
17	敖仓	áo cāng	秦汉时位于荥阳附近的大型粮仓。	5	……。王者以民人为天，而民人以食为天。夫敖仓，天下转输久矣，臣闻其下乃有藏粟……
18	郤	xì	同“却”，后退。	1	方今楚易取而汉反郤，自夺其便，臣窃以为过矣。
