阅读词表
来源文件：/Users/ruixingshi/Python/automate_study_practices/practice/shiji/shiji_qin_benji/qin_benji_clean.txt
检出条目数：109

序号	字/词	拼音	简注	出现次数	原文词例
1	颛顼	zhuān xū	传说中的上古帝王，五帝之一。	1	秦之先，帝颛顼之苗裔孙曰女脩。
2	苗裔	miáo yì	后代、子孙。	1	秦之先，帝颛顼之苗裔孙曰女脩。
3	女脩	nǚ xiū	秦人传说中的女性始祖；“脩”同“修”。	3	秦之先，帝颛顼之苗裔孙曰女脩。
4	玄圭	xuán guī	黑色玉圭，古代帝王所赐的礼器。	1	已成，帝锡玄圭。
5	皂游	zào liú	黑色旌旗；“游”通“旒”，指旗上的飘带。	1	”帝舜曰：“咨尔费，赞禹功，其赐尔皂游。
6	柏翳	bó yì	即伯益，嬴姓先祖。	1	大费拜受，佐舜调驯鸟兽，鸟兽多驯服，是为柏翳。
7	中潏	zhòng yù	秦先祖之一，居于西戎。	2	其玄孙曰中潏，在西戎，保西垂。
8	蜚廉	fēi lián	秦、赵共同先祖，传说善于奔走。	8	生蜚廉。
9	周缪王	zhōu mù wáng	即周穆王；“缪”在此读“穆”。	1	造父以善御幸于周缪王，得骥、温骊、骅骝、騄耳之驷，西巡狩，乐而忘归。
10	骥	jì	良马。	1	造父以善御幸于周缪王，得骥、温骊、骅骝、騄耳之驷，西巡狩，乐而忘归。
11	温骊	wēn lí	周穆王所得名马之一。	1	造父以善御幸于周缪王，得骥、温骊、骅骝、騄耳之驷，西巡狩，乐而忘归。
12	骅骝	huá liú	赤色骏马，古代名马。	1	造父以善御幸于周缪王，得骥、温骊、骅骝、騄耳之驷，西巡狩，乐而忘归。
13	騄耳	lù ěr	古代名马，周穆王八骏之一。	1	造父以善御幸于周缪王，得骥、温骊、骅骝、騄耳之驷，西巡狩，乐而忘归。
14	汧渭	qiān wèi	汧水与渭水流域，秦人早期活动地区。	2	犬丘人言之周孝王，孝王召使主马于汧渭之闲，马大蕃息。
15	蕃息	fán xī	繁殖增多。	1	犬丘人言之周孝王，孝王召使主马于汧渭之闲，马大蕃息。
16	適嗣	dí sì	嫡系继承人；“適”通“嫡”。	1	孝王欲以为大骆適嗣。
17	羝羊	dī yáng	公羊。	1	襄公于是始国，与诸侯通使聘享之礼，乃用骝驹、黄牛、羝羊各三，祠上帝西畤。
18	西畤	xī zhì	秦襄公设立的祭天场所。	1	襄公于是始国，与诸侯通使聘享之礼，乃用骝驹、黄牛、羝羊各三，祠上帝西畤。
19	鄜畤	fū zhì	秦文公设立的祭天场所。	2	十年，初为鄜畤，用三牢。
20	三牢	sān láo	牛、羊、猪三牲齐备的祭品。	1	十年，初为鄜畤，用三牢。
21	大特	dà tè	大公牛；古代祭祀用牲。	1	二十七年，伐南山大梓，丰大特。
22	竫公	jìng gōng	秦文公太子，未即位而卒；“竫”同“靖”。	3	四十八年，文公太子卒，赐谥为竫公。
23	翚	huī	鲁公子翚之名；本义为有彩羽的雉。	1	四年，鲁公子翚弑其君隐公。
24	弑	shì	臣下杀君、子女杀父母。	10	四年，鲁公子翚弑其君隐公。
25	邽	guī	古地名，在今甘肃天水一带。	1	十年，伐邽、冀戎，初县之。
26	雍廪	yōng lǐn	春秋时齐国大夫，诛公孙无知。	1	齐雍廪杀无知、管至父等而立齐桓公。
27	鄄	juàn	鄄邑，古地名，在今山东鄄城。	1	齐桓公伯于鄄。
28	芮伯	ruì bó	芮国国君。	2	梁伯、芮伯来朝。
29	以狗御蛊	yǐ gǒu yù gǔ	古代在伏日用狗禳除蛊毒邪气的仪式。	1	二年，初伏，以狗御蛊。
30	子穨	zǐ tuí	周庄王之子，曾被拥立为王。	3	宣公元年，卫、燕伐周，出惠王，立王子穨。
31	百里傒	bǎi lǐ xī	秦穆公名臣，号五羖大夫。	15	五年，晋献公灭虞、虢，虏虞君与其大夫百里傒，以璧马赂于虞故也。
32	媵	yìng	陪嫁的人；文中指作为陪嫁臣仆。	2	既虏百里傒，以为秦缪公夫人媵于秦。
33	五羖羊皮	wǔ gǔ yáng pí	五张黑色公羊皮；秦穆公赎回百里傒的代价。	1	……使人谓楚曰：“吾媵臣百里傒在焉，请以五羖羊皮赎之。”楚人遂许与之。当是时……
34	蹇叔	jiǎn shū	秦穆公名臣，善于识人和军事判断。	12	百里傒让曰：“臣不及臣友蹇叔，蹇叔贤而世莫知。
35	铚	zhì	古邑名，在今安徽濉溪一带。	1	臣常游困于齐而乞食铚人，蹇叔收臣。
36	干之	gān zhī	求取任用；干，求取。	1	周王子穨好牛，臣以养牛干之。
37	丕郑	pī zhèng	晋国大夫，曾为秦、晋之间谋划。	6	”及至，已立，而使丕郑谢秦，背约不与河西城，而杀里克。
38	郄芮	xì ruì	晋国大夫；“郄”作姓读 xì。	1	今背秦约而杀里克，皆吕甥、郄芮之计也。
39	隰朋	xí péng	齐桓公、管仲时期名臣。	1	十二年，齐管仲、隰朋死。
40	饥穰	jī ráng	歉收与丰收；穰，丰熟。	1	缪公问公孙支，支曰：“饥穰更事耳，不可不与。
41	漕车转	cáo chē zhuǎn	水路漕运与陆路车运。	1	以船漕车转，自雍相望至绛。
42	马騺	mǎ zhì	马陷住或不能前进。	1	晋君弃其军，与秦争利，还而马騺。
43	麾下	huī xià	将帅旌旗之下，借指部属。	1	缪公与麾下驰追之，不能得晋君，反为晋军所围。
44	推锋	tuī fēng	冲锋在前。	1	三百人者闻秦击晋，皆求从，从而见缪公窘，亦皆推锋争死，以报食马之德。
45	齐宿	zhāi sù	斋戒住宿，准备祭祀；“齐”通“斋”。	1	于是缪公虏晋君以归，令于国，齐宿，吾将以晋君祠上帝。
46	衰绖	cuī dié	丧服与麻制丧带。	3	夷吾姊亦为缪公夫人，夫人闻之，乃衰绖跣，曰：“妾兄弟不能相救，以辱君命。
47	跣	xiǎn	赤脚。	1	夷吾姊亦为缪公夫人，夫人闻之，乃衰绖跣，曰：“妾兄弟不能相救，以辱君命。
48	馈之七牢	kuì zhī qī láo	赠给七套牛羊猪齐备的祭牲或食物。	1	”乃与晋君盟，许归之，更舍上舍，而馈之七牢。
49	子圉	zǐ yǔ	晋惠公太子，后为晋怀公。	8	十一月，归晋君夷吾，夷吾献其河西地，使太子圉为质于秦。
50	翟	dí	古代北方族群名称，常通“狄”。	4	其秋，周襄王弟带以翟伐王，王出居郑。
51	城濮	chéng pú	晋楚城濮之战所在地，在今山东一带。	1	二十八年，晋文公败楚于城濮。
52	庸知	yōng zhī	怎么知道；庸，岂、怎么。	1	且人卖郑，庸知我国人不有以我情告郑者乎？
53	沮哭	jǔ kū	哭泣以阻止或使军队丧气。	1	缪公闻，怒曰：“孤发兵而子沮哭吾军，何也？
54	肴阨	xiáo è	即崤山险隘，秦晋崤之战所在地。	1	”二老退，谓其子曰：“汝军即败，必于肴阨矣。
55	贩卖贾人	fàn mài gǔ rén	经商的商人；“贾”在此读 gǔ。	1	……：“秦师无礼，不败何待！”兵至滑，郑贩卖贾人弦高，持十二牛将卖之周，见秦……
56	劳军	lào jūn	慰劳军队。	1	……将诛郑，郑君谨修守御备，使臣以牛十二劳军士。”秦三将军相谓曰：“将袭郑，……
57	墨衰绖	mò cuī dié	染黑丧服出征，表示居丧而用兵。	1	”遂墨衰绖，发兵遮秦兵于肴，击之，大破秦军，无一人得脱者。
58	官秩	guān zhì	官职等级和俸禄品级。	1	”遂复三人官秩如故，愈益厚之。
59	由余	yóu yú	由晋入戎、后归秦的谋臣。	14	戎王使由余于秦。
60	罢极	pí jí	疲惫困顿；“罢”通“疲”。	1	……日以骄淫。阻法度之威，以责督于下，下罢极则以仁义怨望于上，上下交争怨而相……
61	含淳德	hán chún dé	怀有质朴敦厚的德性。	1	……至于灭宗，皆以此类也。夫戎夷不然。上含淳德以遇其下，下怀忠信以事其上，一……
62	辟匿	pì nì	处在偏僻闭塞之地。	1	”内史廖曰：“戎王处辟匿，未闻中国之声。
63	女乐	nǚ yuè	女子组成的乐舞队伍。	2	君试遗其女乐，以夺其志；
64	曲席	qū xí	弯曲座席相近而坐，表示亲密礼遇。	1	……必怠于政。”缪公曰：“善。”因与由余曲席而坐，传器而食，问其地形与其兵势……
65	间要由余	jiàn yāo yóu yú	暗中邀请由余；间，秘密地；要，邀约。	1	由余数谏不听，缪公又数使人间要由余，由余遂去降秦。
66	鄗	hào	古邑名，在今河北柏乡北。	1	……兵伐晋，渡河焚船，大败晋人，取王官及鄗，以报肴之役。晋人皆城守不敢出。于……
67	黄髪番番	huáng fà pó pó	老人头发黄白的样子；指年高而有谋略者。	1	古之人谋黄髪番番，则无所过。
68	垂涕	chuí tì	流泪。	1	君子闻之，皆为垂涕，曰：“嗟乎！
