term,pinyin,type,annotation
颛顼,zhuān xū,person,传说中的上古帝王，五帝之一。
苗裔,miáo yì,rare_word,后代、子孙。
女脩,nǚ xiū,person,秦人传说中的女性始祖；“脩”同“修”。
玄圭,xuán guī,artifact,黑色玉圭，古代帝王所赐的礼器。
皂游,zào liú,artifact,黑色旌旗；“游”通“旒”，指旗上的飘带。
柏翳,bó yì,person,即伯益，嬴姓先祖。
中潏,zhòng yù,person,秦先祖之一，居于西戎。
蜚廉,fēi lián,person,秦、赵共同先祖，传说善于奔走。
周缪王,zhōu mù wáng,person,即周穆王；“缪”在此读“穆”。
骥,jì,rare_word,良马。
温骊,wēn lí,artifact,周穆王所得名马之一。
骅骝,huá liú,artifact,赤色骏马，古代名马。
騄耳,lù ěr,artifact,古代名马，周穆王八骏之一。
汧渭,qiān wèi,place,汧水与渭水流域，秦人早期活动地区。
蕃息,fán xī,rare_word,繁殖增多。
適嗣,dí sì,concept,嫡系继承人；“適”通“嫡”。
羝羊,dī yáng,rare_word,公羊。
西畤,xī zhì,place,秦襄公设立的祭天场所。
鄜畤,fū zhì,place,秦文公设立的祭天场所。
三牢,sān láo,concept,牛、羊、猪三牲齐备的祭品。
大特,dà tè,rare_word,大公牛；古代祭祀用牲。
竫公,jìng gōng,person,秦文公太子，未即位而卒；“竫”同“靖”。
翚,huī,rare_word,鲁公子翚之名；本义为有彩羽的雉。
弑,shì,rare_word,臣下杀君、子女杀父母。
邽,guī,place,古地名，在今甘肃天水一带。
鄄,juàn,place,鄄邑，古地名，在今山东鄄城。
雍廪,yōng lǐn,person,春秋时齐国大夫，诛公孙无知。
芮伯,ruì bó,person,芮国国君。
以狗御蛊,yǐ gǒu yù gǔ,concept,古代在伏日用狗禳除蛊毒邪气的仪式。
子穨,zǐ tuí,person,周庄王之子，曾被拥立为王。
百里傒,bǎi lǐ xī,person,秦穆公名臣，号五羖大夫。
媵,yìng,rare_word,陪嫁的人；文中指作为陪嫁臣仆。
五羖羊皮,wǔ gǔ yáng pí,concept,五张黑色公羊皮；秦穆公赎回百里傒的代价。
蹇叔,jiǎn shū,person,秦穆公名臣，善于识人和军事判断。
铚,zhì,place,古邑名，在今安徽濉溪一带。
干之,gān zhī,rare_word,求取任用；干，求取。
丕郑,pī zhèng,person,晋国大夫，曾为秦、晋之间谋划。
郄芮,xì ruì,person,晋国大夫；“郄”作姓读 xì。
隰朋,xí péng,person,齐桓公、管仲时期名臣。
饥穰,jī ráng,rare_word,歉收与丰收；穰，丰熟。
漕车转,cáo chē zhuǎn,concept,水路漕运与陆路车运。
马騺,mǎ zhì,rare_word,马陷住或不能前进。
麾下,huī xià,concept,将帅旌旗之下，借指部属。
推锋,tuī fēng,rare_word,冲锋在前。
齐宿,zhāi sù,rare_word,斋戒住宿，准备祭祀；“齐”通“斋”。
衰绖,cuī dié,artifact,丧服与麻制丧带。
跣,xiǎn,rare_word,赤脚。
馈之七牢,kuì zhī qī láo,concept,赠给七套牛羊猪齐备的祭牲或食物。
子圉,zǐ yǔ,person,晋惠公太子，后为晋怀公。
翟,dí,concept,古代北方族群名称，常通“狄”。
城濮,chéng pú,place,晋楚城濮之战所在地，在今山东一带。
庸知,yōng zhī,rare_word,怎么知道；庸，岂、怎么。
肴阨,xiáo è,place,即崤山险隘，秦晋崤之战所在地。
沮哭,jǔ kū,rare_word,哭泣以阻止或使军队丧气。
贩卖贾人,fàn mài gǔ rén,rare_word,经商的商人；“贾”在此读 gǔ。
劳军,lào jūn,concept,慰劳军队。
墨衰绖,mò cuī dié,concept,染黑丧服出征，表示居丧而用兵。
官秩,guān zhì,concept,官职等级和俸禄品级。
由余,yóu yú,person,由晋入戎、后归秦的谋臣。
含淳德,hán chún dé,rare_word,怀有质朴敦厚的德性。
罢极,pí jí,rare_word,疲惫困顿；“罢”通“疲”。
辟匿,pì nì,rare_word,处在偏僻闭塞之地。
女乐,nǚ yuè,concept,女子组成的乐舞队伍。
曲席,qū xí,rare_word,弯曲座席相近而坐，表示亲密礼遇。
间要由余,jiàn yāo yóu yú,rare_word,暗中邀请由余；间，秘密地；要，邀约。
鄗,hào,place,古邑名，在今河北柏乡北。
黄髪番番,huáng fà pó pó,rare_word,老人头发黄白的样子；指年高而有谋略者。
垂涕,chuí tì,rare_word,流泪。
金鼓,jīn gǔ,artifact,古代赏赐或军礼所用的金属乐器与鼓。
