sequence,group,title,slug,source_url,status
1,十三篇,始计篇第一,entry_01,https://www.guwendao.net/guwen/bookv_98fea5295abc.aspx,downloaded
2,十三篇,作战篇第二,entry_02,https://www.guwendao.net/guwen/bookv_5ba718ac5558.aspx,downloaded
3,十三篇,谋攻篇第三,entry_03,https://www.guwendao.net/guwen/bookv_012e0da3e872.aspx,downloaded
4,十三篇,军形篇第四,entry_04,https://www.guwendao.net/guwen/bookv_92e8fdc28896.aspx,downloaded
5,十三篇,兵势篇第五,entry_05,https://www.guwendao.net/guwen/bookv_dbb2ad5755f6.aspx,downloaded
6,十三篇,虚实篇第六,entry_06,https://www.guwendao.net/guwen/bookv_da1658f2011f.aspx,downloaded
7,十三篇,军争篇第七,entry_07,https://www.guwendao.net/guwen/bookv_a5829a99f01e.aspx,downloaded
8,十三篇,九变篇第八,entry_08,https://www.guwendao.net/guwen/bookv_1557fb0eb15f.aspx,downloaded
9,十三篇,行军篇第九,entry_09,https://www.guwendao.net/guwen/bookv_cb5f2359b95d.aspx,downloaded
10,十三篇,地形篇第十,entry_10,https://www.guwendao.net/guwen/bookv_44bb128788b1.aspx,downloaded
11,十三篇,九地篇第十一,entry_11,https://www.guwendao.net/guwen/bookv_18975ec72ced.aspx,downloaded
12,十三篇,火攻篇第十二,entry_12,https://www.guwendao.net/guwen/bookv_a32380013d86.aspx,downloaded
13,十三篇,用间篇第十三,entry_13,https://www.guwendao.net/guwen/bookv_414bacc3722e.aspx,downloaded
