sequence,group,title,source_url
1,十三篇,始计篇第一,https://www.guwendao.net/guwen/bookv_98fea5295abc.aspx
2,十三篇,作战篇第二,https://www.guwendao.net/guwen/bookv_5ba718ac5558.aspx
3,十三篇,谋攻篇第三,https://www.guwendao.net/guwen/bookv_012e0da3e872.aspx
4,十三篇,军形篇第四,https://www.guwendao.net/guwen/bookv_92e8fdc28896.aspx
5,十三篇,兵势篇第五,https://www.guwendao.net/guwen/bookv_dbb2ad5755f6.aspx
6,十三篇,虚实篇第六,https://www.guwendao.net/guwen/bookv_da1658f2011f.aspx
7,十三篇,军争篇第七,https://www.guwendao.net/guwen/bookv_a5829a99f01e.aspx
8,十三篇,九变篇第八,https://www.guwendao.net/guwen/bookv_1557fb0eb15f.aspx
9,十三篇,行军篇第九,https://www.guwendao.net/guwen/bookv_cb5f2359b95d.aspx
10,十三篇,地形篇第十,https://www.guwendao.net/guwen/bookv_44bb128788b1.aspx
11,十三篇,九地篇第十一,https://www.guwendao.net/guwen/bookv_18975ec72ced.aspx
12,十三篇,火攻篇第十二,https://www.guwendao.net/guwen/bookv_a32380013d86.aspx
13,十三篇,用间篇第十三,https://www.guwendao.net/guwen/bookv_414bacc3722e.aspx
