sequence,group,title,source_url
1,胜战计,瞒天过海第一,https://www.guwendao.net/guwen/bookv_bee7b3fdc596.aspx
2,胜战计,围魏救赵第二,https://www.guwendao.net/guwen/bookv_c504d78e94de.aspx
3,胜战计,借刀杀人第三,https://www.guwendao.net/guwen/bookv_f76fac694f3f.aspx
4,胜战计,以逸待劳第四,https://www.guwendao.net/guwen/bookv_ae3263b13033.aspx
5,胜战计,趁火打劫第五,https://www.guwendao.net/guwen/bookv_8c3b74b3e1fc.aspx
6,胜战计,声东击西第六,https://www.guwendao.net/guwen/bookv_e829476e79b3.aspx
7,敌战计,无中生有第七,https://www.guwendao.net/guwen/bookv_7b7ae6b3466f.aspx
8,敌战计,暗渡陈仓第八,https://www.guwendao.net/guwen/bookv_6e1c0ca61136.aspx
9,敌战计,隔岸观火第九,https://www.guwendao.net/guwen/bookv_3db422adae54.aspx
10,敌战计,笑里藏刀第十,https://www.guwendao.net/guwen/bookv_610bf7b42965.aspx
11,敌战计,李代桃僵第十一,https://www.guwendao.net/guwen/bookv_839c6af33311.aspx
12,敌战计,顺手牵羊第十二,https://www.guwendao.net/guwen/bookv_a90115dfe691.aspx
13,攻战计,打草惊蛇第十三,https://www.guwendao.net/guwen/bookv_7f0c35a7384e.aspx
14,攻战计,借尸还魂第十四,https://www.guwendao.net/guwen/bookv_49cb42a1e550.aspx
15,攻战计,调虎离山第十五,https://www.guwendao.net/guwen/bookv_c8676dd73c88.aspx
16,攻战计,欲擒故纵第十六,https://www.guwendao.net/guwen/bookv_52ee18ac221c.aspx
17,攻战计,抛砖引玉第十七,https://www.guwendao.net/guwen/bookv_ded244ca6b48.aspx
18,攻战计,擒贼擒王第十八,https://www.guwendao.net/guwen/bookv_e894ebcff6f2.aspx
19,混战计,釜底抽薪第十九,https://www.guwendao.net/guwen/bookv_472cc660c54d.aspx
20,混战计,混水摸鱼第二十,https://www.guwendao.net/guwen/bookv_e7401b800996.aspx
21,混战计,金蝉脱壳第二十一,https://www.guwendao.net/guwen/bookv_dd243553af74.aspx
22,混战计,关门捉贼第二十二,https://www.guwendao.net/guwen/bookv_5b50bb7564f9.aspx
23,混战计,远交近攻第二十三,https://www.guwendao.net/guwen/bookv_8c034c45afa0.aspx
24,混战计,假道伐虢第二十四,https://www.guwendao.net/guwen/bookv_5b2752ddf365.aspx
25,并战计,偷梁换柱第二十五,https://www.guwendao.net/guwen/bookv_2288fa93d263.aspx
26,并战计,指桑骂槐第二十六,https://www.guwendao.net/guwen/bookv_ae6ec2ca7087.aspx
27,并战计,假痴不癫第二十七,https://www.guwendao.net/guwen/bookv_c5cab49b548c.aspx
28,并战计,上屋抽梯第二十八,https://www.guwendao.net/guwen/bookv_4a63d979b05d.aspx
29,并战计,树上开花第二十九,https://www.guwendao.net/guwen/bookv_6b35ab15fa01.aspx
30,并战计,反客为主第三十,https://www.guwendao.net/guwen/bookv_6e67fd599dca.aspx
31,败战计,美人计第三十一,https://www.guwendao.net/guwen/bookv_58b7d5e79c11.aspx
32,败战计,空城计第三十二,https://www.guwendao.net/guwen/bookv_b5e2d37490e6.aspx
33,败战计,反间计第三十三,https://www.guwendao.net/guwen/bookv_13f5341b6954.aspx
34,败战计,苦肉计第三十四,https://www.guwendao.net/guwen/bookv_202a013d00aa.aspx
35,败战计,连环计第三十五,https://www.guwendao.net/guwen/bookv_656d9db1a633.aspx
36,败战计,走为上计第三十六,https://www.guwendao.net/guwen/bookv_c4ce6bca2b7b.aspx
